base_mechanism,TJ_constraint_mode,q_TJ,t_s,T_C,rho,G_nm,C_TJ_total,C_TJ_pore,C_TJ_structural,C_TJ_constraint,C_TJ_relaxed,C_TJ_pinned,R_TJ_pore_drag,Lambda_TJ_structural,K_TJ_structural,Lambda_over_K_TJ,P_comp_TJ_structural,P_TJ_multihit,P_TJ_pore_drag,P_TJ_assisted_densification
mech_009,current_all_TJ_multihit,1,0.0,25.0,0.7,75.00000000000001,0.36234560971639895,0.14979414628853194,0.21255146342786702,0.14979414628853194,0.0,0.0,0.0,2.9705616898952045e-23,0.5000000000000001,5.941123379790408e-23,0.0,4.741784749353451e-56,0.0,4.027709390849628e-60
mech_009,current_all_TJ_multihit,1,18.000000000000064,31.00000000000002,0.7,75.00000000000001,0.36234560971639895,0.14979414628853194,0.21255146342786702,0.14979414628853194,0.0,0.0,0.0,2.9705616898952045e-23,0.5000000000000001,5.941123379790408e-23,0.0,1.2385632114077087e-54,0.0,1.2491911306404436e-58
mech_009,current_all_TJ_multihit,1,36.000000000000256,37.000000000000085,0.7,75.00000000000001,0.36234560971639895,0.14979414628853194,0.21255146342786702,0.14979414628853194,0.0,0.0,0.0,2.9705616898952045e-23,0.5000000000000001,5.941123379790408e-23,0.0,2.8514801165151663e-53,0.0,3.39226176760008e-57
mech_009,current_all_TJ_multihit,1,54.00000000000051,43.00000000000017,0.7,75.00000000000001,0.36234560971639895,0.14979414628853194,0.21255146342786702,0.14979414628853194,0.0,0.0,0.0,2.9705616898952045e-23,0.5000000000000001,5.941123379790408e-23,0.0,5.82800296146853e-52,0.0,8.12690644612894e-56
mech_009,current_all_TJ_multihit,1,72.00000000000077,49.000000000000256,0.7,75.00000000000001,0.36234560971639895,0.14979414628853194,0.21255146342786702,0.14979414628853194,0.0,0.0,0.0,2.9705616898952045e-23,0.5000000000000001,5.941123379790408e-23,0.0,1.0645236028834964e-50,0.0,1.7297269432870262e-54
mech_009,current_all_TJ_multihit,1,90.00000000000102,55.00000000000034,0.7,75.00000000000001,0.36234560971639895,0.14979414628853194,0.21255146342786702,0.14979414628853194,0.0,0.0,0.0,2.9705616898952045e-23,0.5000000000000001,5.941123379790408e-23,0.0,1.7484552763029206e-49,0.0,3.2920374797526255e-53
mech_009,current_all_TJ_multihit,1,108.00000000000128,61.000000000000426,0.7,75.00000000000001,0.36234560971639895,0.14979414628853194,0.21255146342786702,0.14979414628853194,0.0,0.0,0.0,2.9705616898952045e-23,0.5000000000000001,5.941123379790408e-23,0.0,2.597184087889939e-48,0.0,5.636415839761645e-52
mech_009,current_all_TJ_multihit,1,126.00000000000153,67.00000000000051,0.7,75.00000000000001,0.36234560971639895,0.14979414628853194,0.21255146342786702,0.14979414628853194,0.0,0.0,0.0,2.9705616898952045e-23,0.5000000000000001,5.941123379790408e-23,0.0,3.5075981243550935e-47,0.0,8.730192841908557e-51
mech_009,current_all_TJ_multihit,1,144.0000000000018,73.0000000000006,0.7,75.00000000000001,0.36234560971639895,0.14979414628853194,0.21255146342786702,0.14979414628853194,0.0,0.0,0.0,2.9705616898952045e-23,0.5000000000000001,5.941123379790408e-23,0.0,4.328381945093847e-46,0.0,1.2296744066256929e-49
mech_009,current_all_TJ_multihit,1,162.00000000000205,79.00000000000068,0.7,75.00000000000001,0.36234560971639895,0.14979414628853194,0.21255146342786702,0.14979414628853194,0.0,0.0,0.0,2.9705616898952045e-23,0.5000000000000001,5.941123379790408e-23,0.0,4.9029021480300096e-45,0.0,1.5827438157450275e-48
