candidate_id,base_mechanism,variant,G0_nm,T1_C,rho_switch,growth_tolerance,first_step_growth_fraction,complete_practical,boundary_status,n_success,T_lower_density_C,T_first_success_C,T_last_success_C,T_upper_growth_C,window_width_C,lower_bracketed,upper_bracketed
mech_009_disabled,mech_009,disabled,225.0,1450.0,0.8,0.05,0.12963830260004203,False,COMPLETE_WINDOW,5,1260.0,1260.0,1310.0,1320.0,50.0,True,True
mech_009_disabled,mech_009,disabled,225.0,1450.0,0.8,0.1,0.12963830260004203,False,COMPLETE_WINDOW,7,1260.0,1260.0,1325.0,1335.0,65.0,True,True
mech_009_disabled,mech_009,disabled,225.0,1450.0,0.84,0.05,0.25351480836551066,False,COMPLETE_WINDOW,6,1245.0,1245.0,1320.0,1325.0,75.0,True,True
mech_009_disabled,mech_009,disabled,225.0,1450.0,0.84,0.1,0.25351480836551066,False,COMPLETE_WINDOW,10,1245.0,1245.0,1370.0,1375.0,125.0,True,True
mech_009_disabled,mech_009,disabled,225.0,1450.0,0.88,0.05,0.4729581803409069,False,COMPLETE_WINDOW,9,1195.0,1195.0,1375.0,1385.0,180.0,True,True
mech_009_disabled,mech_009,disabled,225.0,1450.0,0.88,0.1,0.4729581803409069,False,COMPLETE_WINDOW,11,1195.0,1195.0,1395.0,1400.0,200.0,True,True
mech_009_disabled,mech_009,disabled,300.0,1350.0,0.8,0.05,0.0014852556680974279,False,UPPER_BOUND_RIGHT_CENSORED,4,1250.0,1250.0,1325.0,nan,75.0,True,False
mech_009_disabled,mech_009,disabled,300.0,1350.0,0.8,0.1,0.0014852556680974279,False,UPPER_BOUND_RIGHT_CENSORED,4,1250.0,1250.0,1325.0,nan,75.0,True,False
mech_009_disabled,mech_009,disabled,300.0,1350.0,0.84,0.05,0.00395238642524608,False,UPPER_BOUND_RIGHT_CENSORED,5,1245.0,1245.0,1325.0,nan,80.0,True,False
mech_009_disabled,mech_009,disabled,300.0,1350.0,0.84,0.1,0.00395238642524608,False,UPPER_BOUND_RIGHT_CENSORED,5,1245.0,1245.0,1325.0,nan,80.0,True,False
mech_009_disabled,mech_009,disabled,300.0,1350.0,0.88,0.05,0.009410065115772378,False,UPPER_BOUND_RIGHT_CENSORED,6,1200.0,1200.0,1325.0,nan,125.0,True,False
mech_009_disabled,mech_009,disabled,300.0,1350.0,0.88,0.1,0.009410065115772378,False,UPPER_BOUND_RIGHT_CENSORED,6,1200.0,1200.0,1325.0,nan,125.0,True,False
mech_009_disabled,mech_009,disabled,300.0,1400.0,0.8,0.05,0.01117907406716635,True,COMPLETE_WINDOW,6,1250.0,1250.0,1360.0,1370.0,110.0,True,True
mech_009_disabled,mech_009,disabled,300.0,1400.0,0.8,0.1,0.01117907406716635,True,COMPLETE_WINDOW,8,1250.0,1250.0,1375.0,1385.0,125.0,True,True
mech_009_disabled,mech_009,disabled,300.0,1400.0,0.84,0.05,0.027555845025885144,True,COMPLETE_WINDOW,8,1245.0,1245.0,1370.0,1375.0,125.0,True,True
mech_009_disabled,mech_009,disabled,300.0,1400.0,0.84,0.1,0.027555845025885144,True,COMPLETE_WINDOW,10,1245.0,1245.0,1385.0,1395.0,140.0,True,True
mech_009_disabled,mech_009,disabled,300.0,1400.0,0.88,0.05,0.06532947316758926,False,COMPLETE_WINDOW,9,1195.0,1195.0,1375.0,1385.0,180.0,True,True
mech_009_disabled,mech_009,disabled,300.0,1400.0,0.88,0.1,0.06532947316758926,True,COMPLETE_WINDOW,10,1195.0,1195.0,1385.0,1395.0,190.0,True,True
mech_009_disabled,mech_009,disabled,300.0,1450.0,0.8,0.05,0.04815052111526711,True,COMPLETE_WINDOW,6,1250.0,1250.0,1360.0,1370.0,110.0,True,True
mech_009_disabled,mech_009,disabled,300.0,1450.0,0.8,0.1,0.04815052111526711,True,COMPLETE_WINDOW,9,1250.0,1250.0,1385.0,1395.0,135.0,True,True
mech_009_disabled,mech_009,disabled,300.0,1450.0,0.84,0.05,0.11071051218625409,False,COMPLETE_WINDOW,9,1235.0,1235.0,1370.0,1375.0,135.0,True,True
