candidate_id,base_mechanism,variant,rho_target,initial_topology,heating_rate_C_min,peak_T_C,response_class,n_cases,HR_pct,PR_exposure_difference,connected_fine_difference,mean_radius_difference_nm
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1350.0,neutral,17,0.0,0.0,0.0,0.0
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1350.0,unattainable,10,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1400.0,neutral,23,0.0,0.0,0.0,0.0
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1400.0,unattainable,4,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1450.0,neutral,27,0.0,0.0,0.0,0.0
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,20.0,1350.0,beneficial,5,4.87053010526776,1962084.84066029,0.0023075769186531,-0.1869762485820203
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,20.0,1350.0,neutral,12,0.2786619757492414,637588.6444794964,0.0038012332439055496,-0.15452672060073874
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,20.0,1350.0,unattainable,10,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,20.0,1400.0,beneficial,9,6.148329931775187,2114262.0544080343,0.0062532064305339,-0.3222181368488037
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,20.0,1400.0,neutral,12,0.1156807094150398,376438.01390649035,0.0049575496709466,-0.1991480703410317
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,20.0,1400.0,unattainable,6,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,20.0,1450.0,harmful,12,-3.5624930155553276,931807.995140946,0.005290769352159649,-0.2166512848181163
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,20.0,1450.0,neutral,14,0.6336379227483493,2202075.050682986,0.0030129265687837,-0.1246632713658684
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,20.0,1450.0,unattainable,1,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,100.0,1350.0,beneficial,5,5.130204454873245,2097891.2514060065,0.0019830573876072,-0.1355901645603623
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,100.0,1350.0,neutral,12,0.2880405849620314,672849.5895579077,0.0035513104322114,-0.10719501437837306
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,100.0,1350.0,unattainable,10,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,100.0,1400.0,beneficial,9,7.250399062206744,2308644.6549641504,0.0071263960405078,-0.3670963330377645
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,100.0,1400.0,neutral,12,0.1059525954519247,393536.4328932066,0.00522902920110095,-0.1953589817862173
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,100.0,1400.0,unattainable,6,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,100.0,1450.0,beneficial,6,1.6147508855267452,2516524.466236391,0.0149109771153447,-0.7250796040083465
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,100.0,1450.0,harmful,12,-3.6270737611906516,986998.1109098073,0.00570711056691835,-0.2441012866133221
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,100.0,1450.0,neutral,8,-0.358467809969042,393844.4685233495,0.0016474359189052,-0.0786946828318093
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,100.0,1450.0,unattainable,1,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,1.0,1350.0,neutral,7,0.0,0.0,0.0,0.0
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,1.0,1350.0,unattainable,20,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,1.0,1400.0,neutral,15,0.0,0.0,0.0,0.0
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,1.0,1400.0,unattainable,12,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,1.0,1450.0,neutral,20,0.0,0.0,0.0,0.0
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,1.0,1450.0,unattainable,7,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,20.0,1350.0,neutral,7,-0.0011845621319281,166497.15183556936,0.0025055596633232,-0.1606298186858268
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,20.0,1350.0,unattainable,20,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,20.0,1400.0,harmful,5,-1.8991661881996529,173564.95037389715,0.0028542192451621,-0.1173173433811243
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,20.0,1400.0,neutral,9,-0.499975438735697,142428.68599078985,0.0015241922479373,-0.1037883445293488
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,20.0,1400.0,unattainable,13,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,20.0,1450.0,harmful,16,-3.4605960697149545,170513.93528189883,0.0024148930352183,-0.15305245452423216
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,20.0,1450.0,neutral,2,-0.7994705733559441,527562.7075244477,0.005121886446057,-0.4279563372440904
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,TJ_rich,20.0,1450.0,unattainable,9,,,,
