candidate_id,base_mechanism,variant,rho_target,initial_topology,heating_rate_C_min,peak_T_C,response_class,n_cases,HR_pct,PR_exposure_difference,connected_fine_difference,mean_radius_difference_nm
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,0.2,1300.0,unattainable,72,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,0.2,1350.0,unattainable,72,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,0.2,1400.0,unattainable,72,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,0.2,1450.0,unattainable,72,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,0.2,1500.0,unattainable,72,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1300.0,neutral,14,0.0,0.0,0.0,0.0
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1300.0,unattainable,58,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1350.0,neutral,32,0.0,0.0,0.0,0.0
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1350.0,unattainable,40,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1400.0,neutral,44,0.0,0.0,0.0,0.0
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1400.0,unattainable,28,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1450.0,neutral,56,0.0,0.0,0.0,0.0
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1450.0,unattainable,16,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1500.0,neutral,68,0.0,0.0,0.0,0.0
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,1.0,1500.0,unattainable,4,,,,
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,5.0,1300.0,beneficial,3,1.1903940436941467,840739.5418722357,0.00122964218245,-0.2189584028873241
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,5.0,1300.0,neutral,11,0.0297197497711507,394435.83184016147,0.0028223474207014,-0.1035303403937462
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,0.85,GBseg_rich,5.0,1300.0,unattainable,58,,,,
