candidate_id,rho_target,initial_topology,heating_rate_C_min,n_cases,connected_fine_pore_fraction,connected_fine_difference,pore_mean_radius_nm,large_pore_fraction
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,81,0.1316926506922938,0.0,51.28478473396263,0.0188983268710127
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,81,0.1364545596719502,0.0048397321970439,51.09829011874461,0.0188322947379787
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,81,0.13681670100808502,0.00495750317030965,51.09453482714612,0.018829451526919103
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,81,0.12119147581323095,0.0,52.45875244649994,0.019999013567602503
mech_009_PR_attrition_moderate,0.85,TJ_rich,20.0,81,0.1230691287592699,0.0028542192451621,52.33687612159588,0.0199274203382675
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,81,0.1231101024173267,0.0025606631245845,52.33153210091775,0.0199446274638104
mech_009_PR_attrition_moderate,0.85,baseline,1.0,81,0.12533286376246885,0.0,52.211606934498576,0.0200559786741557
mech_009_PR_attrition_moderate,0.85,baseline,20.0,81,0.12876559236169066,0.0032777472703797,52.039274666189606,0.0199878154300723
mech_009_PR_attrition_moderate,0.85,baseline,100.0,81,0.12905051300078463,0.00311801201350265,52.069251333120874,0.02000044147942355
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,1.0,81,0.1308840506658892,0.0,51.42514652500591,0.0189042906451198
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,20.0,81,0.1334433263990592,0.003208542158493,51.25793681655345,0.0187941617521273
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,100.0,81,0.13387023678907572,0.0030260036192066003,51.25718143065437,0.0188229858342395
mech_009_PR_attrition_moderate,0.88,GBseg_rich,1.0,81,0.111730789889091,0.0,54.578904686024515,0.0239256594719442
mech_009_PR_attrition_moderate,0.88,GBseg_rich,20.0,81,0.11272158388951045,0.0005195466492102,54.58640715593927,0.0238467348002497
mech_009_PR_attrition_moderate,0.88,GBseg_rich,100.0,81,0.1122295593526568,0.0007473102683776,54.56005024828056,0.0238231568811766
mech_009_PR_attrition_moderate,0.88,TJ_rich,1.0,81,0.087249012775178,0.0,56.9631300352016,0.0259431189064276
mech_009_PR_attrition_moderate,0.88,TJ_rich,20.0,81,0.0881519648183492,0.0025450635636698,56.9318577989757,0.02594414307909
mech_009_PR_attrition_moderate,0.88,TJ_rich,100.0,81,0.0882284923995605,0.0019782469900092,56.92508143214102,0.0259384582909717
mech_009_PR_attrition_moderate,0.88,baseline,1.0,81,0.09457720784589475,0.0,56.54196023730326,0.0260914276806545
mech_009_PR_attrition_moderate,0.88,baseline,20.0,81,0.0982983350408769,0.001768916139061,56.40101301559192,0.0260563588218548
mech_009_PR_attrition_moderate,0.88,baseline,100.0,81,0.0989086064791106,0.0018712848903242,56.28769459379312,0.0261425454903094
mech_009_PR_attrition_moderate,0.88,mixed_GBseg_TJ,1.0,81,0.1011678256456466,0.0,55.21635220598694,0.023801141384831
mech_009_PR_attrition_moderate,0.88,mixed_GBseg_TJ,20.0,81,0.103906771557962,0.0025051126845147,55.10270820436924,0.0237228422613859
mech_009_PR_attrition_moderate,0.88,mixed_GBseg_TJ,100.0,81,0.1037831971219573,0.0025538367540703,55.07831547472493,0.0236902008482831
mech_009_PR_attrition_moderate,0.9,GBseg_rich,1.0,81,0.0970432104181216,0.0,57.582645051543345,0.0291409139150846
mech_009_PR_attrition_moderate,0.9,GBseg_rich,20.0,81,0.0946997264280251,-0.0005607528271019,57.688201679064306,0.029024215304253
mech_009_PR_attrition_moderate,0.9,GBseg_rich,100.0,81,0.0938903506120273,-0.0005524327010972,57.7014183907788,0.0290264556500365
mech_009_PR_attrition_moderate,0.9,TJ_rich,1.0,81,0.0616112802286178,0.0,61.258734850219625,0.0325186363638475
mech_009_PR_attrition_moderate,0.9,TJ_rich,20.0,81,0.0740406309886301,0.00197675319967205,59.19923288259712,0.029304482079263797
mech_009_PR_attrition_moderate,0.9,TJ_rich,100.0,81,0.07428687355189065,0.0019850416967879,59.1780237750355,0.029268826825750646
mech_009_PR_attrition_moderate,0.9,baseline,1.0,81,0.0695209439186398,0.0,60.78027575514066,0.0330310496103761
mech_009_PR_attrition_moderate,0.9,baseline,20.0,81,0.0731311193791806,0.0012096081981724,60.600273993009964,0.032912337706765896
mech_009_PR_attrition_moderate,0.9,baseline,100.0,81,0.0725314209260576,0.0011417713013566,60.67690684134838,0.033196440687680656
mech_009_PR_attrition_moderate,0.9,mixed_GBseg_TJ,1.0,81,0.0772577307062764,0.0,58.84762453272357,0.0291005950970874
mech_009_PR_attrition_moderate,0.9,mixed_GBseg_TJ,20.0,81,0.0794131132225111,0.0020375835479485,58.6424937429277,0.0288677507805183
mech_009_PR_attrition_moderate,0.9,mixed_GBseg_TJ,100.0,81,0.08031603615400695,0.002079105131496,58.58378067424481,0.028783888623599353
mech_009_PR_attrition_moderate,0.92,GBseg_rich,1.0,81,0.0764042739648378,0.0,61.96973596541899,0.0375492889740119
mech_009_PR_attrition_moderate,0.92,GBseg_rich,20.0,81,0.0767217231131962,-0.0011874273662053,61.72717398434804,0.0372810194035011
mech_009_PR_attrition_moderate,0.92,GBseg_rich,100.0,81,0.075915530410373,-0.0011165063172333,61.884822825718345,0.0371449216846836
mech_009_PR_attrition_moderate,0.92,TJ_rich,1.0,81,0.0345087326378623,0.0,67.83784216284604,0.0450222656398431
mech_009_PR_attrition_moderate,0.92,TJ_rich,20.0,81,0.0352608766773226,0.0011377962023293,67.66697208578991,0.0446494492926612
mech_009_PR_attrition_moderate,0.92,TJ_rich,100.0,81,0.0353312372079843,0.0016574535615436,67.64010245931256,0.0446161814620553
mech_009_PR_attrition_moderate,0.92,baseline,1.0,81,0.0590228273679438,0.0,62.83105436591463,0.037300980539316
mech_009_PR_attrition_moderate,0.92,baseline,20.0,81,0.0620478007137601,0.0008569396908828,62.09318997793131,0.0354776654362735
mech_009_PR_attrition_moderate,0.92,baseline,100.0,81,0.0619840748753148,0.0010291723808384,62.19501799935274,0.0356530531524271
mech_009_PR_attrition_moderate,0.92,mixed_GBseg_TJ,1.0,81,0.059759816268610155,0.0,61.98589671068632,0.0343910087971407
mech_009_PR_attrition_moderate,0.92,mixed_GBseg_TJ,20.0,81,0.0633501623476038,0.00196850586405805,61.657896041729934,0.03392476724403995
mech_009_PR_attrition_moderate,0.92,mixed_GBseg_TJ,100.0,81,0.06337274918302065,0.001999474356308,61.65130771341573,0.03389270986274945
mech_009_PR_attrition_strong,0.85,GBseg_rich,1.0,81,0.1260502489614685,0.0,51.4058189955925,0.0189137914162729
mech_009_PR_attrition_strong,0.85,GBseg_rich,20.0,81,0.1356222196349056,0.0084683262957377,51.14454668480856,0.0188132207819709
mech_009_PR_attrition_strong,0.85,GBseg_rich,100.0,81,0.1362468932736686,0.0092392497132365,51.145290380875565,0.0188632934723558
mech_009_PR_attrition_strong,0.85,TJ_rich,1.0,81,0.1183920900512315,0.0,52.66011413471431,0.0201795840437754
mech_009_PR_attrition_strong,0.85,TJ_rich,20.0,81,0.1229067474578971,0.0059105901887203,52.34485787376402,0.0199328105928639
mech_009_PR_attrition_strong,0.85,TJ_rich,100.0,81,0.1230455691287773,0.0058422584008274,52.33517614293232,0.0199456932519027
mech_009_PR_attrition_strong,0.85,baseline,1.0,81,0.1234849487253939,0.0,52.265879182762035,0.0200380646474971
mech_009_PR_attrition_strong,0.85,baseline,20.0,81,0.12875733494841302,0.0067633501427797,52.02521726175426,0.0199422562636486
mech_009_PR_attrition_strong,0.85,baseline,100.0,81,0.1289153012333848,0.0068717480467462,52.05885515761526,0.0200013872976664
mech_009_PR_attrition_strong,0.85,mixed_GBseg_TJ,1.0,81,0.1285913498801127,0.0,51.54166994260417,0.0189752872090216
mech_009_PR_attrition_strong,0.85,mixed_GBseg_TJ,20.0,81,0.1330792165185472,0.0063630240092533,51.27327505833588,0.0188220231195194
mech_009_PR_attrition_strong,0.85,mixed_GBseg_TJ,100.0,81,0.1333162794706821,0.0066259414672691,51.275896220525105,0.0188234801331399
mech_009_PR_attrition_strong,0.88,GBseg_rich,1.0,81,0.1087931189162887,0.0,54.81063878643546,0.0239429441481377
mech_009_PR_attrition_strong,0.88,GBseg_rich,20.0,81,0.1120281544106438,0.00312703255419435,54.53739161660731,0.0237926915707962
mech_009_PR_attrition_strong,0.88,GBseg_rich,100.0,81,0.1120991431350513,0.00204020593074995,54.54917259797279,0.0238685041821649
mech_009_PR_attrition_strong,0.88,TJ_rich,1.0,81,0.0840477328674829,0.0,57.29898822816227,0.0263075470342452
mech_009_PR_attrition_strong,0.88,TJ_rich,20.0,81,0.0880153185597402,0.0048310895647383,56.938874396953494,0.0259521429949653
mech_009_PR_attrition_strong,0.88,TJ_rich,100.0,81,0.0881943735533575,0.0048367669428882,56.92741529335935,0.0259403860119757
mech_009_PR_attrition_strong,0.88,baseline,1.0,81,0.09285438428720295,0.0,56.7062602412316,0.026314682750442
