mode,state_kind,T2_C,initial_rho,initial_G_nm,initial_closed_fraction,initial_A_closed,final_rho,final_G_um,Delta_rho_open,Delta_rho_closed,classification,strict_success,diagnostic_injection
renewal_m4,candidate_like_injected,900,0.88,117.0,0.649,0.152,0.8800636180143153,0.11702987077579088,5.8739857088891545e-06,5.6889296400056026e-05,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,925,0.88,117.0,0.649,0.152,0.8801678947496795,0.11707226821310472,1.5060929024462638e-05,0.0001505877090011799,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,950,0.88,117.0,0.649,0.152,0.8804282100655298,0.11716877626794547,3.710745140373011e-05,0.00038539213367614673,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,975,0.88,117.0,0.649,0.152,0.8810665043399356,0.11738120685234107,8.791129559577962e-05,0.0009714376187985604,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,1000,0.88,117.0,0.649,0.152,0.8826350400152383,0.11783398882704657,0.0001999855490579307,0.0024567243055318914,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,1025,0.88,117.0,0.649,0.152,0.8862570126660367,0.11876913342788757,0.000434492551242805,0.007118387428993765,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,1050,0.88,117.0,0.649,0.152,0.8923545252725544,0.12063941844231214,0.0008859005327573526,0.017295229858313856,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,1075,0.88,117.0,0.649,0.152,0.9033878840727995,0.12424981488830861,0.001619020129027712,0.03583598221699318,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,1100,0.88,117.0,0.649,0.152,0.9142134145642116,0.13092990566630727,0.002636513409874612,0.046527499472140604,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,1125,0.88,117.0,0.649,0.152,0.9300133605327762,0.14268507533215916,0.0039502592612093625,0.06469366530106897,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,1150,0.88,117.0,0.649,0.152,0.9417765728054509,0.1626397029365078,0.005521365397870908,0.06820064672569967,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,1175,0.88,117.0,0.649,0.152,0.9564030268576645,0.19525108339916414,0.007381765271412486,0.09490836845167407,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,1200,0.88,117.0,0.649,0.152,0.9658874338398823,0.24701159327016167,0.009542083775735979,0.12,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m4,candidate_like_injected,1225,0.88,117.0,0.649,0.152,0.976574483183256,0.3276343634484884,0.011789154795670153,0.12,GRAIN_GROWTH_FAILURE,False,True
renewal_m4,candidate_like_injected,1250,0.88,117.0,0.649,0.152,0.9826599436539295,0.45258244821403343,0.014535154531279997,0.12,GRAIN_GROWTH_FAILURE,False,True
renewal_m4,candidate_like_injected,1275,0.88,117.0,0.649,0.152,0.9895400877073339,0.646631865993095,0.01784983225589667,0.12,GRAIN_GROWTH_FAILURE,False,True
renewal_m4,candidate_like_injected,1300,0.88,117.0,0.649,0.152,0.992692413157729,0.9420712500355883,0.02297526373292624,0.12,GRAIN_GROWTH_FAILURE,False,True
renewal_m4,naturally_prepared,900,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8674479994783539,0.13675445040069276,7.90538223521711e-05,5.55788481095092e-06,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m4,naturally_prepared,925,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8675819308009056,0.13693612720975315,0.00020226048222049103,1.4739676864379699e-05,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m4,naturally_prepared,950,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8679015820023719,0.13734978899490577,0.0004958747864981428,3.6749799077825986e-05,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m4,naturally_prepared,975,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8686289966568956,0.1382584340389232,0.0011619457308131114,9.096111869983848e-05,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m4,naturally_prepared,1000,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.870187679864308,0.14018180047541481,0.0025829624683157055,0.00020709579035764654,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m4,naturally_prepared,1025,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8732701460562817,0.14409108588485375,0.005367235106920112,0.0005377184955983421,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m4,naturally_prepared,1050,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8787109688967474,0.151672972156484,0.01019775568627445,0.001109091918246047,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m4,naturally_prepared,1075,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8870263625831434,0.16560280555435528,0.01726878094819892,0.004874615306761834,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m4,naturally_prepared,1100,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.8961261887683258,0.189455259272826,0.024993903336019207,0.009174655125860165,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m4,naturally_prepared,1125,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9075410240543439,0.22850804442739597,0.033441863605478114,0.01907912941174968,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m4,naturally_prepared,1150,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9170164362491698,0.28973063487021905,0.041701313172723846,0.03115901444964538,DENSIFICATION_EXHAUSTION_FAILURE,False,False
renewal_m4,naturally_prepared,1175,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9304618150680569,0.38301775453688064,0.0492942737327987,0.0667480399102226,MIXED_FAILURE,False,False
renewal_m4,naturally_prepared,1200,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9380287215016485,0.5224595691923084,0.05641409066422772,0.025637429883253023,MIXED_FAILURE,False,False
renewal_m4,naturally_prepared,1225,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9507041641281294,0.7260861940558297,0.06309013533013133,0.06834602683712723,MIXED_FAILURE,False,False
renewal_m4,naturally_prepared,1250,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9576992407067437,1.0180939286684894,0.07006992011906184,0.08228622203290838,MIXED_FAILURE,False,False
renewal_m4,naturally_prepared,1275,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9662325629998509,1.423565081994871,0.07898026697205723,0.09548393131304092,MIXED_FAILURE,False,False
renewal_m4,naturally_prepared,1300,0.8673623242996777,136.62678384132076,0.0037752751527451,0.036888411470508975,0.9742077068661286,1.974315053435578,0.09206701953179217,0.13263767570032226,MIXED_FAILURE,False,False
renewal_m3_sensitivity,candidate_like_injected,900,0.88,117.0,0.649,0.152,0.8800364168775796,0.11702987075907507,5.874586710359396e-06,2.9987308199282108e-05,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,925,0.88,117.0,0.649,0.152,0.8800958646268586,0.11707226810611303,1.5064985236132683e-05,7.934856929306183e-05,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,950,0.88,117.0,0.649,0.152,0.8802427952167097,0.11716877562698942,3.7132772680980305e-05,0.0002020105376892805,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,975,0.88,117.0,0.649,0.152,0.8805936337717487,0.11738120319516007,8.80584368667429e-05,0.0004966970771697596,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,1000,0.88,117.0,0.649,0.152,0.8814091827992935,0.11783396853546686,0.00020078397614998114,0.0011873849188548814,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,1025,0.88,117.0,0.649,0.152,0.8832639425104937,0.11876901507566431,0.0004386359068577067,0.0027875968465551387,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,1050,0.88,117.0,0.649,0.152,0.8877115413392025,0.12063879134559684,0.0009043264652848782,0.006929534349753718,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,1075,0.88,117.0,0.649,0.152,0.8947021335275269,0.12424651334340107,0.001680677413781254,0.015202564135159007,DENSIFICATION_EXHAUSTION_FAILURE,False,True
renewal_m3_sensitivity,candidate_like_injected,1100,0.88,117.0,0.649,0.152,0.9073144542232662,0.13090026354365783,0.0027838553488887968,0.031102042064339516,DENSIFICATION_EXHAUSTION_FAILURE,False,True
