mode,path,final_rho,final_G_um,Delta_rho_open,Delta_rho_closed,closed_inventory_formed,final_A_closed
renewal_m4,5C_min,0.9368755623313929,0.9373016326659486,0.27086399775167613,0.0,0.0002053398358305646,0.1720569258205279
renewal_m4,50C_min,0.9005037337995864,0.2584709912659082,0.08580148710221006,0.0,2.7096551064805993e-05,0.015390916471255777
renewal_m3_sensitivity,5C_min,0.9368755623313929,0.9373016326659486,0.27086399775167613,0.0,0.0002053398358305646,0.1720569258205279
renewal_m3_sensitivity,50C_min,0.9005037337995864,0.2584709912659082,0.08580148710221006,0.0,2.7096551064805993e-05,0.015390916471255777
GB_transport_m4,5C_min,0.9368755623313929,0.9373016326659486,0.27086399775167613,0.0,0.0002053398358305646,0.1720569258205279
GB_transport_m4,50C_min,0.9005037337995864,0.2584709912659082,0.08580148710221006,0.0,2.7096551064805993e-05,0.015390916471255777
GB_transport_m3,5C_min,0.9368755623313929,0.9373016326659486,0.27086399775167613,0.0,0.0002053398358305646,0.1720569258205279
GB_transport_m3,50C_min,0.9005037337995864,0.2584709912659082,0.08580148710221006,0.0,2.7096551064805993e-05,0.015390916471255777
gas_accommodation_m4,5C_min,0.9368755623313929,0.9373016326659486,0.27086399775167613,0.0,0.0002053398358305646,0.1720569258205279
gas_accommodation_m4,50C_min,0.9005037337995864,0.2584709912659082,0.08580148710221006,0.0,2.7096551064805993e-05,0.015390916471255777
surface_accommodation_only,5C_min,0.9368755623313929,0.9373016326659486,0.27086399775167613,0.0,0.0002053398358305646,0.1769525125365824
surface_accommodation_only,50C_min,0.9005037337995864,0.2584709912659082,0.08580148710221006,0.0,2.7096551064805993e-05,0.016608506311425287
