figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,ablation,tier,median_reduction,span20,window_width_C,lower_bracketed,upper_bracketed,complete,rho_high_final,rho_two_final,loss_from_full,retained_TierB,high_density_attainment,mechanism_loss_category
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",full_model,Tier_B,0.8938129038898149,0.0299999999999966,275.0,True,True,True,0.9818487260362176,0.9803463726636372,False,True,True,noncausal
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",no_PR_damage,reject,-0.074945917819402,0.0,0.0,True,True,False,0.9801799038629844,0.9802168691006446,True,False,True,loses_trajectory_reduction
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",no_sweep_coalescence,Tier_B,0.8938129038834249,0.0299999999999966,275.0,True,True,True,0.9818487260362546,0.98034637228127,False,True,True,noncausal
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",no_local_region_heterogeneity,Tier_B,0.8973528824428377,0.0299999999999966,275.0,True,True,True,0.9801199918170022,0.9801898487272408,False,True,True,noncausal
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",homogenized_network,Tier_B,0.8959581180923001,0.0299999999999966,280.0,True,True,True,0.9801721123244752,0.98039190821825,False,True,True,noncausal
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",no_interregion_exchange,Tier_B,0.8938129038832985,0.0299999999999966,275.0,True,True,True,0.9818487260359084,0.9803463723091368,False,True,True,noncausal
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",no_pore_detachment,Tier_B,0.8937101700601495,0.0299999999999966,275.0,True,True,True,0.9819312538122348,0.9803148396064836,False,True,True,noncausal
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",no_recapture,Tier_B,0.8938146846727189,0.0299999999999966,275.0,True,True,True,0.9818459268774782,0.9803486658234548,False,True,True,noncausal
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",no_closed_transition,reject,,0.0,0.0,False,False,False,0.8117793720232352,0.8117793720232352,True,False,False,loses_high_density_attainment
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",no_closed_shrinkage,reject,,0.0,0.0,False,False,False,0.7367512888004881,0.7367512888004881,True,False,False,loses_high_density_attainment
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",infinite_closed_accommodation,reject,,0.0,0.0,False,False,False,0.7250591367283508,0.7250591367283508,True,False,False,loses_high_density_attainment
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",no_attached_pore_drag,Tier_B,0.9108535532586336,0.0299999999999966,250.0,True,True,True,0.9818387437015744,0.9803548804916992,False,True,True,noncausal
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",no_persistent_junction,Tier_B,0.8193400431666403,0.0299999999999966,245.0,True,True,True,0.9818353483487,0.980357781457885,False,True,True,noncausal
Figure 6,ablation_matrix,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields.",no_TJ_multihit,Tier_B,0.8659568942262695,0.0299999999999966,190.0,True,True,True,0.9801432827908044,0.9802046706269396,False,True,True,noncausal
