rho,G_um_5,pore_D50_m_5,pore_D90_m_5,fine_pore_fraction_5,R_Z_eff_m_5,Gamma_growth_5,activity_5,Lambda_5,sigma_eff_Pa_5,tau_remove_D90_s_5,G_um_50,pore_D50_m_50,pore_D90_m_50,fine_pore_fraction_50,R_Z_eff_m_50,Gamma_growth_50,activity_50,Lambda_50,sigma_eff_Pa_50,tau_remove_D90_s_50,G_5_over_G_50
0.6600111611164032,0.05001676421815807,2.5784320092758645e-08,5.0778263157337946e-08,0.8245566615519667,3.2177729600051244e-08,0.9731464406183427,0.0002310437734114661,0.00023109716697294826,250000000.0,3778407924.255171,0.050016203031232845,2.5784320092758645e-08,5.0778263157337946e-08,0.824554523448966,3.2178555987729646e-08,0.9731037220951074,0.000255416864078106,0.00025548215547595266,250000000.0,2021620682.1259892,1.000011220102511
0.6661173815153735,0.05677288133486715,2.5784320092758645e-08,5.0778263157337946e-08,0.821657491235857,3.330656267496871e-08,0.9098252967106026,0.0006008984831636205,0.0006012602285091011,250000000.0,42191644.290394,0.05573146305389501,2.5784320092758645e-08,5.0778263157337946e-08,0.8217012423421125,3.3288667683681046e-08,0.9294927635721429,0.0008317204383328654,0.0008324143112985563,250000000.0,4512933.055723753,1.0186863617767408
0.6722236019143437,0.06237776843586949,2.5784320092758645e-08,5.0778263157337946e-08,0.8184435106865473,3.457901923255326e-08,0.816956226853378,0.0008178713304597067,0.0008185421537586239,250000000.0,19969307.46954356,0.06059602578265935,2.5784320092758645e-08,5.0778263157337946e-08,0.8184690272819478,3.456890789349562e-08,0.8688820394748744,0.0011068000995618974,0.0011080409063812839,250000000.0,2226935.2733528814,1.0294036222705552
0.678329822313314,0.06725516064228762,2.5784320092758645e-08,6.364806837480235e-08,0.8151218874634363,3.5913421155081956e-08,0.727887526099735,0.0010215779900167043,0.001022623082213212,250000000.0,12312934.319255803,0.0650281871922292,2.5784320092758645e-08,5.5632966292190456e-08,0.8151204338864043,3.5914546154495284e-08,0.8084650748946548,0.0013698584007064002,0.0013717621748313299,250000000.0,1381501.7903759256,1.0342462791323903
0.6844360427122841,0.0715785876094453,2.5784320092758645e-08,6.364806837480235e-08,0.8116744127700404,3.73154998686003e-08,0.6602207538847336,0.0012196726555249403,0.0012211623885088195,250000000.0,8452952.171803053,0.06914995117679561,2.5784320092758645e-08,6.364806837480235e-08,0.8116575500323595,3.732123500492003e-08,0.7556218139645362,0.0016312668143035316,0.0016339552027069485,250000000.0,934722.5721852444,1.0351213036498088
0.6905422631112543,0.07553473286477305,2.5784320092758645e-08,6.364806837480235e-08,0.8080838048984714,3.878933952285648e-08,0.6148348360563738,0.0014167519810777077,0.001418763852965499,250000000.0,6142640.704421051,0.07297424112069918,2.5784320092758645e-08,6.364806837480235e-08,0.8080420038870002,3.880550530116351e-08,0.7168126720772042,0.0018953890830172451,0.0018990267711420197,250000000.0,693980.0954360759,1.0350876104328215
0.6966484835102246,0.07927175134268759,2.5784320092758645e-08,6.364806837480235e-08,0.8043341935110296,4.033780178621005e-08,0.5865871236611869,0.001617065136280923,0.0016196912424824743,250000000.0,4630361.369919025,0.07666163557632663,2.5784320092758645e-08,6.364806837480235e-08,0.804262567939097,4.03649940186043e-08,0.6895246599251069,0.002168490042177776,0.002173274077366055,250000000.0,522717.324761025,1.0340472225349568
0.7027547039091948,0.08289749234318977,2.5784320092758645e-08,6.364806837480235e-08,0.8004293449698405,4.195553021222719e-08,0.5696550767166599,0.0018234325338416595,0.0018267728904681991,250000000.0,3565698.6280995556,0.08023891417809911,2.5784320092758645e-08,6.364806837480235e-08,0.8003513024782383,4.19849868533105e-08,0.6715040024108063,0.0024488132712428955,0.0024549021542356725,250000000.0,407342.56950771913,1.0331332769432753
0.708860924308165,0.08647435922732083,2.5784320092758645e-08,6.364806837480235e-08,0.796356964835549,4.364551358875607e-08,0.5609543455871524,0.0020387623118064105,0.002042938684733892,250000000.0,2801072.2129282514,0.08380130926790914,2.6680942906368837e-08,6.364806837480235e-08,0.7962832263730333,4.3672474896745464e-08,0.6591963304728293,0.002742852046755951,0.00275048352393258,250000000.0,314626.259270008,1.0318974725187893
0.7149671447071353,0.0900508087891783,2.5784320092758645e-08,6.364806837480235e-08,0.7921076303735616,4.541093458908223e-08,0.5581490670096046,0.002265667415207253,0.002270825837884682,250000000.0,2240018.817539097,0.08733837534041711,2.910345388513076e-08,6.364806837480235e-08,0.7919482872093094,4.5474827450251265e-08,0.656611115900726,0.0030602321757186566,0.003069810847967109,250000000.0,260470.48147160257,1.031056605280199
0.7210733651061055,0.09366390719012901,2.920531199085904e-08,6.364806837480235e-08,0.7876719715483267,4.7256696295614366e-08,0.559672045011741,0.0025066101051349856,0.0025129251981376214,250000000.0,1819529.4755430608,0.09087544141292506,3.1525964863892684e-08,6.364806837480235e-08,0.7876133480455856,4.7277180003757066e-08,0.6540259013286227,0.0033776123046813625,0.003389138172001638,250000000.0,206314.70367319713,1.0306844812399156
