barrier_mode,T_C,sigma_Pa,Gstar_eV,extrapolated
nearest_slice_clamp,950.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,950.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,960.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,960.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,970.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,970.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,980.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,980.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,990.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,990.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1000.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1000.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1010.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1010.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1020.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1020.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1030.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1030.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1040.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1040.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1050.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1050.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1060.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1060.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1070.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1070.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1080.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1080.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1090.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1090.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1100.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1100.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1110.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1110.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1120.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1120.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1130.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1130.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1140.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1140.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1150.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1150.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1160.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1160.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1170.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1170.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1180.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1180.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1190.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1190.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1200.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1200.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1210.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1210.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1220.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1220.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1230.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1230.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1240.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1240.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1250.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1250.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1260.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1260.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1270.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1270.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1280.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1280.0,250000000.0,4.567143305406176,True
nearest_slice_clamp,1290.0,10000000.0,5.154881660738317,True
nearest_slice_clamp,1290.0,250000000.0,4.567143305406176,True
