case,T_C,rho,G_um,pore_D50_m,pore_D90_m,fine_pore_fraction,R_Z_eff_m,Gamma_growth,tau_remove_s_json
conditioned_5C_min,950.0000000000001,0.6600111611164032,0.05001676421815807,2.5784320092758645e-08,5.0778263157337946e-08,0.8245566615519667,3.2177729600051244e-08,0.9731464406183427,"[154614.05429097064, 396559.01419631415, 983827.8131658558, 2442438.723855483, 6068243.875488616, 15089854.423247414, 37561703.433297575, 93606997.23566224, 233587504.5382936, 583791403.7185636, 1461628546.0860162, 3778407924.255171]"
conditioned_5C_min,955.0000000000001,0.6600244704560392,0.050036472125063354,2.5784320092758645e-08,5.0778263157337946e-08,0.8245509293365979,3.2179945285028254e-08,0.9730338959047445,"[129724.98016963109, 332364.73468925443, 824453.7581714258, 2046449.1629715757, 5083464.945002337, 12638324.919989904, 31451676.10644401, 78358315.7732339, 195472745.22787035, 488351429.1490542, 1222149501.165025, 3154765613.684182]"
conditioned_5C_min,960.0000000000001,0.6600403177745424,0.05005960832749128,2.5784320092758645e-08,5.0778263157337946e-08,0.8245440934001861,3.218258733747212e-08,0.9729016559231249,"[108998.44670585022, 278970.7250258298, 691914.5437278374, 1717195.3924378061, 4264822.214345519, 10600869.776118753, 26375065.731704522, 65692749.92925715, 163826234.35812083, 409141759.99565744, 1023493908.2479504, 2638296904.602947]"
conditioned_5C_min,965.0000000000001,0.6600591589643232,0.05008673142470649,2.5784320092758645e-08,5.0778263157337946e-08,0.8245359532957345,3.218573317895016e-08,0.97274638991836,"[91713.52390768661, 234494.49019922386, 581528.8553362836, 1443024.0520296637, 3583272.675874657, 8905010.108005637, 22150718.71670478, 55156724.14321951, 137509978.14666107, 343300455.52627087, 858444333.8660196, 2209885333.378594]"
conditioned_5C_min,970.0000000000001,0.6600815263968476,0.05011848425074672,2.5784320092758645e-08,5.0778263157337946e-08,0.8245262744782457,3.218947341225999e-08,0.9725642096678425,"[77278.27693955938, 197392.66146083703, 489459.473791323, 1214385.2167561785, 3015021.8842780218, 7491383.232807608, 18630316.017168626, 46379024.77039238, 115593060.49811074, 288487631.55566967, 721103662.1397983, 1853945558.9906573]"
conditioned_5C_min,975.0000000000001,0.6601080407055371,0.0501556053250622,2.5784320092758645e-08,5.0778263157337946e-08,0.8245147829380797,3.219391390277887e-08,0.9723505716774273,"[65205.968250756196, 166397.97864906286, 412556.26927507005, 1023440.7090515032, 2540545.346671412, 6311293.497073151, 15692231.534534853, 39055364.19997852, 97312744.89819169, 242787135.33718497, 606645652.1458791, 1557749134.4811978]"
conditioned_5C_min,980.0000000000001,0.6601394241706025,0.050198941605115344,2.5784320092758645e-08,5.0778263157337946e-08,0.8245011590731423,3.219917815797992e-08,0.9721001599318252,"[55095.7783705909, 140468.33028404246, 348229.26818000193, 863747.5242919793, 2143797.8376253955, 5324734.1720250435, 13236573.935173778, 32935925.61029437, 82043105.9551982, 204627308.29575184, 511114082.6246709, 1310883136.2658741]"
conditioned_5C_min,985.0000000000001,0.6601765158749602,0.05024946262738482,2.5784320092758645e-08,5.0778263157337946e-08,0.8244850307093168,3.2205410041778035e-08,0.9718067446334737,"[46617.16369699974, 118745.47951157173, 294345.8703945454, 730001.5585335826, 1811573.528840647, 4498787.234015254, 11181177.338934386, 27815296.256176725, 69269690.8482127, 172717022.911022, 431260740.97638965, 1104814670.943915]"
conditioned_5C_min,990.0000000000001,0.6602202888052534,0.05030827610999017,2.5784320092758645e-08,5.0778263157337946e-08,0.8244659651718865,3.2212776863536617e-08,0.9714630111489403,"[39497.146132004884, 100521.58299274823, 249147.49221536153, 617829.8261271802, 1532987.3486294649, 3806326.7789107836, 9458354.075593334, 23524318.021695014, 58569017.88726345, 145993963.21184373, 364414522.1755586, 932539918.8929666]"
conditioned_5C_min,995.0000000000001,0.6602718690726219,0.05037664506880223,2.5784320092758645e-08,5.0778263157337946e-08,0.8244434603047053,3.2221472884664986e-08,0.9710603518297563,"[33509.969723181624, 85211.98966111927, 211181.85921847867, 523621.7309976243, 1299053.9466681636, 3224966.8046757304, 8012260.48565372, 19923479.505216166, 49591961.86278466, 123582736.39951886, 308375486.65170044, 788300801.509465]"
