case,T_C,rho,activity,Lambda,sigma_eff_Pa,P_surf_W_m3,P_dens_W_m3,P_excess_W_m3
conditioned_5C_min,950.0000000000001,0.6600111611164032,0.0002310437734114661,0.00023109716697294826,250000000.0,307.7314516960405,46.50465168037593,261.2268000156646
conditioned_5C_min,955.0000000000001,0.6600244704560392,0.00023784864200599047,0.0002379052274412635,250000000.0,358.23796026695,55.45558181570298,302.782378451247
conditioned_5C_min,960.0000000000001,0.6600403177745424,0.00024483036911569046,0.0002448903257045256,250000000.0,416.507654320347,66.03049376268301,350.477160557664
conditioned_5C_min,965.0000000000001,0.6600591589643232,0.00025199825932237897,0.00025206177845179053,250000000.0,483.6489429352427,78.50495741769976,405.14398551754294
conditioned_5C_min,970.0000000000001,0.6600815263968476,0.0002593630555679552,0.000259430342214219,250000000.0,560.9150408713201,93.1976355158266,467.7174053554935
conditioned_5C_min,975.0000000000001,0.6601080407055371,0.0002669371933536015,0.00026700846784460957,250000000.0,649.7206635921128,110.47628620222414,539.2443773898887
conditioned_5C_min,980.0000000000001,0.6601394241706025,0.0002747350968137567,0.0002748105969297096,250000000.0,751.660224086372,130.76443776751734,620.8957863188546
conditioned_5C_min,985.0000000000001,0.6601765158749602,0.0002827735229543058,0.00028285350643680087,250000000.0,868.5275648342571,154.54876815060896,713.9787966836482
conditioned_5C_min,990.0000000000001,0.6602202888052534,0.000291071961157503,0.0002911567087117118,250000000.0,1002.3372255125211,182.38720954622653,819.9500159662946
conditioned_5C_min,995.0000000000001,0.6602718690726219,0.000299653095936958,0.00029974291482937185,250000000.0,1155.3472018020532,214.91778069137834,940.4294211106749
conditioned_5C_min,1000.0000000000001,0.660332557422582,0.0003085433418648141,0.00030863857024070456,250000000.0,1330.0830897363485,252.86812481995935,1077.2149649163891
conditioned_5C_min,1005.0000000000001,0.6604038531902083,0.00031777346057205747,0.00031787447264325683,250000000.0,1529.3634296010473,297.06569842589437,1232.2977311751529
conditioned_5C_min,1010.0000000000001,0.6604874808334271,0.00032737927070920883,0.00032748648299517894,250000000.0,1756.3259590439923,348.44851339115274,1407.8774456528395
conditioned_5C_min,1015.0000000000001,0.6605854191409615,0.00033740246269629983,0.00033751634154113603,250000000.0,2014.4543517723605,408.0762813675916,1606.378070404769
conditioned_5C_min,1020.0000000000001,0.6606999331594259,0.000347891530905652,0.000348012601542377,250000000.0,2307.604850501333,477.14174357118674,1830.4631069301465
conditioned_5C_min,1025.0,0.6608336088133004,0.00035890283648247516,0.0003590316939758302,250000000.0,2640.031994893411,556.9818911067607,2083.0501037866507
conditioned_5C_min,1030.0,0.6609893900992941,0.0003705018141262928,0.00037063913659878884,250000000.0,3016.4123913812364,649.0886915951263,2367.32369978611
conditioned_5C_min,1035.0,0.6611706186209494,0.0003827643355493778,0.00038291090018566194,250000000.0,3441.86516692133,755.1188401758875,2686.7463267454423
conditioned_5C_min,1040.0,0.6613810750896127,0.00039577824058397977,0.0003959349430191136,250000000.0,3921.9673892495002,876.9019526981727,3045.0654365513274
conditioned_5C_min,1045.0,0.6616250222558184,0.00040964504343550024,0.0004098129212674333,250000000.0,4462.76232102139,1016.4465257780073,3446.315795243382
conditioned_5C_min,1050.0,0.6619072485559525,0.0004244818155341902,0.0004246620768635657,250000000.0,5070.7579072277695,1175.9429171311642,3894.8149900966055
conditioned_5C_min,1055.0,0.6622331115730272,0.0004404232366664971,0.00044061729476158724,250000000.0,5752.912383079764,1357.762571030553,4395.1498120492115
conditioned_5C_min,1060.0,0.6626085802343727,0.00045762379102666544,0.0004578333064400168,250000000.0,6516.603349381174,1564.4527554699648,4952.1505939112085
conditioned_5C_min,1065.0,0.6630402745280709,0.00047626006257401975,0.0004764869942997406,250000000.0,7369.576119943555,1798.7262235791122,5570.849896364442
conditioned_5C_min,1070.0,0.663535501448116,0.0004965330523763999,0.000496779719927094,250000000.0,8319.866637522358,2063.445499991868,6256.42113753049
conditioned_5C_min,1079.5135370376024,0.6645721396799402,0.0005405288095431075,0.0005408211389495197,250000000.0,10425.8217176164,2661.857308733985,7763.964408882415
