calibration_mode,observable,x,target,model,residual
endpoint_only_conditioned,rho_T,950,0.652,0.660003348334921,0.008003348334921001
endpoint_only_conditioned,rho_T,1050,0.675,0.6605732213180109,-0.01442677868198916
endpoint_only_conditioned,rho_T,1150,0.721,0.6687800108493688,-0.052219989150631196
endpoint_only_conditioned,rho_T,1200,0.769,0.6871867945298048,-0.08181320547019522
endpoint_only_conditioned,rho_T,1250,0.821,0.7305644100579177,-0.09043558994208223
endpoint_only_conditioned,rho_T,1300,0.925,0.8033961975091607,-0.12160380249083935
endpoint_only_conditioned,rho_T,1350,0.948,0.8808903892620402,-0.06710961073795974
endpoint_only_conditioned,rho_T,1500,0.975,0.9756174327091051,0.0006174327091050813
endpoint_only_conditioned,G_T,950,0.05,0.05001676421815807,1.6764218158070443e-05
endpoint_only_conditioned,G_T,1050,0.08,0.052333175081444076,-0.027666824918555925
endpoint_only_conditioned,G_T,1150,0.15,0.07064080078176989,-0.0793591992182301
endpoint_only_conditioned,G_T,1200,0.18,0.08577734931039874,-0.09422265068960126
endpoint_only_conditioned,G_T,1250,0.2,0.11356527554680847,-0.08643472445319154
endpoint_only_conditioned,G_T,1300,0.42,0.18280111938155905,-0.23719888061844094
endpoint_only_conditioned,G_T,1350,0.98,0.3535663213005188,-0.6264336786994812
endpoint_only_conditioned,G_T,1500,2.14,2.0956819314249366,-0.044318068575063485
observed_curve_conditioned,rho_T,950,0.652,0.6600111611164032,0.00801116111640321
observed_curve_conditioned,rho_T,1050,0.675,0.6619072485559525,-0.013092751444047535
observed_curve_conditioned,rho_T,1150,0.721,0.687569163430531,-0.03343083656946899
observed_curve_conditioned,rho_T,1200,0.769,0.7357937692430006,-0.033206230756999466
observed_curve_conditioned,rho_T,1250,0.821,0.8166917233563067,-0.004308276643693265
observed_curve_conditioned,rho_T,1300,0.925,0.8972639056901718,-0.027736094309828263
observed_curve_conditioned,rho_T,1350,0.948,0.9461871842936416,-0.0018128157063583838
observed_curve_conditioned,rho_T,1500,0.975,0.995040523414922,0.020040523414922018
observed_curve_conditioned,G_T,950,0.05,0.05001676421815807,1.6764218158070443e-05
observed_curve_conditioned,G_T,1050,0.08,0.05233826733875364,-0.027661732661246365
observed_curve_conditioned,G_T,1150,0.15,0.07364633554930206,-0.07635366445069794
observed_curve_conditioned,G_T,1200,0.18,0.10269804058688613,-0.07730195941311387
observed_curve_conditioned,G_T,1250,0.2,0.17166209458176412,-0.028337905418235887
observed_curve_conditioned,G_T,1300,0.42,0.32078176583547263,-0.09921823416452735
observed_curve_conditioned,G_T,1350,0.98,0.5577818720201054,-0.42221812797989455
observed_curve_conditioned,G_T,1500,2.14,2.1924763021582634,0.052476302158263266
density_plus_grain_trajectory_conditioned,rho_T,950,0.652,0.6600111611164032,0.00801116111640321
density_plus_grain_trajectory_conditioned,rho_T,1050,0.675,0.6619072485559525,-0.013092751444047535
density_plus_grain_trajectory_conditioned,rho_T,1150,0.721,0.687569163430531,-0.03343083656946899
density_plus_grain_trajectory_conditioned,rho_T,1200,0.769,0.7357937692430006,-0.033206230756999466
density_plus_grain_trajectory_conditioned,rho_T,1250,0.821,0.8166917233563067,-0.004308276643693265
density_plus_grain_trajectory_conditioned,rho_T,1300,0.925,0.8972639056901718,-0.027736094309828263
density_plus_grain_trajectory_conditioned,rho_T,1350,0.948,0.9461871842936416,-0.0018128157063583838
density_plus_grain_trajectory_conditioned,rho_T,1500,0.975,0.995040523414922,0.020040523414922018
density_plus_grain_trajectory_conditioned,G_T,950,0.05,0.05001676421815807,1.6764218158070443e-05
density_plus_grain_trajectory_conditioned,G_T,1050,0.08,0.05233826733875364,-0.027661732661246365
density_plus_grain_trajectory_conditioned,G_T,1150,0.15,0.07364633554930206,-0.07635366445069794
density_plus_grain_trajectory_conditioned,G_T,1200,0.18,0.10269804058688613,-0.07730195941311387
density_plus_grain_trajectory_conditioned,G_T,1250,0.2,0.17166209458176412,-0.028337905418235887
density_plus_grain_trajectory_conditioned,G_T,1300,0.42,0.32078176583547263,-0.09921823416452735
density_plus_grain_trajectory_conditioned,G_T,1350,0.98,0.5577818720201054,-0.42221812797989455
density_plus_grain_trajectory_conditioned,G_T,1500,2.14,2.1924763021582634,0.052476302158263266
