T1_C,T2_C,switch_density,hold_h,barrier_mode,first_step_attained,G1_um,rho1,fine1,D90_1_nm,final_rho,final_G_um,density_ok,grain_0p3_ok,grain_0p5_ok,grain_1p0_ok,strict_target_ok,chen_success,failure_class,final_D90_nm,final_fine_fraction,final_R_Z_um,final_Gamma_growth,normalized_error
1500,1100,0.9,30,nearest_slice_clamp,True,0.3309951114727723,0.9005578216313761,0.4585661519471453,79.77973951750052,0.9508807749989814,0.5954212790568809,False,False,False,True,False,False,lower_density_exhaustion,79.77973951750052,0.1636880101787526,0.587749097194605,0.9999950781003641,15.63797041659209
1400,1100,0.9,30,nearest_slice_clamp,True,0.3309951114727723,0.9005578216313761,0.4585661519471453,79.77973951750052,0.9506051251650479,0.593166956448267,False,False,False,True,False,False,lower_density_exhaustion,79.77973951750052,0.1656858123079363,0.583527464429793,0.9999946470433211,15.640017027039358
1300,1100,0.9,30,nearest_slice_clamp,True,0.33099511535633186,0.9005589322298054,0.45856142992190335,79.77973951750052,0.9503264873500121,0.5909025736560378,False,False,False,True,False,False,lower_density_exhaustion,79.77973951750052,0.16770333867879397,0.5793150779028229,0.99999417885626,15.64552840117359
1200,1100,0.9,30,nearest_slice_clamp,True,0.3408991788259896,0.9014491632869268,0.45466332831354617,79.77973951750052,0.9490574804266555,0.5873119219343043,False,False,False,True,False,False,lower_density_exhaustion,79.77973951750052,0.17681611609601083,0.56086979966231,0.999988981098579,16.098431502027488
1300,1100,0.9,40,nearest_slice_clamp,True,0.33099511535633186,0.9005589322298054,0.45856142992190335,79.77973951750052,0.9574777933084279,0.6553953607856554,False,False,False,True,False,False,lower_density_exhaustion,100.00000000000001,0.11617453655877473,0.7068301052621403,0.9999994964181944,16.782098375621118
1400,1100,0.9,40,nearest_slice_clamp,True,0.3309951114727723,0.9005578216313761,0.4585661519471453,79.77973951750052,0.957679454331908,0.6574372972663544,False,False,False,True,False,False,lower_density_exhaustion,100.00000000000001,0.11474822530154602,0.7111093323367202,0.999999534627376,16.857440678006746
1200,1100,0.9,40,nearest_slice_clamp,True,0.3408991788259896,0.9014491632869268,0.45466332831354617,79.77973951750052,0.9565429793715139,0.6521603727394102,False,False,False,True,False,False,lower_density_exhaustion,100.00000000000001,0.12277119313294754,0.6876599222050994,0.9999990791178501,16.901770075648184
1500,1100,0.9,40,nearest_slice_clamp,True,0.3309951114727723,0.9005578216313761,0.4585661519471453,79.77973951750052,0.957879384485703,0.6594716078215199,False,False,False,True,False,False,lower_density_exhaustion,100.00000000000001,0.11333573028944047,0.7153988718418415,0.9999995700067583,16.934493964791713
1500,1100,0.9,20,nearest_slice_clamp,True,0.3309951114727723,0.9005578216313761,0.4585661519471453,79.77973951750052,0.9408869060994554,0.523578251162907,False,False,False,True,False,False,lower_density_exhaustion,79.77973951750052,0.23479254645496853,0.46208920550774485,0.9999332747528304,17.785173574316847
1400,1100,0.9,20,nearest_slice_clamp,True,0.3309951114727723,0.9005578216313761,0.4585661519471453,79.77973951750052,0.9404836542872653,0.5210126128378428,False,False,False,True,False,False,lower_density_exhaustion,79.77973951750052,0.23756755807102045,0.457994091349743,0.9999271702126734,17.95079085688156
1300,1100,0.9,20,nearest_slice_clamp,True,0.33099511535633186,0.9005589322298054,0.45856142992190335,79.77973951750052,0.940075808827043,0.518432614557381,False,False,False,True,False,False,lower_density_exhaustion,79.77973951750052,0.24036281718801772,0.45391716448738445,0.9999205507921681,18.123621053663697
1300,1200,0.7,5,nearest_slice_clamp,True,0.11344264408894332,0.7520803705474393,0.7618661739316558,63.64806837480235,0.9605628307711191,0.6892313002815751,False,False,False,True,False,False,lower_density_exhaustion,100.00000000000001,0.09414453077628934,0.7754580587633702,0.9999998510657564,18.32162505046277
1300,1200,0.8,5,nearest_slice_clamp,True,0.16393329582945548,0.8093058583729723,0.693802542347989,63.64806837480235,0.9609632437872173,0.6936699352434789,False,False,False,True,False,False,lower_density_exhaustion,100.00000000000001,0.09400527082579077,0.7759675983038133,0.999999853801952,18.555982035974022
1500,1100,0.8,40,nearest_slice_clamp,True,0.1559769060380134,0.8020724186592849,0.7039767933317668,63.64806837480235,0.9438360491972791,0.577159477296264,False,False,False,True,False,False,lower_density_exhaustion,79.77973951750052,0.2138816399083292,0.4945687677503203,0.9998708243613709,18.59125385250482
1400,1100,0.8,40,nearest_slice_clamp,True,0.1559769060380134,0.8020724186592849,0.7039767933317668,63.64806837480235,0.9434927207599214,0.5748336970909721,False,False,False,True,False,False,lower_density_exhaustion,79.77973951750052,0.21629466068626468,0.49065941636332744,0.9998596170442527,18.680255535775594
