T1_C,switch_density,hold_h,lower_boundary_max_T2_C,upper_boundary_min_T2_C,lower_boundary_present,upper_boundary_present,success_count,finite_window
1200,0.7,5,1100,1000.0,True,True,0,False
1200,0.7,10,1100,1000.0,True,True,0,False
1200,0.7,20,1100,1000.0,True,True,0,False
1200,0.7,30,1100,1000.0,True,True,0,False
1200,0.7,40,1100,1000.0,True,True,0,False
1200,0.8,5,1100,1000.0,True,True,0,False
1200,0.8,10,1100,1000.0,True,True,0,False
1200,0.8,20,1100,1000.0,True,True,0,False
1200,0.8,30,1100,1000.0,True,True,0,False
1200,0.8,40,1100,1100.0,True,True,0,False
1200,0.9,5,1100,,True,False,0,False
1200,0.9,10,1100,1100.0,True,True,0,False
1200,0.9,20,1100,1100.0,True,True,0,False
1200,0.9,30,1100,1100.0,True,True,0,False
1200,0.9,40,1100,1100.0,True,True,0,False
1300,0.7,5,1200,1000.0,True,True,0,False
1300,0.7,10,1100,1000.0,True,True,0,False
1300,0.7,20,1200,1000.0,True,True,0,False
1300,0.7,30,1200,1000.0,True,True,0,False
1300,0.7,40,1200,1000.0,True,True,0,False
1300,0.8,5,1200,1000.0,True,True,0,False
1300,0.8,10,1100,1000.0,True,True,0,False
1300,0.8,20,1200,1000.0,True,True,0,False
1300,0.8,30,1200,1000.0,True,True,0,False
1300,0.8,40,1200,1100.0,True,True,0,False
1300,0.9,5,1200,1200.0,True,True,0,False
1300,0.9,10,1100,1100.0,True,True,0,False
1300,0.9,20,1200,1100.0,True,True,0,False
1300,0.9,30,1200,1100.0,True,True,0,False
1300,0.9,40,1200,1100.0,True,True,0,False
1400,0.7,5,1300,1000.0,True,True,0,False
1400,0.7,10,1300,1000.0,True,True,0,False
1400,0.7,20,1300,1000.0,True,True,0,False
1400,0.7,30,1300,1000.0,True,True,0,False
1400,0.7,40,1300,1000.0,True,True,0,False
1400,0.8,5,1300,1000.0,True,True,0,False
1400,0.8,10,1300,1000.0,True,True,0,False
1400,0.8,20,1300,1000.0,True,True,0,False
1400,0.8,30,1300,1000.0,True,True,0,False
1400,0.8,40,1300,1100.0,True,True,0,False
1400,0.9,5,1300,1200.0,True,True,0,False
1400,0.9,10,1300,1100.0,True,True,0,False
1400,0.9,20,1300,1100.0,True,True,0,False
1400,0.9,30,1300,1100.0,True,True,0,False
1400,0.9,40,1300,1100.0,True,True,0,False
1500,0.7,5,1300,1000.0,True,True,0,False
1500,0.7,10,1300,1000.0,True,True,0,False
1500,0.7,20,1300,1000.0,True,True,0,False
1500,0.7,30,1300,1000.0,True,True,0,False
1500,0.7,40,1300,1000.0,True,True,0,False
1500,0.8,5,1300,1000.0,True,True,0,False
1500,0.8,10,1300,1000.0,True,True,0,False
1500,0.8,20,1300,1000.0,True,True,0,False
1500,0.8,30,1300,1000.0,True,True,0,False
1500,0.8,40,1300,1100.0,True,True,0,False
1500,0.9,5,1300,1100.0,True,True,0,False
1500,0.9,10,1300,1100.0,True,True,0,False
1500,0.9,20,1300,1100.0,True,True,0,False
1500,0.9,30,1300,1100.0,True,True,0,False
1500,0.9,40,1300,1100.0,True,True,0,False
