T1_C,T2_C,switch_density,hold_h,barrier_mode,first_step_attained,G1_um,rho1,fine1,D90_1_nm,final_rho,final_G_um,density_ok,grain_0p3_ok,grain_0p5_ok,grain_1p0_ok,strict_target_ok,chen_success,failure_class,final_D90_nm,final_fine_fraction,final_R_Z_um,final_Gamma_growth
1200,1000,0.7,5,nearest_slice_clamp,False,0.08939802180253736,0.7102346424589211,0.794528661098211,63.64806837480235,0.7102346424589211,0.08939802180253736,False,True,True,True,False,False,first_step_unattainable,63.64806837480235,0.794528661098211,0.044400819551122725,0.48407616206047066
1200,1000,0.7,10,nearest_slice_clamp,False,0.09558200473248099,0.7185739929480756,0.7885129252689999,63.64806837480235,0.7185739929480756,0.09558200473248099,False,True,True,True,False,False,first_step_unattainable,63.64806837480235,0.7885129252689999,0.046899596033289644,0.44586519860086926
1200,1000,0.7,20,nearest_slice_clamp,False,0.10613823766080506,0.7332427942724443,0.7770634991901028,63.64806837480235,0.7332427942724443,0.10613823766080506,False,True,True,True,False,False,first_step_unattainable,63.64806837480235,0.7770634991901028,0.05168319557849826,0.42203615737523287
1200,1000,0.7,30,nearest_slice_clamp,False,0.11554324511544185,0.7459256237327365,0.7661558741460113,63.64806837480235,0.7459256237327365,0.11554324511544185,False,True,True,True,False,False,first_step_unattainable,63.64806837480235,0.7661558741460113,0.05629292436127965,0.42315916298967066
1200,1000,0.7,40,nearest_slice_clamp,False,0.12435908084308657,0.7571056141479686,0.7556529238359383,63.64806837480235,0.7571056141479686,0.12435908084308657,False,True,True,True,False,False,first_step_unattainable,63.64806837480235,0.7556529238359383,0.0607917096631519,0.43288750056735315
1200,1000,0.8,5,nearest_slice_clamp,False,0.16127911333434525,0.8041685849153557,0.6994332497406411,63.64806837480235,0.8041685849153557,0.16127911333434525,False,True,True,True,False,False,first_step_unattainable,63.64806837480235,0.6994332497406411,0.08616861073491429,0.7038048727483122
1200,1000,0.8,10,nearest_slice_clamp,False,0.16651622296689056,0.8073609225210046,0.6947214634080818,63.64806837480235,0.8073609225210046,0.16651622296689056,False,True,True,True,False,False,first_step_unattainable,63.64806837480235,0.6947214634080818,0.08839945671356736,0.6855823002418466
1200,1000,0.8,20,nearest_slice_clamp,False,0.17621953392926748,0.8133202443435092,0.685542761724238,63.64806837480235,0.8133202443435092,0.17621953392926748,False,True,True,True,False,False,first_step_unattainable,63.64806837480235,0.685542761724238,0.0927987384898714,0.6618969619768512
1200,1000,0.8,30,nearest_slice_clamp,False,0.18518435476211176,0.8187992910837194,0.6766341263384421,63.64806837480235,0.8187992910837194,0.18518435476211176,False,True,True,True,False,False,first_step_unattainable,63.64806837480235,0.6766341263384421,0.09713734750489403,0.6500810478476738
1200,1000,0.8,40,nearest_slice_clamp,False,0.19363599405315335,0.8238745125503492,0.6679497005809151,63.64806837480235,0.8238745125503492,0.19363599405315335,False,True,True,True,True,False,first_step_unattainable,63.64806837480235,0.6679497005809151,0.1014330323918414,0.6459069983082535
1200,1000,0.9,5,nearest_slice_clamp,False,0.3415689102731458,0.9014803002071015,0.4523518931746679,79.77973951750052,0.9014803002071015,0.3415689102731458,False,False,True,True,True,False,first_step_unattainable,79.77973951750052,0.4523518931746679,0.2341254523348644,0.9904477723674313
1200,1000,0.9,10,nearest_slice_clamp,False,0.3451342564012769,0.9022415338154155,0.4490737821104692,79.77973951750052,0.9022415338154155,0.3451342564012769,False,False,True,True,True,False,first_step_unattainable,79.77973951750052,0.4490737821104692,0.23663530619195108,0.9904918891127528
1200,1000,0.9,20,nearest_slice_clamp,False,0.3521572298309992,0.9037230623602572,0.4425997296707711,79.77973951750052,0.9037230623602572,0.3521572298309992,False,False,True,True,True,False,first_step_unattainable,79.77973951750052,0.4425997296707711,0.2416491557863961,0.9906219201417059
