parameter,minimum,maximum,scale
k_PR_ref,1e-08,0.01,log
Q_PR,100000.0,400000.0,linear
T_PR_ref_C,900,1200,linear
low_activity_gate_mid,0.05,0.5,linear
low_activity_gate_width,0.03,0.2,linear
activity_power,1,4,discrete
PR_to_smoothing_fraction,0,1,linear
PR_to_large_tail_fraction,0,1,linear
PR_to_TJ_fraction,0,1,linear
PR_to_isolated_fraction,0,1,linear
PR_to_closed_fraction,0,1,linear
drive_loss_coupling,0,10,linear
connected_sink_loss_coupling,0,10,linear
large_tail_penalty_power,0.5,4,linear
PR_damage_persistence_tau,1000.0,10000000.0,log
Q_PR_damage_relax,100000.0,500000.0,linear
coal_factor,0.3,10,log
detach_factor,0.3,10,log
recapture_factor,0.1,3,log
closed_factor,0.3,3,log
