attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,candidate_id,rho_high_final,rho_two_final,G_high_final_nm,G_two_final_nm
False,0.05572176722679356,0.0717652635399697,0.08888358418199893,0.0,0.0,0.0018999543156112643,Tier_C,,230375,0.9942603992408293,0.9759566858094189,370.90765197887976,318.70994494554384
True,0.02276961818238199,0.03545718986256563,0.04783918740042181,0.0,0.0,0.0010749832321856855,Tier_C,,19540,0.9941895388170554,0.994980679068963,131.17640806305303,123.573519139973
True,0.13507664854699808,0.15698874994818923,0.1852851492785047,0.0,0.0,0.005138066500762588,Tier_C,,64752,0.9949620592901997,0.9949814260072921,327.8824509357233,247.3822585928311
True,0.1454696781818995,0.17568852317966588,0.21752861723781836,0.005699999999999372,0.0,0.005857163522144461,Tier_C,,29886,0.9948966140891536,0.9919990828115167,251.75369130317745,177.30830115697796
True,0.08234523231911905,0.10054522119095888,0.1285415839078805,0.0,0.0,0.0032491595243664298,Tier_C,,175275,0.9946410967145519,0.9948933634509591,279.2368805467128,229.15217526297363
True,0.1144353565518772,0.13552302497739122,0.15784142929364742,0.0,0.0,0.004347384541235369,Tier_C,,81388,0.9941388218893572,0.9948207060492925,265.0085267722619,209.3814280079598
True,0.14348868479928067,0.1860064498108127,0.24214646432284337,0.010699999999998822,0.0,0.006282544256500742,Tier_C,,209155,0.9949321039542282,0.9905286891678491,239.85310926439547,157.32492173382875
True,0.09251757096793689,0.12080421379466943,0.16302482297334542,0.0,0.0,0.003984908525364534,Tier_C,,127794,0.9941461450551222,0.9948254010644899,209.17359846638112,162.69330286096098
True,0.04132843747478743,0.05979556805636155,0.08691753651611578,0.0,0.0,0.001894762222692227,Tier_C,,186365,0.9944961250317416,0.9944376639378486,135.39629973813496,116.12918532584266
True,0.14230375813361384,0.17454137674251624,0.21774043566443202,0.005599999999999383,0.0,0.005828277655934626,Tier_C,,169493,0.9948560207020194,0.9902445129883698,241.06309635040782,169.16683641644272
True,0.04541511741649973,0.05981930900034116,0.07958255864252184,0.0,0.0,0.0018527075903647706,Tier_C,,197841,0.9937293498949006,0.9948369921114834,413.64866977758817,367.902405584319
True,0.12184261211811354,0.15205089008002826,0.19061087359865603,0.0,0.0,0.0049887983028315255,Tier_C,,53731,0.9948007666116484,0.9949679572860867,214.26479727695903,156.98552053131417
True,0.08781324822418946,0.10425874989057349,0.12672567167387716,0.0,0.0,0.0033415562413096423,Tier_C,,114385,0.9940818825446246,0.9949595979759703,269.1344937498444,222.80254776449846
True,0.1400588160437245,0.1713402660004163,0.21299218017100086,0.0039999999999995595,0.0,0.005707747715516142,Tier_C,,1214,0.9948069042636396,0.9947196942606283,255.52239050512017,180.39836019041977
True,0.09732717266157942,0.11464965986188591,0.13638674762997782,0.0,0.0,0.0036797246560444172,Tier_C,,6559,0.9948171483718778,0.9836131083869467,303.4085920900892,250.6287900674481
True,0.05571520584337242,0.07506412590507217,0.10115982154456138,0.0,0.0,0.002412837023696676,Tier_C,,193406,0.9944679818218801,0.9924912713224178,347.4105473889874,296.4324057920405
False,0.07216707915631415,0.08385680894781056,0.09527346703694195,0.0,0.0,0.0010825784737320482,Tier_C,,141919,0.9948561843227264,0.9626968956458971,294.5144039112434,235.63590831431378
True,0.11422361488313282,0.14039355242020368,0.17537009793327984,0.0,0.0,0.004592170923026974,Tier_C,,65117,0.9945661448507365,0.994916724604227,219.00166975040742,165.68950434730064
True,0.21012247673929818,0.25261696171159753,0.3068611965916648,0.029999999999996696,0.0014999999999998348,0.00883224120686531,Tier_B,,149842,0.9948733700238822,0.9948952317206174,369.55377101500864,219.7933972818284
True,0.09591760952099504,0.1231489129472173,0.15620931468933807,0.0,0.0,0.003993085543851167,Tier_C,,148315,0.994453492925363,0.9943951756894771,221.03266788406424,173.50952863141768
True,0.06377874977069309,0.08589024214208663,0.10992739692157938,0.0,0.0,0.002637330136244443,Tier_C,,237968,0.9943763115756451,0.9949979198929453,319.0484053966447,267.5702708180069
True,0.20213066861621132,0.23592714983810292,0.27978772682654185,0.029999999999996696,0.0,0.008162334544260456,Tier_B,,123058,0.9948036204781542,0.9949255116651641,397.35868598701217,252.79539802723497
True,0.034759088479556555,0.05214833692578402,0.07778943123842819,0.0,0.0,0.0016494099663352726,Tier_C,,229932,0.994209544154132,0.994908101971741,134.6328333631651,117.21255232609263
True,0.14512261073704147,0.15151759944969623,0.18073132330815822,0.0,0.0,0.005140376792076932,Tier_C,,180597,0.9938726552650999,0.9948552346155981,177.82909971168323,136.9042075197412
True,0.22949146360501493,0.6802477570519483,0.6957542195272413,0.029999999999996696,0.022899999999997478,0.02529277038539392,Tier_B,,178058,0.9907371371659752,0.994854298848252,448.8460543953101,132.76133957876837
True,0.18177408281377672,0.21255003251857307,0.2510903539838053,0.020199999999997775,0.0,0.0072074300452696595,Tier_B,,233792,0.9949626295065288,0.9938984825479183,418.8526076637977,280.15224105831976
True,0.06141192159767983,0.08667351785139155,0.113492112719763,0.0,0.0,0.00275376959983311,Tier_C,,90003,0.9941273232621832,0.9949812288869337,299.7002498748898,248.53399078134774
True,0.025444211775424663,0.03927381372268046,0.06032252391980886,0.0,0.0,0.0012438910959250739,Tier_C,,18332,0.9945483336396289,0.9949535459299164,129.90813032785593,116.60331583250627
True,0.026346404426672687,0.042006121374790206,0.06487345413180345,0.0,0.0,0.0013250462782608123,Tier_C,,246715,0.9945146596479472,0.9949763900148255,129.3732267067738,115.20251905658647
True,0.13268169289746434,0.1635937661964093,0.20453594121956242,0.0012999999999998568,0.0,0.005425204677141427,Tier_C,,7827,0.9948221728774842,0.9947326079176354,236.47190822904665,169.18673890507745
True,0.08450556499584494,0.10979622373295939,0.14443070858127716,0.0,0.0,0.0035428009998025524,Tier_C,,249842,0.994456795252405,0.9949661520675138,161.233941014845,127.17258652711807
True,0.1849319959952892,0.2160914202542532,0.257020290768151,0.022299999999997544,0.0,0.007381355647588002,Tier_B,,153380,0.9949398115941562,0.9939385902142913,390.3798564812387,259.7565916030688
True,0.062343272419476015,0.08742544694984,0.11439592354437145,0.0,0.0,0.002716883586025748,Tier_C,,133351,0.9940401476593728,0.994896753888432,296.5072784657498,247.356333626821
True,0.18768418875048953,0.2195349902970567,0.2599197465083456,0.024199999999997335,0.0,0.007494643091741605,Tier_B,,10862,0.9948223984041029,0.9949258175730062,360.81650581351,238.0629786533164
True,0.07147644990089708,0.09701753395352908,0.13324300169472592,0.0,0.0,0.003126207798892304,Tier_C,,91596,0.9944637466821314,0.9948738107319968,156.87314616387744,125.04559890816273
True,0.07307164034252978,0.10259171258897193,0.14467796908698405,0.0,0.0,0.0033217005389896757,Tier_C,,60532,0.9944581564025049,0.9949154113607775,165.89998773151197,128.18525848509458
True,0.1323624917377464,0.15644550502265586,0.19095066688558837,0.0,0.0,0.005177477655509331,Tier_C,,172038,0.9949182738086542,0.9946786449003424,260.0013258033952,193.3846329261577
True,0.16343226616865403,0.19697321532455925,0.24545579181405375,0.013499999999998513,0.0,0.006705740244719474,Tier_C,,184103,0.9946043906728438,0.9948299703729045,265.9187461215473,181.30466582568428
True,0.03945220119382309,0.058789478089411706,0.11687152446575177,0.0,0.0,0.0022948861066960265,Tier_C,,193553,0.9943588641654998,0.9949420771885009,160.72534197486948,136.05545085632846
True,0.11395162813019744,0.14644917632426346,0.19093116626948192,0.0,0.0,0.004827798880371966,Tier_C,,180537,0.9946261549893964,0.9947766340340161,222.90889294028017,161.30687677423757
True,0.055131274816739295,0.07338050656864448,0.0935448128892421,0.0,0.0,0.0023013490497175715,Tier_C,,90207,0.9942385136749882,0.9944409134144399,353.13030785411274,305.98063262251446
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,88000,0.9946065104073534,0.9486912792372205,423.9963194240279,371.35686558021797
True,0.07501697149065789,0.1009637913091439,0.1369803917624245,0.0,0.0,0.003235882454545482,Tier_C,,97027,0.9946279473736931,0.9949795907950955,268.25088568868085,214.2908404051988
True,0.11642203720576083,0.15299467604962524,0.20268350421724424,0.0005999999999999339,0.0,0.005070174864461622,Tier_C,,169349,0.9949809291163727,0.9948059502131253,199.15391131363987,139.41698993955472
False,0.20746086078174553,0.25276588350929324,0.30584378110046806,0.0244999999999973,0.0011999999999998678,0.007197863048707233,Tier_B,,239481,0.9949611155679381,0.9744749200397854,338.3784040581451,176.89798310719493
True,0.08287294672470902,0.11656936957341157,0.16462776328312734,0.0,0.0,0.0038070899224565925,Tier_C,,30073,0.9947369074269005,0.9949365358878716,177.3499029614379,130.94721167659316
True,0.6186055280565732,0.6284544208701567,0.6382320578207648,0.029999999999996696,0.029999999999996696,0.02967976914487068,Tier_B,,155976,0.9949700662161614,0.9948014974458911,343.99141962855066,122.12517667045381
True,0.08231688106423551,0.10640243561876384,0.1398429549784994,0.0,0.0,0.0034340382558083666,Tier_C,,206094,0.9946823639235379,0.994973179405842,181.5661257139325,144.01118196353417
True,0.0655283557416576,0.08404861400509867,0.11239080506451404,0.0,0.0,0.0026998661805318664,Tier_C,,32635,0.9940222152693815,0.9806932223231929,307.1550920740682,254.54152666216237
True,0.09181917900791026,0.11141678759478901,0.13890408694083511,0.0,0.0,0.0035894741955060615,Tier_C,,137090,0.9949209282113893,0.9886140691769048,203.16071056518678,164.46848931191377
True,0.07775052627080492,0.09261884542056709,0.11232187254652559,0.0,0.0,0.0029621332469975774,Tier_C,,128646,0.9942058881040633,0.9947253625053423,420.68581908988693,360.2098235762283
True,0.14126183615469434,0.170732522786732,0.2118501493432764,0.0037999999999995815,0.0,0.005738211039792102,Tier_C,,158545,0.994823531766605,0.9949770706265547,256.81260155110783,182.71297899207283
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,9704,0.9714386586286273,0.8953108867235886,450.65524151056457,419.9218820744787
True,0.07492350149620042,0.1048696601698832,0.13408328369583733,0.0,0.0,0.003302644667991553,Tier_C,,19125,0.9949129197069766,0.9907828953710286,263.15658428771417,211.01667247448722
True,0.13976814715260344,0.16715064820549752,0.20509620281813135,0.0013999999999998458,0.0,0.00555911194216743,Tier_C,,160984,0.9948661855421764,0.9949540537587067,289.6397767936715,208.6660588533688
True,0.09297457444831514,0.1176215020545569,0.15129136793050668,0.0,0.0,0.0038080846430111484,Tier_C,,183157,0.9947630676713018,0.994735307064765,206.12391645318465,160.9176529029052
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,107973,0.986588760024132,0.9029331185926792,450.67396013526235,409.0581359175877
True,0.08458139083861516,0.11527255453633023,0.15856552885495012,0.0,0.0,0.003753787956821961,Tier_C,,70997,0.9949922834804974,0.9949752808731567,163.49581483138857,123.0820661311335
True,0.10560974762087205,0.13770873317899623,0.18093644350104432,0.0,0.0,0.0044389576924923025,Tier_C,,22704,0.994715264737808,0.9949447289040821,223.8560224486266,164.2496354739604
True,0.02800677073929214,0.043396208504637546,0.06569979350099853,0.0,0.0,0.0013661270416689482,Tier_C,,200352,0.9942496588345763,0.9949167039225753,128.8696529834444,114.89734754942347
True,0.0613074782129126,0.08470174885013948,0.1098834374200619,0.0,0.0,0.002634597420355881,Tier_C,,216815,0.9940471179914419,0.9948320572521367,302.07131049924584,255.70622319727175
True,0.031184701786073465,0.04767718595079595,0.07241079222676294,0.0,0.0,0.001512994206839358,Tier_C,,159657,0.9944771439659684,0.9949764078389715,128.8061942386998,113.09699234273106
