attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,candidate_id,rho_high_final,rho_two_final,G_high_final_nm,G_two_final_nm,window_width_C,lower_bracketed,upper_bracketed,complete
True,0.07232858432161948,0.09239841532443671,0.11879745076075532,0.0,0.0,0.0029411602866296037,Tier_C,,143680,0.9949413780887719,0.9949605293363292,205.1497763075637,169.6039978893676,0.0,False,True,False
True,0.04399613499153787,0.06216235436533357,0.07603737176647107,0.0,0.0,0.0018818519087297632,Tier_C,,204383,0.9945023436494377,0.9908433537514062,191.36812274594382,171.4831296968591,0.0,False,True,False
True,0.04517988441563836,0.05770922604441564,0.07237502344516233,0.0,0.0,0.0018054270782901618,Tier_C,,23831,0.9947176573254221,0.9949177487204227,180.4566232316365,164.26554444883058,0.0,False,True,False
True,0.05338435020533927,0.06811661991438689,0.08257052169561108,0.0,0.0,0.0020947116152431723,Tier_C,,248418,0.994404267730763,0.9949757333779455,172.00513921783732,153.13757465880948,0.0,False,True,False
True,0.049630635425433556,0.06251925772234013,0.07235365071320143,0.0,0.0,0.0018998885665700406,Tier_C,,178058,0.9948603619858125,0.9949904622950793,177.2248159569498,161.0575806958628,0.0,False,True,False
True,0.05373839915309975,0.06464963961099379,0.08590973743718855,0.0,0.0,0.002074120136656399,Tier_C,,123428,0.9948420492757586,0.9949770757371945,180.12045860430337,159.1601671580236,0.0,False,True,False
True,0.03801926447377879,0.04619315374360178,0.060001458072687974,0.0,0.0,0.001453764060662608,Tier_C,,179780,0.9948615134067259,0.9837073811228828,186.86181226250864,168.9703590822602,0.0,False,True,False
True,0.047753342424340595,0.06389638949792664,0.09429817267710183,0.0,0.0,0.002106458261588018,Tier_C,,235695,0.9948781460305853,0.9949464320381337,206.85860588278646,176.49761558409787,0.0,False,True,False
False,0.02831355983463779,0.037886649608708634,0.04449394463130707,0.0,0.0,0.00113462387639002,Tier_C,,182435,0.9948088762805296,0.9796986239214733,171.7146202515962,158.94380177358045,0.0,False,True,False
True,0.06597558540366033,0.08768488270917318,0.1175094275949855,0.0,0.0,0.0027931176551982025,Tier_C,,148839,0.9949154831952886,0.9949760449723329,193.45753297539187,162.0794256722856,0.0,False,True,False
True,0.055776052071826676,0.07555265475502582,0.09712129360743416,0.0,0.0,0.0023415450694721745,Tier_C,,173209,0.9945209359626692,0.9949817042220006,193.82569365456197,168.22726950189744,0.0,False,True,False
True,0.062026641353474465,0.07906165380292118,0.10198876460744333,0.0,0.0,0.0025360882130543395,Tier_C,,89720,0.9947286813053305,0.9949817070920774,167.9305823677569,144.68492538274745,0.0,False,True,False
True,0.07352095552709659,0.09604313845089263,0.12628719322445958,0.0,0.0,0.0030774372171140283,Tier_C,,75732,0.994942849473145,0.9949407590745685,206.87720775032588,168.13089750138639,0.0,False,True,False
False,0.04148115201283309,0.0559699739399776,0.06941828168970443,0.0,0.0,0.0013455959762662638,Tier_C,,34665,0.9948574913889081,0.9737780880976149,159.46733509663454,141.65688525458114,0.0,False,True,False
True,0.058638057191260806,0.07687073152359158,0.09395485369284629,0.0,0.0,0.0023871722452964432,Tier_C,,58791,0.9945770486313917,0.9949856402800739,172.41726391024585,154.80186546773615,0.0,True,True,False
True,0.07627169153436231,0.0983844381086727,0.12514783676721009,0.0,0.0,0.0031173417369749707,Tier_C,,54525,0.9949674246532827,0.994992500336386,195.37758807656616,162.5375151523887,0.0,False,True,False
True,0.06157344594207115,0.07851774669715073,0.10071854144393644,0.0,0.0,0.002501864174592906,Tier_C,,133029,0.9949179703404528,0.9872923324310524,187.60590588340241,161.16065950357282,0.0,False,True,False
True,0.05637906409847804,0.0668586420932995,0.07969444809842596,0.0,0.0,0.0021058174523178883,Tier_C,,246869,0.994975280502417,0.994961425332415,183.68938443150356,160.0423626148034,0.0,False,True,False
True,0.06571046297480954,0.08667894037206836,0.11024799654705408,0.0,0.0,0.0027588763007013366,Tier_C,,201575,0.9948011095622942,0.9949930387587151,191.88111220325104,163.89988182038445,0.0,False,True,False
True,0.032822941078087364,0.041688917626578004,0.053535791610691774,0.0,0.0,0.001310911246731025,Tier_C,,235940,0.9947175434537716,0.9897081861756726,167.79106171902987,155.99663877080553,0.0,False,True,False
True,0.05255275040964369,0.06599459921106232,0.08501515378795055,0.0,0.0,0.002112893714751287,Tier_C,,150192,0.9946411178002296,0.9949558422565011,162.9269612611643,144.74109354131764,0.0,False,True,False
True,0.04282554542762684,0.05731000665872199,0.07492523742658574,0.0,0.0,0.0017933603962214007,Tier_C,,21979,0.9948888189443318,0.9946385374229202,181.41414683442778,164.1805281785618,0.0,False,True,False
True,0.07144832062645634,0.0915917320028301,0.11783978231816095,0.0,0.0,0.0029301352301421583,Tier_C,,225549,0.994911264320843,0.9949954743918737,195.28031873105516,164.2040974832296,0.0,False,True,False
True,0.057156809868010194,0.07642775198104901,0.09858695277744844,0.0,0.0,0.0023849771728895915,Tier_C,,135801,0.9948924649766092,0.9949945887402396,175.9368668574824,150.81440397664343,0.0,False,True,False
True,0.07073184549773315,0.08906786768982045,0.11116880859454525,0.0,0.0,0.002806359196115145,Tier_C,,249408,0.9949135418931563,0.9949454028647521,174.56123904278766,148.33331547502127,0.0,False,True,False
True,0.05175122087376083,0.06494297189959308,0.0800636809761398,0.0,0.0,0.0020315897409547957,Tier_C,,18411,0.9949665553841393,0.9949939186589822,166.29427711796626,149.4594994451487,0.0,False,True,False
True,0.07034579152890541,0.0912834385339848,0.11691983473227174,0.0,0.0,0.0028872712577438257,Tier_C,,63278,0.9947652236705367,0.9949878127264715,185.04131260900286,154.96822468113794,0.0,False,True,False
True,0.051776749337745454,0.0654747665983696,0.07897489090288767,0.0,0.0,0.0020209316207530923,Tier_C,,172723,0.9949603127239838,0.9949806814615285,167.76272904583954,151.7042530676013,0.0,False,True,False
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,155976,0.994745543383889,0.9949852584012715,156.68401371901624,128.5358976441353,50,True,True,True
True,0.05497719523060984,0.07137965301104565,0.10051208706278358,0.0,0.0,0.002342515653315686,Tier_C,,210614,0.9948350710135233,0.9943013497171911,161.08572661463188,138.35619649050057,0.0,False,True,False
True,0.07237514860493033,0.0983713197181324,0.12766740790215614,0.0,0.0,0.0031167532790110993,Tier_C,,238924,0.9949870928333704,0.9949174519283375,163.98726518797633,136.53165461397109,0.0,False,True,False
True,0.095682445736329,0.118861514255452,0.15111978914246926,0.0,0.0,0.0038506643132183503,Tier_C,,68959,0.9949312752966832,0.9949947803582924,212.26336413188776,165.47836991946627,0.0,False,True,False
True,0.06645309019743528,0.08606421822493726,0.10685664280643259,0.0,0.0,0.002661791118798001,Tier_C,,79939,0.9947215297604637,0.9949948840172789,166.0438188987474,142.2073347296351,0.0,False,True,False
True,0.06504505248453885,0.08508941342605703,0.11390833736095718,0.0,0.0,0.0027619807172883683,Tier_C,,232116,0.9947579707732112,0.9949825487725255,155.42397485619804,131.26185603043987,0.0,False,True,False
True,0.09384962366510208,0.12174428819189831,0.158118213974201,0.0,0.0,0.003914820753601249,Tier_C,,122603,0.9948730848727322,0.9949840072525846,198.52309419921463,154.9590837275259,0.0,False,True,False
True,0.037753152166018156,0.04893692655544024,0.06454777950065238,0.0,0.0,0.0015709290773861626,Tier_C,,47751,0.9946860905867464,0.9949816522150816,151.50097527148606,140.163150122415,0.0,False,True,False
True,0.0710683191150785,0.09531569244261995,0.12388331679923004,0.0,0.0,0.0030211395771283546,Tier_C,,3100,0.9948973365878169,0.9949868445026646,176.4368029076585,145.18055476094642,0.0,False,True,False
True,0.06860948310123971,0.08813719905218809,0.11627393790048335,0.0,0.0,0.00281501559392638,Tier_C,,204419,0.9949793356575758,0.994993337162505,156.2618021728516,130.9418828205593,0.0,False,True,False
True,0.06189639151614912,0.0775824443283194,0.09781258713228524,0.0,0.0,0.0024504883383150494,Tier_C,,49193,0.994894645866178,0.9949072416027398,152.2110425860809,130.4748496488103,0.0,False,True,False
False,0.08618416048810273,0.10999027975874087,0.1357760186943069,0.0,0.0,0.0035286490139317464,Tier_C,,231079,0.9946473167233972,0.9797979016468187,172.9951841483522,144.13304502190545,0.0,False,True,False
True,0.09078819487104972,0.11677055164598371,0.14020814165286666,0.0,0.0,0.0036986312686314513,Tier_C,,24541,0.994967022581622,0.9915604098688588,169.88793299480523,136.4106234845753,0.0,False,True,False
True,0.06480248345251005,0.08294760020456415,0.11035438860495306,0.0,0.0,0.0026713943908848225,Tier_C,,249575,0.9948737226041837,0.9871194386755456,151.88814315471026,129.40285090771616,0.0,False,True,False
True,0.058817223989677814,0.07499518364995528,0.08931248857478324,0.0,0.0,0.002317705523794774,Tier_C,,125669,0.9948368051788736,0.9949834161413895,150.9769185574286,133.71897195070153,0.0,False,True,False
True,0.06598269425805736,0.08446273969058482,0.11026187232015483,0.0,0.0,0.0026793768767623682,Tier_C,,209643,0.9948075998501487,0.9949730071953998,159.69227331812073,135.92178945947094,0.0,False,True,False
True,0.049490128066264405,0.06418180386934436,0.08247187215861662,0.0,0.0,0.002032932573305655,Tier_C,,164099,0.9949100331905684,0.9949940645122198,140.78170848655733,124.98430016846409,0.0,False,True,False
True,0.08264802529356352,0.1084749334373577,0.13829063242621709,0.0,0.0,0.003446846084379994,Tier_C,,116138,0.9948102556264953,0.994950272874987,172.31073167448147,140.1599948854799,0.0,False,True,False
True,0.052676763062889265,0.07002010133336423,0.0906713640044734,0.0,0.0,0.002189388069359306,Tier_C,,245447,0.9946538514009873,0.9949805893704973,143.44631097494377,124.1124362440075,0.0,False,True,False
