case_id,path,budget_h,reference_rate_C_min,t,T_C,rho,G,rho_dot_open,rho_dot_closed,closed_pore_fraction,closed_mean_radius,closed_D90,gas_capillary_ratio,sigma_res_hydro
LS001,reference,500.0,1.0,0.0,25.0,0.65,7.500000000000001e-08,7.387444916385259e-110,0.0,0.0,0.0,0.0,0.0,50000000.0
LS001,reference,500.0,1.0,240.00000000001364,29.000000000000227,0.65,7.500000000000001e-08,7.412720382554383e-108,1.228576742855969e-42,9.021738319371157e-18,4.177656829534831e-08,7.390387291412669e-08,0.0,49940035.985604316
LS001,reference,500.0,1.0,480.0000000000273,33.000000000000455,0.65,7.500000000000001e-08,6.594171774892733e-106,2.457153485711938e-42,1.8043476638742315e-17,4.177656829534831e-08,7.390387291412669e-08,0.0,49880143.88486908
LS001,reference,500.0,1.0,720.0000000000409,37.00000000000068,0.65,7.500000000000001e-08,5.224752640981426e-104,3.6857302285679075e-42,2.7065214958113474e-17,4.177656829534831e-08,7.390387291412669e-08,0.0,49820323.61154965
LS001,reference,500.0,1.0,960.0000000000546,41.00000000000091,0.65,7.500000000000001e-08,3.7035188133097845e-102,4.914306971423876e-42,3.608695327748463e-17,4.177656829534831e-08,7.390387291412669e-08,0.0,49760575.07950483
LS001,reference,500.0,1.0,1200.0000000000682,45.00000000000114,0.65,7.500000000000001e-08,2.3584715306455065e-100,6.142883714279847e-42,4.51086915968558e-17,4.17765682953483e-08,7.390387291412669e-08,0.0,49700898.202696726
LS001,reference,500.0,1.0,1440.0000000000819,49.000000000001364,0.65,7.500000000000001e-08,1.3547130524646734e-98,7.371460457135816e-42,5.413042991622696e-17,4.1776568295348304e-08,7.390387291412669e-08,0.0,49641292.89519062
LS001,reference,500.0,1.0,1680.0000000000955,53.00000000000159,0.65,7.500000000000001e-08,7.045517299199508e-97,8.600037199991784e-42,6.315216823559811e-17,4.177656829534832e-08,7.390387291412669e-08,0.0,49581759.07115486
LS001,reference,500.0,1.0,1920.0000000001091,57.00000000000182,0.65,7.500000000000001e-08,3.3296284032699956e-95,9.828613942847752e-42,7.217390655496927e-17,4.177656829534831e-08,7.390387291412669e-08,0.0,49522296.64486074
LS001,reference,500.0,1.0,2160.000000000123,61.000000000002046,0.6499999999999999,7.500000000000001e-08,1.4347930999122785e-93,1.1057190685703723e-41,8.11956448743404e-17,4.177656829534832e-08,7.390387291412669e-08,0.0,49462905.53068234
LS001,reference,500.0,1.0,2400.0000000001364,65.00000000000227,0.6499999999999999,7.500000000000001e-08,5.6560869990447e-92,1.2285767428559682e-41,9.02173831937115e-17,4.1776568295348304e-08,7.390387291412669e-08,0.0,49403585.643096454
LS001,reference,500.0,1.0,2640.00000000015,69.0000000000025,0.6499999999999999,7.500000000000001e-08,2.0461256703906744e-90,1.3514344171415634e-41,9.923912151308254e-17,4.1776568295348304e-08,7.390387291412669e-08,0.0,49344336.89668243
LS001,reference,500.0,1.0,2880.0000000001637,73.00000000000273,0.6499999999999999,7.500000000000001e-08,6.81289030510639e-89,1.4742920914271592e-41,1.0826085983245361e-16,4.177656829534831e-08,7.390387291412669e-08,0.0,49285159.20612206
LS001,reference,500.0,1.0,3120.0000000001774,77.00000000000296,0.6499999999999999,7.500000000000001e-08,2.0938602974344305e-87,1.597149765712755e-41,1.1728259815182468e-16,4.177656829534831e-08,7.390387291412669e-08,0.0,49226052.48619947
LS001,reference,500.0,1.0,3360.000000000191,81.00000000000318,0.6499999999999999,7.500000000000001e-08,5.956070084013834e-86,1.7200074399983505e-41,1.2630433647119574e-16,4.177656829534831e-08,7.390387291412669e-08,0.0,49167016.65180096
LS001,reference,500.0,1.0,3600.0000000002046,85.00000000000341,0.6499999999999999,7.500000000000001e-08,1.572148676348482e-84,1.8428651142839463e-41,1.3532607479056679e-16,4.1776568295348324e-08,7.390387291412669e-08,0.0,49108051.61791492
LS001,reference,500.0,1.0,3840.0000000002183,89.00000000000364,0.6499999999999999,7.500000000000001e-08,3.860337977685354e-83,1.9657227885695418e-41,1.4434781310993788e-16,4.1776568295348304e-08,7.390387291412669e-08,0.0,49049157.29963171
LS001,reference,500.0,1.0,4080.000000000232,93.00000000000387,0.6499999999999999,7.500000000000001e-08,8.838612612843499e-82,2.0885804628551378e-41,1.5336955142930892e-16,4.177656829534831e-08,7.390387291412669e-08,0.0,48990333.61214347
LS001,reference,500.0,1.0,4320.000000000246,97.00000000000409,0.6499999999999999,7.500000000000001e-08,1.8912746193900566e-80,2.2114381371407333e-41,1.6239128974868e-16,4.1776568295348304e-08,7.390387291412669e-08,0.0,48931580.47074411
LS001,reference,500.0,1.0,4560.000000000157,101.00000000000261,0.6499999999999999,7.500000000000001e-08,3.7903505287267834e-79,2.334295811426277e-41,1.7141302806804716e-16,4.1776568295348324e-08,7.390387291412669e-08,0.0,48872897.79082911
LS001,reference,500.0,1.0,4799.999999999966,104.99999999999943,0.6499999999999999,7.500000000000001e-08,7.129533628442889e-78,2.457153485711768e-41,1.8043476638741063e-16,4.17765682953483e-08,7.390387291412669e-08,0.0,48814285.48789539
LS001,reference,500.0,1.0,5039.999999999775,108.99999999999625,0.6499999999999999,7.500000000000001e-08,1.2611441257758956e-76,2.5800111599972586e-41,1.89456504706774e-16,4.17765682953483e-08,7.390387291412669e-08,0.0,48755743.477541216
LS001,reference,500.0,1.0,5279.999999999584,112.99999999999307,0.6499999999999999,7.500000000000001e-08,1.5603268114365347e-75,2.70286883428275e-41,1.984782430261374e-16,4.1776568295348304e-08,7.390387291412669e-08,0.0,48697271.675466076
LS001,reference,500.0,1.0,5519.999999999393,116.99999999998988,0.6499999999999999,7.500000000000001e-08,1.3816150804877684e-74,2.8257265085682416e-41,2.0749998134550078e-16,4.1776568295348304e-08,7.390387291412669e-08,0.0,48638869.997470565
LS001,reference,500.0,1.0,5759.999999999202,120.9999999999867,0.6499999999999999,7.500000000000001e-08,1.1703990733928502e-73,2.948584182853733e-41,2.1652171966486416e-16,4.1776568295348304e-08,7.390387291412669e-08,0.0,48580538.359456256
