comparison_id,comparison_type,density_window,rho_lo,rho_hi,both_paths_attained,uncertainty_class,trajectory_class,max_ratio,median_ratio,integrated_separation,span_ratio_ge_1.2,span_ratio_ge_1.5,span_ratio_ge_2,budget_h
LS000,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS000,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS000,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS000,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS000,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS000,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS000,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS000,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS000,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS000,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS000,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS000,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS001,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS001,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS001,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS001,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS001,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS001,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS001,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS001,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS001,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS001,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS001,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS001,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS002,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS002,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS002,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS002,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS002,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS002,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS002,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
LS002,fast_firing,near_final,0.98,0.99,False,unattainable,unattainable,,,,,,,
LS002,fast_firing,open_transition,0.85,0.92,False,unattainable,unattainable,,,,,,,
LS002,fast_firing,closure_onset,0.9,0.95,False,unattainable,unattainable,,,,,,,
LS002,fast_firing,late_stage,0.95,0.98,False,unattainable,unattainable,,,,,,,
