case_id,late_stage_mode,rho_close_mid,rho_close_width,k_closed_level,Q_closed_kJ_mol,q_closed,gas_pressure_ratio,residual_stress_coupling,pore_detachment_level,G0_nm,rho0,initial_topology,peak_T_C,hold_h,fast_rate_C_min,budget_h,reference_rate_C_min,rho_reference_final,rho_fast_final,max_ratio,meaningful,numerical_censored,non_universal
LS000,disabled,0.9,0.01,low,300.0,1.0,0.0,disabled,low,50.0,0.65,baseline,1300.0,0.0,5.0,96.0,1.0,0.6569581317901922,0.6516756784147243,1.0,False,False,True
LS000,disabled,0.9,0.01,low,300.0,1.0,0.0,disabled,low,50.0,0.65,baseline,1300.0,0.0,5.0,240.0,1.0,0.6569581317901922,0.6516756784147243,1.0,False,False,True
LS000,disabled,0.9,0.01,low,300.0,1.0,0.0,disabled,low,50.0,0.65,baseline,1300.0,0.0,5.0,500.0,1.0,0.6569581317901922,0.6516756784147243,1.0,False,False,True
LS001,closed_pore_vacancy_transport,0.92,0.01,low,300.0,1.0,0.0,disabled,low,75.0,0.65,baseline,1300.0,0.0,5.0,96.0,1.0,0.6627769609342697,0.6531059889685173,1.0,False,False,True
LS001,closed_pore_vacancy_transport,0.92,0.01,low,300.0,1.0,0.0,disabled,low,75.0,0.65,baseline,1300.0,0.0,5.0,240.0,1.0,0.6627769609342697,0.6531059889685173,1.0,False,False,True
LS001,closed_pore_vacancy_transport,0.92,0.01,low,300.0,1.0,0.0,disabled,low,75.0,0.65,baseline,1300.0,0.0,5.0,500.0,1.0,0.6627769609342697,0.6531059889685173,1.0,False,False,True
LS002,gas_limited_closed_pore,0.94,0.01,low,300.0,1.0,0.0,disabled,low,100.0,0.7,baseline,1300.0,0.0,5.0,96.0,1.0,0.7121231970358178,0.7028755362625603,1.0,False,False,True
LS002,gas_limited_closed_pore,0.94,0.01,low,300.0,1.0,0.0,disabled,low,100.0,0.7,baseline,1300.0,0.0,5.0,240.0,1.0,0.7121231970358178,0.7028755362625603,1.0,False,False,True
LS002,gas_limited_closed_pore,0.94,0.01,low,300.0,1.0,0.0,disabled,low,100.0,0.7,baseline,1300.0,0.0,5.0,500.0,1.0,0.7121231970358178,0.7028755362625603,1.0,False,False,True
LS003,pore_detachment_and_closure,0.9,0.02,low,300.0,1.0,0.0,disabled,low,150.0,0.7,baseline,1300.0,0.0,5.0,96.0,1.0,0.7142500990908518,0.7032129466978592,1.0,False,False,True
LS003,pore_detachment_and_closure,0.9,0.02,low,300.0,1.0,0.0,disabled,low,150.0,0.7,baseline,1300.0,0.0,5.0,240.0,1.0,0.7142500990908518,0.7032129466978592,1.0,False,False,True
LS003,pore_detachment_and_closure,0.9,0.02,low,300.0,1.0,0.0,disabled,low,150.0,0.7,baseline,1300.0,0.0,5.0,500.0,1.0,0.7142500990908518,0.7032129466978592,1.0,False,False,True
LS004,combined_late_stage,0.92,0.02,low,300.0,1.0,0.0,disabled,low,225.0,0.75,GBseg_rich,1300.0,0.0,5.0,96.0,1.0,0.7692448405376386,0.7545854439858964,1.0,False,False,True
LS004,combined_late_stage,0.92,0.02,low,300.0,1.0,0.0,disabled,low,225.0,0.75,GBseg_rich,1300.0,0.0,5.0,240.0,1.0,0.7692448405376386,0.7545854439858964,1.0,False,False,True
LS004,combined_late_stage,0.92,0.02,low,300.0,1.0,0.0,disabled,low,225.0,0.75,GBseg_rich,1300.0,0.0,5.0,500.0,1.0,0.7692448405376386,0.7545854439858964,1.0,False,False,True
LS005,disabled,0.94,0.02,medium,300.0,1.0,0.0,disabled,low,300.0,0.75,GBseg_rich,1300.0,0.0,5.0,96.0,1.0,0.7692490551544058,0.7544036603200464,1.0,False,False,True
LS005,disabled,0.94,0.02,medium,300.0,1.0,0.0,disabled,low,300.0,0.75,GBseg_rich,1300.0,0.0,5.0,240.0,1.0,0.7692490551544058,0.7544036603200464,1.0,False,False,True
LS005,disabled,0.94,0.02,medium,300.0,1.0,0.0,disabled,low,300.0,0.75,GBseg_rich,1300.0,0.0,5.0,500.0,1.0,0.7692490551544058,0.7544036603200464,1.0,False,False,True
LS006,closed_pore_vacancy_transport,0.9,0.03,medium,300.0,1.0,0.0,disabled,low,50.0,0.65,GBseg_rich,1350.0,0.0,5.0,96.0,1.0,0.6843415511717756,0.660147505535901,1.0,False,False,True
LS006,closed_pore_vacancy_transport,0.9,0.03,medium,300.0,1.0,0.0,disabled,low,50.0,0.65,GBseg_rich,1350.0,0.0,5.0,240.0,1.0,0.6843415511717756,0.660147505535901,1.0,False,False,True
LS006,closed_pore_vacancy_transport,0.9,0.03,medium,300.0,1.0,0.0,disabled,low,50.0,0.65,GBseg_rich,1350.0,0.0,5.0,500.0,1.0,0.6843415511717756,0.660147505535901,1.0,False,False,True
LS007,gas_limited_closed_pore,0.92,0.03,medium,400.0,1.0,0.0,disabled,low,75.0,0.65,GBseg_rich,1350.0,0.0,5.0,96.0,1.0,0.6999702515033364,0.6652706993574784,1.0,False,False,True
