figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,material_id,ablation,heating_rate_C_min,reference_rate_C_min,max_R_fast,median_R_fast,span_fast_1p5,pass_fast_firing_rule
Figure 3,heating_rate_map,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,matched-density rate summary,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Frozen 1 C/min reference compared with each archived faster ramp.,E0021,full,20,1.0,1.5734232881759547,1.553335660581423,0.18200000000000016,True
Figure 3,heating_rate_map,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,matched-density rate summary,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Frozen 1 C/min reference compared with each archived faster ramp.,E0021,full,50,1.0,2.103517728457676,1.745614740694573,0.2190000000000002,True
Figure 3,heating_rate_map,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,matched-density rate summary,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Frozen 1 C/min reference compared with each archived faster ramp.,E0021,full,100,1.0,2.9038779396662506,1.8811611934461867,0.2190000000000002,True
Figure 3,heating_rate_map,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,matched-density rate summary,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Frozen 1 C/min reference compared with each archived faster ramp.,E0142,full,20,1.0,1.3630645319833319,1.3488981541977356,0.0,False
Figure 3,heating_rate_map,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,matched-density rate summary,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Frozen 1 C/min reference compared with each archived faster ramp.,E0142,full,50,1.0,1.7961615996597604,1.7814471274635726,0.2200000000000002,True
Figure 3,heating_rate_map,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,matched-density rate summary,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Frozen 1 C/min reference compared with each archived faster ramp.,E0142,full,100,1.0,1.8408001419579987,1.8215605644800714,0.2200000000000002,True
