case_id,mode,rho0,G0_nm,peak_T_C,fast_rate_C_min,both_paths_attained,max_ratio,median_ratio,meaningful_span,meaningful,strong,tail_only,classification
dis_r0.65_G75_T1350,disabled,0.65,75.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G75_T1350,disabled,0.65,75.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G75_T1400,disabled,0.65,75.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G75_T1400,disabled,0.65,75.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G75_T1450,disabled,0.65,75.0,1450.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G75_T1450,disabled,0.65,75.0,1450.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G75_T1500,disabled,0.65,75.0,1500.0,20.0,False,1.7258854050551082,1.676125616563323,0.0,False,False,False,weak
dis_r0.65_G75_T1500,disabled,0.65,75.0,1500.0,100.0,False,1.7576110642559661,1.70608727474997,0.0,False,False,False,weak
dis_r0.65_G150_T1350,disabled,0.65,150.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G150_T1350,disabled,0.65,150.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G150_T1400,disabled,0.65,150.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G150_T1400,disabled,0.65,150.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G150_T1450,disabled,0.65,150.0,1450.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G150_T1450,disabled,0.65,150.0,1450.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G150_T1500,disabled,0.65,150.0,1500.0,20.0,False,1.633333861375614,1.5632187951711092,0.0,False,False,False,weak
dis_r0.65_G150_T1500,disabled,0.65,150.0,1500.0,100.0,False,1.6621268419096147,1.5893297420051806,0.0,False,False,False,weak
dis_r0.65_G225_T1350,disabled,0.65,225.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G225_T1350,disabled,0.65,225.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G225_T1400,disabled,0.65,225.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G225_T1400,disabled,0.65,225.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G225_T1450,disabled,0.65,225.0,1450.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G225_T1450,disabled,0.65,225.0,1450.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.65_G225_T1500,disabled,0.65,225.0,1500.0,20.0,False,1.5667726215698128,1.4872109402353861,0.0,False,False,False,weak
dis_r0.65_G225_T1500,disabled,0.65,225.0,1500.0,100.0,False,1.593098388566447,1.5094498753214154,0.0,False,False,False,weak
dis_r0.70_G75_T1350,disabled,0.7,75.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G75_T1350,disabled,0.7,75.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G75_T1400,disabled,0.7,75.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G75_T1400,disabled,0.7,75.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G75_T1450,disabled,0.7,75.0,1450.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G75_T1450,disabled,0.7,75.0,1450.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G75_T1500,disabled,0.7,75.0,1500.0,20.0,False,1.8484246290388207,1.6266642889701268,0.0,False,False,False,weak
dis_r0.70_G75_T1500,disabled,0.7,75.0,1500.0,100.0,False,1.8876642324692436,1.6568510792353834,0.0,False,False,False,weak
dis_r0.70_G150_T1350,disabled,0.7,150.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G150_T1350,disabled,0.7,150.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G150_T1400,disabled,0.7,150.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G150_T1400,disabled,0.7,150.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G150_T1450,disabled,0.7,150.0,1450.0,20.0,False,1.3537954146128806,1.3537954146128806,0.0,False,False,False,weak
dis_r0.70_G150_T1450,disabled,0.7,150.0,1450.0,100.0,False,1.3766902795306108,1.3766902795306108,0.0,False,False,False,weak
dis_r0.70_G150_T1500,disabled,0.7,150.0,1500.0,20.0,False,1.7619788638953746,1.5309061660202927,0.0,False,False,False,weak
dis_r0.70_G150_T1500,disabled,0.7,150.0,1500.0,100.0,False,1.7993935866224997,1.5581718065350756,0.0,False,False,False,weak
dis_r0.70_G225_T1350,disabled,0.7,225.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G225_T1350,disabled,0.7,225.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G225_T1400,disabled,0.7,225.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G225_T1400,disabled,0.7,225.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.70_G225_T1450,disabled,0.7,225.0,1450.0,20.0,False,1.3015518100844157,1.2955729607855724,0.0,False,False,False,weak
dis_r0.70_G225_T1450,disabled,0.7,225.0,1450.0,100.0,False,1.3189945770847364,1.3125818583053714,0.0,False,False,False,weak
dis_r0.70_G225_T1500,disabled,0.7,225.0,1500.0,20.0,False,1.6625614861585911,1.442023808980678,0.0,False,False,False,weak
dis_r0.70_G225_T1500,disabled,0.7,225.0,1500.0,100.0,False,1.6938202825573,1.4628254362432684,0.0,False,False,False,weak
dis_r0.75_G75_T1350,disabled,0.75,75.0,1350.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.75_G75_T1350,disabled,0.75,75.0,1350.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.75_G75_T1400,disabled,0.75,75.0,1400.0,20.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.75_G75_T1400,disabled,0.75,75.0,1400.0,100.0,False,nan,nan,0.0,False,False,False,unattainable
dis_r0.75_G75_T1450,disabled,0.75,75.0,1450.0,20.0,False,1.4636945478866255,1.3952420698089387,0.0,False,False,False,weak
dis_r0.75_G75_T1450,disabled,0.75,75.0,1450.0,100.0,False,1.4883138728866143,1.4171023147211916,0.0,False,False,False,weak
dis_r0.75_G75_T1500,disabled,0.75,75.0,1500.0,20.0,False,1.9896418008532242,1.5691433182085734,0.0,False,False,True,weak
