case_id,mode,fast_rate_C_min,metric,rho,G_reference,G_fast,ratio,pct
dis_r0.65_G75_T1500,disabled,20.0,G_mean,0.85,586.8107649663021,358.47759534535135,1.6369524137233136,38.910869270447506
dis_r0.65_G75_T1500,disabled,20.0,G_mean,0.851,604.579237858835,364.9690678969987,1.6565218563384085,39.6325502030858
dis_r0.65_G75_T1500,disabled,20.0,G_mean,0.852,619.6412986939508,371.6508020580349,1.6672674867446973,40.021621728348
dis_r0.65_G75_T1500,disabled,20.0,G_mean,0.853,638.011554766538,378.6455247040198,1.6849837463819486,40.652246518862135
dis_r0.65_G75_T1500,disabled,20.0,G_mean,0.854,659.8548206172542,385.84814241208096,1.7101412397433227,41.52529763272118
dis_r0.65_G75_T1500,disabled,20.0,G_mean,0.855,678.932284452563,393.38201856506475,1.7258854050551082,42.05872550570242
dis_r0.65_G75_T1500,disabled,20.0,G50,0.85,383.7780246317048,254.32625347573423,1.5089988524064102,33.73089724983597
dis_r0.65_G75_T1500,disabled,20.0,G50,0.851,395.1836340413891,258.3885992384532,1.5294159076914031,34.615561733664514
dis_r0.65_G75_T1500,disabled,20.0,G50,0.852,404.90200415298756,262.56804011040066,1.542084116493159,35.15269437609591
dis_r0.65_G75_T1500,disabled,20.0,G50,0.853,416.8148123459281,266.940598071287,1.5614515564793066,35.95702691828898
dis_r0.65_G75_T1500,disabled,20.0,G50,0.854,431.0665520225085,271.4433081178959,1.5880537081992956,37.02983754032434
dis_r0.65_G75_T1500,disabled,20.0,G50,0.855,443.59138388239904,276.1510359908649,1.6063361207056022,37.74652844382668
dis_r0.65_G75_T1500,disabled,20.0,G90,0.85,1398.9417263046917,775.0829628238197,1.8048928868311072,44.59505008323661
dis_r0.65_G75_T1500,disabled,20.0,G90,0.851,1442.1616531286184,791.2909425311805,1.8225428544846394,45.13160568272234
dis_r0.65_G75_T1500,disabled,20.0,G90,0.852,1478.598476857804,807.9818498485716,1.8299897171389634,45.35488420320652
dis_r0.65_G75_T1500,disabled,20.0,G90,0.853,1522.7985244489773,825.4652312349511,1.844776093319847,45.792879492469645
dis_r0.65_G75_T1500,disabled,20.0,G90,0.854,1575.0078949962367,843.4674795888211,1.8673012689997623,46.446777678480366
dis_r0.65_G75_T1500,disabled,20.0,G90,0.855,1620.2958867332177,862.3059488618641,1.8790266828981124,46.78095797673014
dis_r0.65_G75_T1500,disabled,100.0,G_mean,0.85,586.8107649663021,352.4105286407237,1.665134033394744,39.944774417872004
dis_r0.65_G75_T1500,disabled,100.0,G_mean,0.851,604.579237858835,358.6698421700858,1.685614921513629,40.67446916630095
dis_r0.65_G75_T1500,disabled,100.0,G_mean,0.852,619.6412986939508,365.1840882734507,1.6967916143979471,41.065243868804814
dis_r0.65_G75_T1500,disabled,100.0,G_mean,0.853,638.011554766538,371.93535140805346,1.7153829351019931,41.70397877133236
dis_r0.65_G75_T1500,disabled,100.0,G_mean,0.854,659.8548206172542,378.9826540710277,1.741121430041984,42.565752006401596
dis_r0.65_G75_T1500,disabled,100.0,G_mean,0.855,678.932284452563,386.2812986671595,1.7576110642559661,43.10459120696756
dis_r0.65_G75_T1500,disabled,100.0,G50,0.85,383.7780246317048,251.33397711069,1.5269643565250437,34.51058659445538
dis_r0.65_G75_T1500,disabled,100.0,G50,0.851,395.1836340413891,255.2408915997659,1.5482771258339842,35.41207944531591
dis_r0.65_G75_T1500,disabled,100.0,G50,0.852,404.90200415298756,259.30452633625515,1.5614922341460702,35.95869527030547
dis_r0.65_G75_T1500,disabled,100.0,G50,0.853,416.8148123459281,263.5124829034103,1.5817649613916405,36.77948213493125
dis_r0.65_G75_T1500,disabled,100.0,G50,0.854,431.0665520225085,267.9047255887034,1.6090292960501815,37.8507276123074
dis_r0.65_G75_T1500,disabled,100.0,G50,0.855,443.59138388239904,272.4511691536718,1.6281500470720984,38.58059938650621
dis_r0.65_G75_T1500,disabled,100.0,G90,0.85,1398.9417263046917,756.7167347608583,1.8486993376019267,45.90791592443757
dis_r0.65_G75_T1500,disabled,100.0,G90,0.851,1442.1616531286184,772.3856444513656,1.8671523266761418,46.4425057499098
dis_r0.65_G75_T1500,disabled,100.0,G90,0.852,1478.598476857804,788.7023360222329,1.8747230854101635,46.658788821538735
dis_r0.65_G75_T1500,disabled,100.0,G90,0.853,1522.7985244489773,805.6268254266262,1.8902033502205775,47.09563921345791
dis_r0.65_G75_T1500,disabled,100.0,G90,0.854,1575.0078949962367,823.2943680003248,1.9130555925236397,47.72760373989796
dis_r0.65_G75_T1500,disabled,100.0,G90,0.855,1620.2958867332177,841.6018167211099,1.9252523634584209,48.05875743979594
dis_r0.65_G150_T1500,disabled,20.0,G_mean,0.85,641.53056108193,425.5340518612184,1.5075892476194963,33.66893525016755
dis_r0.65_G150_T1500,disabled,20.0,G_mean,0.851,656.9055667055716,432.46951461026146,1.518963868002512,34.1656492912479
dis_r0.65_G150_T1500,disabled,20.0,G_mean,0.852,675.6607473220843,439.6040139606272,1.5369758370372826,34.93716843801345
dis_r0.65_G150_T1500,disabled,20.0,G_mean,0.853,691.5379253508307,447.07707616349643,1.5467979957396312,35.35031705792774
dis_r0.65_G150_T1500,disabled,20.0,G_mean,0.854,710.8956065392781,454.76398360567555,1.5632187951711092,36.0294283123342
dis_r0.65_G150_T1500,disabled,20.0,G_mean,0.855,730.5725845754442,462.8047511029645,1.5785762415669473,36.65177685637998
dis_r0.65_G150_T1500,disabled,20.0,G_mean,0.856,753.9424168557979,471.0743203012092,1.6004744567135822,37.518527971174116
dis_r0.65_G150_T1500,disabled,20.0,G_mean,0.857,774.3213836898087,479.8516190204727,1.6136683778840655,38.02939849938329
dis_r0.65_G150_T1500,disabled,20.0,G_mean,0.858,798.4908748165943,488.871806125476,1.633333861375614,38.77552999741354
dis_r0.65_G150_T1500,disabled,20.0,G50,0.85,471.3182337403359,320.36037879217105,1.471212624723785,32.02885951391652
dis_r0.65_G150_T1500,disabled,20.0,G50,0.851,481.6285603158772,324.80183315881646,1.4828381836144937,32.56175818439953
dis_r0.65_G150_T1500,disabled,20.0,G50,0.852,494.24005407574083,329.3679624636863,1.5005711253116556,33.35870701948175
dis_r0.65_G150_T1500,disabled,20.0,G50,0.853,504.94689077766577,334.1514305784788,1.5111319137658874,33.82444041513868
dis_r0.65_G150_T1500,disabled,20.0,G50,0.854,518.0425444242301,339.0706385582112,1.5278307394206687,34.54772350115265
dis_r0.65_G150_T1500,disabled,20.0,G50,0.855,531.3967259026383,344.2165174628412,1.543786247735783,35.22419302110867
dis_r0.65_G150_T1500,disabled,20.0,G50,0.856,547.3211589409257,349.5082050627466,1.5659751359561531,36.14202569126872
dis_r0.65_G150_T1500,disabled,20.0,G50,0.857,561.2669631740727,355.1268505757391,1.5804689571180968,36.72764052111165
dis_r0.65_G150_T1500,disabled,20.0,G50,0.858,577.873308196704,360.9008999303017,1.6011966395991382,37.54670880084089
dis_r0.65_G150_T1500,disabled,20.0,G90,0.85,1322.3798704483058,846.2287441374077,1.5626742528064992,36.00713659906786
dis_r0.65_G150_T1500,disabled,20.0,G90,0.851,1358.0135922643483,863.1402404160414,1.573340609875602,36.440971921581166
dis_r0.65_G150_T1500,disabled,20.0,G90,0.852,1401.3435203074575,880.5482199483907,1.5914443849419069,37.16399960552166
dis_r0.65_G150_T1500,disabled,20.0,G90,0.853,1437.9020636434905,898.7796585035668,1.5998382362564163,37.49368046484647
dis_r0.65_G150_T1500,disabled,20.0,G90,0.854,1482.3078549994702,917.5373637955328,1.615528602418629,38.100755473911946
dis_r0.65_G150_T1500,disabled,20.0,G90,0.855,1527.2760192666674,937.1576856634574,1.629689477694928,38.63861713002995
dis_r0.65_G150_T1500,disabled,20.0,G90,0.856,1580.4274485152864,957.3387812550595,1.6508549318804,39.425325588060375
dis_r0.65_G150_T1500,disabled,20.0,G90,0.857,1626.539065752753,978.7506927994069,1.6618522752720126,39.82617980672683
dis_r0.65_G150_T1500,disabled,20.0,G90,0.858,1680.9611412961551,1000.7554309061732,1.6796922498577531,40.46528463266493
dis_r0.65_G150_T1500,disabled,100.0,G_mean,0.85,641.53056108193,418.9610487466485,1.5312415390431018,34.69351669855322
dis_r0.65_G150_T1500,disabled,100.0,G_mean,0.851,656.9055667055716,425.6467340041351,1.5433116578293533,35.204273555058464
dis_r0.65_G150_T1500,disabled,100.0,G_mean,0.852,675.6607473220843,432.60578692949065,1.5618393644655717,35.972928922675806
dis_r0.65_G150_T1500,disabled,100.0,G_mean,0.853,691.5379253508307,439.79030529985164,1.5724264882995456,36.404022226729296
dis_r0.65_G150_T1500,disabled,100.0,G_mean,0.854,710.8956065392781,447.29270946781344,1.5893297420051806,37.08039473681853
dis_r0.65_G150_T1500,disabled,100.0,G_mean,0.855,730.5725845754442,455.0858246680285,1.6053512216258878,37.70833531448605
dis_r0.65_G150_T1500,disabled,100.0,G_mean,0.856,753.9424168557979,463.18527410239244,1.6277339954662078,38.564900482183226
dis_r0.65_G150_T1500,disabled,100.0,G_mean,0.857,774.3213836898087,471.61821011358825,1.6418394520926474,39.0927049093975
dis_r0.65_G150_T1500,disabled,100.0,G_mean,0.858,798.4908748165943,480.40309240130523,1.6621268419096147,39.836119916630324
dis_r0.65_G150_T1500,disabled,100.0,G50,0.85,471.3182337403359,313.8920086283096,1.501529891761087,33.40125924318841
dis_r0.65_G150_T1500,disabled,100.0,G50,0.851,481.6285603158772,318.11127319576934,1.5140254398324247,33.95091167618148
dis_r0.65_G150_T1500,disabled,100.0,G50,0.852,494.24005407574083,322.5026102656728,1.5325148955184995,34.74777942294208
dis_r0.65_G150_T1500,disabled,100.0,G50,0.853,504.94689077766577,327.03412433379077,1.544018966847284,35.2339562225787
dis_r0.65_G150_T1500,disabled,100.0,G50,0.854,518.0425444242301,331.76924672038206,1.5614543829640748,35.95714284641977
dis_r0.65_G150_T1500,disabled,100.0,G50,0.855,531.3967259026383,336.68569496321,1.5783169105557175,36.64136819975495
dis_r0.65_G150_T1500,disabled,100.0,G50,0.856,547.3211589409257,341.7987561923858,1.6012965203210363,37.550604319085465
dis_r0.65_G150_T1500,disabled,100.0,G50,0.857,561.2669631740727,347.12136333462115,1.6169185260805095,38.15396484917212
dis_r0.65_G150_T1500,disabled,100.0,G50,0.858,577.873308196704,352.67191594387225,1.6385577701873844,38.97072058157335
dis_r0.65_G150_T1500,disabled,100.0,G90,0.85,1322.3798704483058,839.237209220004,1.575692612196425,36.53584510965896
dis_r0.65_G150_T1500,disabled,100.0,G90,0.851,1358.0135922643483,855.7885772375981,1.5868564133537322,36.9823260891919
dis_r0.65_G150_T1500,disabled,100.0,G90,0.852,1401.3435203074575,873.0184935847622,1.6051704867709082,37.701321557956035
dis_r0.65_G150_T1500,disabled,100.0,G90,0.853,1437.9020636434905,890.8150291640951,1.6141421244236975,38.0475867106787
dis_r0.65_G150_T1500,disabled,100.0,G90,0.854,1482.3078549994702,909.386560457539,1.6300085348233844,38.65062797917481
dis_r0.65_G150_T1500,disabled,100.0,G90,0.855,1527.2760192666674,928.6863434873028,1.6445552688237077,39.19328714836901
dis_r0.65_G150_T1500,disabled,100.0,G90,0.856,1580.4274485152864,948.7313457424187,1.6658324357129162,39.969952645805215
dis_r0.65_G150_T1500,disabled,100.0,G90,0.857,1626.539065752753,969.6055972294566,1.6775264812831248,40.38842240897985
dis_r0.65_G150_T1500,disabled,100.0,G90,0.858,1680.9611412961551,991.3277982310367,1.6956663015964313,41.02613237884584
dis_r0.65_G225_T1500,disabled,20.0,G_mean,0.85,699.246285478188,493.3469528968026,1.4173519900597322,29.44589579629712
dis_r0.65_G225_T1500,disabled,20.0,G_mean,0.851,715.1018081800581,500.52146790351094,1.4287135598305913,30.00696373886349
dis_r0.65_G225_T1500,disabled,20.0,G_mean,0.852,731.1875740077016,507.9079767508324,1.4396064001302442,30.53656889066846
dis_r0.65_G225_T1500,disabled,20.0,G_mean,0.853,750.7919338251727,515.6467593859752,1.4560198821363775,31.319619170809137
dis_r0.65_G225_T1500,disabled,20.0,G_mean,0.854,767.3772551534208,523.7463139285936,1.465169748684939,31.74852259285666
dis_r0.65_G225_T1500,disabled,20.0,G_mean,0.855,787.5731195898977,532.0846625394995,1.4801650471017513,32.43996661331398
dis_r0.65_G225_T1500,disabled,20.0,G_mean,0.856,808.0949676110869,540.8005836514184,1.4942568333690212,33.0771004242053
dis_r0.65_G225_T1500,disabled,20.0,G_mean,0.857,828.9274366463931,549.9035409853053,1.5074051626602345,33.660834872342974
dis_r0.65_G225_T1500,disabled,20.0,G_mean,0.858,853.6249686856287,559.411935677089,1.5259327058376695,34.46631059322866
dis_r0.65_G225_T1500,disabled,20.0,G_mean,0.859,875.1219062318067,569.1774696304818,1.5375202865987447,34.96020776336101
dis_r0.65_G225_T1500,disabled,20.0,G_mean,0.86,900.5827704509658,579.51887540184,1.554018011624728,35.65068149020366
dis_r0.65_G225_T1500,disabled,20.0,G_mean,0.861,924.844134222113,590.2861216042149,1.5667726215698128,36.174529332912414
dis_r0.65_G225_T1500,disabled,20.0,G50,0.85,537.6436590197567,384.5146833331352,1.3982396052063213,28.481499431390937
dis_r0.65_G225_T1500,disabled,20.0,G50,0.851,548.396568707892,389.12145131234536,1.4093198071151765,29.04378445890421
dis_r0.65_G225_T1500,disabled,20.0,G50,0.852,559.325855025025,393.86654242404455,1.4200897887458632,29.581917430507048
