case_id,mode,path,t_s,rho,G_mean,G50,G90,pore_D90,large_pore_fraction,connected_fine_pore_fraction,cumulative_PR_desintering_work,f_defect_large_pore,f_crack_like_pore,defect_D90,defect_connectedness,stored_PR_work,stored_shear_coupled_stress,persistent_eligibility,persistent_growth_factor
dis_r0.65_G150_T1500,disabled,reference,0.0,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7101717925761228,0.18212220874386453,0.0,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,360.0000000003274,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7105774906284201,0.181919359717716,9.548417340330822e-14,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,720.0000000006548,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7109834363572671,0.18171638685329244,1.9068507061176258e-13,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,1080.0000000009823,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7113896299280025,0.18151329006792474,2.856029699260923e-13,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,1440.0000000013097,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7117960715060863,0.18131006927888282,3.8023815024996904e-13,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,1800.000000001637,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7122027612571012,0.18110672440337533,4.745908910908317e-13,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,2160.0000000019645,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7126096993467521,0.18090325535854998,5.686614725607125e-13,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,2520.000000002292,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7130168859408661,0.180699662061493,6.624501753770645e-13,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,2880.0000000026193,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7134243212053928,0.1804959444292296,7.559572808635885e-13,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,3240.0000000029468,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7138320053064049,0.18029210237872348,8.491830709510637e-13,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,3600.000000003274,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7142399384100975,0.18008813582687722,9.421278281781764e-13,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,3960.0000000036016,0.6499999999999999,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7146481206827884,0.1798840446905317,1.034791835692352e-12,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,4320.000000003929,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7150565522909186,0.17967982888646666,1.1271753772505872e-12,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,4680.000000004256,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7154652334010516,0.17947548833140015,1.2192787372202824e-12,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,5040.000000004584,0.6499999999999999,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7158741641798748,0.1792710229419886,1.311102200580077e-12,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,5400.000000004911,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7162833447941981,0.179066432634827,1.4134132971609205e-12,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,5760.000000005239,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7166927754109549,0.17886171732644862,1.6375225562917853e-12,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,6120.000000005566,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.717102456197202,0.178656876933325,2.154484090255127e-12,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,6480.0000000058935,0.6499999999999999,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7175123873201201,0.1784519113718659,3.3175677507571783e-12,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,6840.000000006221,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.7179225689470132,0.1782468205584194,5.872586949977984e-12,,,,,,,,
dis_r0.65_G150_T1500,disabled,reference,7200.000000006548,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,1.5222476923600539e-07,0.718333001245309,0.17804160440927153,1.1358597373056238e-11,,,,,,,,
