case_id,path,t_s,T_C,rho,G_mean,G50,G90,pore_D50,pore_D90,large_pore_fraction,connected_fine_pore_fraction,cumulative_PR_desintering_work,sigma_res_GBseg,sigma_res_TJ,sigma_res_large_pore,sigma_res_crack_like,rho_dot,G_mean_dot_nm_s
C091,reference,0.0,25.0,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,1.5222476923600539e-07,0.7101717925761228,0.18212220874386453,0.0,0.0,0.0,50000000.0,100000000.0,0.0,0.0
C091,reference,120.00000000010914,27.00000000000182,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,1.5222476923600539e-07,0.7103069977508063,0.18205460615652286,3.185955008813406e-14,2.263406236961498e-61,2.263406236961498e-61,49999999.99999997,99999999.99999994,4.336808689942018e-19,0.0
C091,reference,240.00000000021828,29.000000000003638,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,1.5222476923600539e-07,0.7104422304328656,0.18198698981549322,6.368760446086002e-14,9.07797000932131e-61,9.07797000932131e-61,49999999.99999994,99999999.99999988,0.0,0.0
C091,reference,360.0000000003274,31.000000000005457,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,1.5222476923600539e-07,0.7105774906284201,0.181919359717716,9.548417340330822e-14,2.929779692784511e-60,2.929779692784511e-60,49999999.99999992,99999999.99999984,-4.336808689942018e-19,0.0
C091,reference,480.00000000043656,33.000000000007276,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,1.5222476923600539e-07,0.7107127783435899,0.181851715860131,1.2724926720803918e-13,8.844110655747074e-60,8.844110655747074e-60,49999999.99999988,99999999.99999976,-4.336808689942018e-19,0.0
C091,reference,600.0000000005457,35.000000000009095,0.6499999999999999,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,1.5222476923600539e-07,0.7108480935844977,0.18178405823967705,1.5898289617504695e-13,2.5902748875589307e-59,2.5902748875589307e-59,49999999.99999985,99999999.9999997,4.336808689942018e-19,0.0
C091,reference,720.0000000006548,37.000000000010914,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,1.5222476923600539e-07,0.7109834363572671,0.18171638685329244,1.9068507061176258e-13,7.443296293688155e-59,7.443296293688155e-59,49999999.99999982,99999999.99999964,8.673617379884035e-19,0.0
C091,reference,840.000000000764,39.00000000001273,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,1.5222476923600539e-07,0.7111188066680231,0.18164870169791447,2.2235580083305746e-13,2.106478824762173e-58,2.106478824762173e-58,49999999.99999979,99999999.99999958,0.0,0.0
C091,reference,960.0000000008731,41.00000000001455,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,1.5222476923600539e-07,0.711254204522892,0.18158100277048,2.539950971612466e-13,5.87954412917382e-58,5.87954412917382e-58,49999999.99999977,99999999.99999954,0.0,0.0
C091,reference,1080.0000000009823,43.00000000001637,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,1.5222476923600539e-07,0.7113896299280025,0.18151329006792474,2.856029699260923e-13,1.6196007057707974e-57,1.6196007057707974e-57,49999999.99999973,99999999.99999946,0.0,0.0
