rho,G_um_5,pore_D50_m_5,pore_D90_m_5,fine_pore_fraction_5,R_Z_eff_m_5,Gamma_growth_5,activity_5,Lambda_5,sigma_eff_Pa_5,tau_remove_D90_s_5,G_um_50,pore_D50_m_50,pore_D90_m_50,fine_pore_fraction_50,R_Z_eff_m_50,Gamma_growth_50,activity_50,Lambda_50,sigma_eff_Pa_50,tau_remove_D90_s_50,G_5_over_G_50
0.6600186905990246,0.050003811516385964,2.5784320092758645e-08,5.0778263157337946e-08,0.8245470652935468,3.2177729600051244e-08,0.9731464406183427,0.00023104377341146614,0.00023109716697294826,250000000.0,3941409778.6525927,0.05000359744994363,2.5784320092758645e-08,5.0778263157337946e-08,0.8245470646863933,3.217806622534588e-08,0.9731473524650587,0.00024434578858563026,0.0002444063018021621,250000000.0,3353586370.8395386,1.0000042810208316
0.6649265488833651,0.05079826934280694,2.5784320092758645e-08,5.0778263157337946e-08,0.8219899436537274,3.291036895062914e-08,0.9772579119768493,0.0004706661733885749,0.0004708879406541813,250000000.0,48322998.15061736,0.05067465382822642,2.5784320092758645e-08,5.0778263157337946e-08,0.8219675085105056,3.2687570061968874e-08,0.9763332697983477,0.0006254043586090098,0.0006258144523158045,250000000.0,19805216.93891292,1.0024393953434698
0.6698344071677057,0.05153908298073334,2.5784320092758645e-08,5.0778263157337946e-08,0.8193569840311048,3.368954256882447e-08,0.9812634847079658,0.0005373442808502744,0.0005376333851964026,250000000.0,22813002.9780936,0.05131353303049428,2.5784320092758645e-08,5.111538228989965e-08,0.8193194164257209,3.33895510546294e-08,0.9800879891711206,0.000782004561087939,0.0007826198259608345,250000000.0,2583213.064810923,1.0043955256424268
0.6747422654520462,0.05226752175374072,2.5784320092758645e-08,5.183159271314382e-08,0.8166437807518186,3.45353450563035e-08,0.9848728397080228,0.0005877904209496162,0.0005881365303118416,250000000.0,14046765.003428843,0.05192501071666665,2.5784320092758645e-08,5.3245444869736594e-08,0.8164067165261827,3.45322138367846e-08,0.9830285171038111,0.000841049222737084,0.0008417769567766126,250000000.0,2208556.923841377,1.006596263194687
0.6796501237363867,0.052991295179525416,2.5784320092758645e-08,6.071256481178877e-08,0.8138443547966462,3.561881687078578e-08,0.9885093555242997,0.0006386272523916396,0.0006390363151365035,250000000.0,9388819.900810378,0.05253648840283902,2.5784320092758645e-08,5.537550744957354e-08,0.8134940166266446,3.567487661893981e-08,0.9859690450365016,0.000900093884386229,0.0009009340875923907,250000000.0,1833900.782871831,1.008656969479936
0.6845579820207272,0.053716210036231116,2.5784320092758645e-08,6.364806837480235e-08,0.8109607874686499,3.675466779239837e-08,0.9914231491025488,0.0006847596065811826,0.0006852298604982156,250000000.0,6518057.775637174,0.05314796608901139,2.5784320092758645e-08,5.750557002941049e-08,0.8105813167271063,3.6817539401095016e-08,0.9889095729691921,0.0009591385460353739,0.0009600912184081689,250000000.0,1459244.641902285,1.0106917345861934
0.6894658403050677,0.054443463047082565,2.5784320092758645e-08,6.364806837480235e-08,0.8080021870451409,3.793303527909109e-08,0.9937790550107191,0.0007279767152222886,0.000728507714510336,250000000.0,4731707.226494167,0.053759443775183775,2.5784320092758645e-08,5.963563260924749e-08,0.8076686168275681,3.7960202183250246e-08,0.9918501009018826,0.0010181832076845202,0.0010192483492239483,250000000.0,1084588.5009327307,1.0127237044110666
0.6943736985894082,0.0551780576171182,2.5784320092758645e-08,6.364806837480235e-08,0.8049050395665444,3.918030544207219e-08,0.995303196910852,0.000768742758091087,0.0007693362579740798,250000000.0,3781089.03741809,0.05437092146135614,2.5784320092758645e-08,6.176569518908443e-08,0.8047559169280298,3.9102864965405457e-08,0.9947906288345731,0.0010772278693336652,0.0010784054800397264,250000000.0,709932.3599631847,1.01484499681205
0.6992815568737487,0.05591265218715384,2.5784320092758645e-08,6.364806837480235e-08,0.8018078920879479,4.04275756050533e-08,0.9968273388109851,0.0008095088009598855,0.0008101648014378237,250000000.0,2830470.848342012,0.054994947496997605,2.5842007444685627e-08,6.364806837480235e-08,0.8017148112609855,4.030738171755097e-08,0.9974122094600881,0.0011343794082316458,0.0011356704738734922,249802564.65790415,376030.48021443177,1.0166870727571171
0.7041894151580892,0.056664318455222684,2.5784320092758645e-08,6.364806837480235e-08,0.798493624385439,4.177109308773402e-08,0.9976153708551572,0.0008496609827056028,0.0008503855207937887,250000000.0,2342399.1957626985,0.05571433763431827,2.6338103250913414e-08,6.364806837480235e-08,0.7976978560849024,4.1981972107504326e-08,0.9976098758085327,0.0011771437202693913,0.0011785557324290737,248104673.49210963,351850.09176578134,1.0170509219213846
0.7090972734424298,0.057416792035363096,2.5784320092758645e-08,6.364806837480235e-08,0.7951690891760073,4.31191620580815e-08,0.9983685926319763,0.0008897841352654746,0.0008905774964513458,250000000.0,1876201.1378218562,0.05643372777163895,2.683419905714121e-08,6.364806837480235e-08,0.7936809009088193,4.365656249745772e-08,0.9978075421569772,0.0012199080323071379,0.0012214409909846562,246406782.32631508,327669.7033171304,1.0174198002248256
0.7140051317267703,0.05819045192388229,2.7318406795969044e-08,6.364806837480235e-08,0.7916352578250722,4.4555732080010334e-08,0.9988145768365613,0.0009308439405451045,0.0009317139872284638,250000000.0,1569665.305121817,0.05715311790895961,2.7330294863368998e-08,6.364806837480235e-08,0.7896639457327361,4.533115288741108e-08,0.9980052085054216,0.0012626723443448836,0.0012643262495402377,244708891.16052055,303489.31486847997,1.0181500861698405
0.7189129900111108,0.058973105853294,2.950374610509196e-08,6.364806837480235e-08,0.7880125757870955,4.6029872690581755e-08,0.999130132122668,0.0009723013749308999,0.0009732514448685701,250000000.0,1330909.5007840968,0.057872508046280274,2.7826390669596782e-08,6.364806837480235e-08,0.7856469905566531,4.7005743277364444e-08,0.9982028748538662,0.0013054366563826293,0.0013072115080958193,243010999.99472603,279308.92641982954,1.0190176276122953
0.7238208482954513,0.05975575978270574,3.1689085414214924e-08,6.364806837480235e-08,0.7843898937491187,4.7504013301153215e-08,0.9994456874087747,0.0010137588093166964,0.0010147889025086774,250000000.0,1092153.6964463713,0.05859189818360096,2.832248647582458e-08,6.364806837480235e-08,0.78163003538057,4.868033366731784e-08,0.9984005412023107,0.001348200968420376,0.0013500967666514017,241313108.82893148,255128.5379711786,1.0198638657422867
0.7287287065797918,0.06057679092114458,3.2319383653919526e-08,6.364806837480235e-08,0.7804560015984245,4.911921866696433e-08,0.9996061185256039,0.0010578782367529345,0.0010590028244611381,250000000.0,939236.3733951285,0.05931128832092162,2.8818582282052367e-08,6.364806837480235e-08,0.7776130802044868,5.03549240572712e-08,0.9985982075507552,0.0013909652804581214,0.0013929820252069833,239615217.66313696,230948.14952252817,1.0213366230282435
0.7336365648641323,0.06141337733189763,3.2319383653919526e-08,6.364806837480235e-08,0.7763959679649864,5.079160121520524e-08,0.9997036738169939,0.0011030766386077885,0.0011043015864077863,250000000.0,821111.6000184877,0.06003067845824228,2.9314678088280154e-08,6.364806837480235e-08,0.7735961250284038,5.2029514447224556e-08,0.9987958738991998,0.0014337295924958672,0.0014358672837625648,237917326.49734244,206767.76107387774,1.0230332041743817
0.7385444231484728,0.062249963742650676,3.2319383653919526e-08,6.364806837480235e-08,0.7723359343315482,5.246398376344615e-08,0.999801229108384,0.0011482750404626428,0.0011496003483544347,250000000.0,702986.8266418468,0.06075006859556295,2.981077389450794e-08,6.364806837480235e-08,0.7695791698523207,5.370410483717792e-08,0.9989935402476442,0.0014764939045336129,0.0014787525423181462,236219435.33154792,182587.37262522732,1.0246896041726818
