material_id,ablation_mode,rho,G_reference_nm,G_comparison_nm,ratio,pct,delta_ln_G
E0021,full_material_model,0.75,588.7189026784196,316.5931718741082,1.859543903595372,46.22337240510803,0.620331244534689
E0021,full_material_model,0.751,593.6141840358536,319.46076543828383,1.8581755516094296,46.18377154226005,0.6195951201099066
E0021,full_material_model,0.752,598.464463357532,322.30157109981957,1.856846249043516,46.14524490031891,0.6188794835974039
E0021,full_material_model,0.753,603.2713994548856,325.116566352827,1.8555541669943572,46.10774410214018,0.6181833937598157
E0021,full_material_model,0.754,608.0365710916631,327.9066820291477,1.8542975926230576,46.071223735699455,0.6175059680831181
E0021,full_material_model,0.755,612.7614824351192,330.67757214108894,1.8530482078587256,46.03486321839722,0.6168319630785307
E0021,full_material_model,0.756,617.4475680485863,333.4408581098491,1.8517453786217577,45.99689506209036,0.616128642226634
E0021,full_material_model,0.757,622.0961974716434,336.1980216040368,1.8503862530289616,45.95722928858419,0.615394402718651
E0021,full_material_model,0.758,626.7086794286853,338.94932056245875,1.8489745853117905,45.91596834569951,0.6146312072114374
E0021,full_material_model,0.759,631.2862657020432,341.6950074965517,1.8475138701241167,45.87320743996256,0.6138408813217093
E0021,full_material_model,0.76,635.830154701738,344.4353297435314,1.8460073627614824,45.82903512886978,0.6130251245675506
E0021,full_material_model,0.761,640.3414947603997,347.1705297078104,1.8444580975791096,45.78353385677228,0.6121855203008082
E0021,full_material_model,0.762,644.8213871787841,349.90084509141366,1.842868904790215,45.73678044050365,0.6113235447362481
E0021,full_material_model,0.763,649.2708890445958,352.6265091140636,1.8412424258057616,45.68884651012852,0.6104405751709053
E0021,full_material_model,0.764,653.6910158449368,355.34775072356763,1.8395811272587923,45.639798909541646,0.6095378974761858
E0021,full_material_model,0.765,658.0827438905916,358.06479479709316,1.8378873138408136,45.589700061087974,0.6086167129358498
E0021,full_material_model,0.766,662.4470125685101,360.7778623338814,1.8361631400638696,45.538608297887095,0.6076781444947542
E0021,full_material_model,0.767,666.7847264371846,363.4871706399105,1.8344106210497773,45.48657816712103,0.6067232424759873
E0021,full_material_model,0.768,671.0967571781962,366.1929335049936,1.8326316424373184,45.43366070717602,0.6057529898177446
E0021,full_material_model,0.769,675.383945415871,368.89536137275434,1.8308279694886755,45.379903701204334,0.6047683068756928
E0021,full_material_model,0.77,679.6471024158824,371.59466150390745,1.8290012554680783,45.32535190939059,0.603770055831718
E0021,full_material_model,0.771,683.8870116725657,374.2910381332387,1.8271530493581256,45.270047281956074,0.6027590447455937
E0021,full_material_model,0.772,688.1044303938405,376.9846926206546,1.8252848029727664,45.214029154719256,0.6017360312823516
E0021,full_material_model,0.773,692.3000908917843,379.6758235966498,1.823397877519987,45.157334428835405,0.6007017261447275
E0021,full_material_model,0.774,696.4747018861976,382.364627102527,1.8214935496620752,45.09999773616982,0.5996567962370849
E0021,full_material_model,0.775,700.6289497278193,385.0512967256673,1.8195730171166975,45.0420515916089,0.5986018675845797
E0021,full_material_model,0.776,704.7634995472857,387.7360237301569,1.8176374038378305,44.98352653347906,0.597537528028946
E0021,full_material_model,0.777,708.878996335378,390.4189971830287,1.815687764811954,44.924451253127906,0.5964643297202319
E0021,full_material_model,0.778,712.976065959643,393.1004040763961,1.8137250905015136,44.86485271461455,0.5953827914218909
E0021,full_material_model,0.779,717.0553161220167,395.7804294457053,1.8117503109647448,44.80475626536491,0.5942934006450172
E0021,full_material_model,0.78,721.11733726173,398.4592564843571,1.809764299678253,44.74418573856365,0.5931966156259855
E0021,full_material_model,0.781,725.1627034073754,401.1370666549007,1.8077678770863497,44.68316354798055,0.5920928671604395
E0021,full_material_model,0.782,729.1919729817453,403.8140397970222,1.805761813898979,44.62171077586295,0.5909825603053656
E0021,full_material_model,0.783,733.2056895627201,406.4903542325148,1.8037468341581415,44.55984725446642,0.5898660759599218
E0021,full_material_model,0.784,737.2043826032585,409.166186867425,1.8017236180909593,44.497591641743384,0.5887437723347266
E0021,full_material_model,0.785,741.1885681132737,411.841713291551,1.799692804765921,44.43496149166046,0.5876159863184255
E0021,full_material_model,0.786,745.1587493059877,414.51710787546335,1.7976549945674658,44.37197331957403,0.5864830347496018
