candidate_id,T1_C,T2_C,rho_switch,G0_nm,rho1,G1_nm,first_step_growth_fraction,closed_fraction_at_switch,accommodation_at_switch,candidate_parameters_frozen,target_density,time_budget_h,growth_tolerance,classification,rho_final,G_final_nm,growth_fraction,target_attained,numerical_censor,closed_fraction_final,closed_shrinkage_contribution,open_shrinkage_contribution
693168,1300,800,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.8167373392207256,58.958226533122414,3.904693837153417e-06,False,False,0.4490955462395367,0.0167366464372544,6.148684449935772e-07
693168,1300,810,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.8223578424869897,58.95838065386565,6.518770855556966e-06,False,False,0.440640287130623,0.0223567529028155,1.0116691480129743e-06
693168,1300,820,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.8297709435961411,58.958630737723226,1.0760500106510308e-05,False,False,0.427876717312127,0.0297692121979241,1.6534831906146464e-06
693168,1300,830,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.8395439007284125,58.95903133204085,1.7555071540886757e-05,False,False,0.4079902604886045,0.039541134659753,2.6881536329783822e-06
693168,1300,840,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.8524456111744101,58.95966401838313,2.8286208651584488e-05,False,False,0.3756328715314601,0.0524411768627702,4.356396613610518e-06
693168,1300,850,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.8695648008199109,58.960647381663435,4.496525715524946e-05,False,False,0.3193665230793449,0.0695576589336296,7.063971255156425e-06
693168,1300,860,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.8926694969991629,58.9621468439246,7.039797798635838e-05,False,False,0.2087184960697029,0.0926578692112601,1.1549872876796646e-05
693168,1300,870,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9194337153677324,58.96437657271291,0.0001082169156618,False,False,0.0001261910355886,0.1189564284332931,1.942540522496836e-05
693168,1300,880,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.92424997365842,58.96760388717119,0.0001629561310305,False,False,0.0001396326406113,0.1216668968366055,3.2136803872324974e-05
693168,1300,890,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9296223518350444,58.97228003649248,0.0002422693644024,False,False,0.0001593311585701,0.1246968121810818,5.097223977765987e-05
693168,1300,900,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9357470995758382,58.97911378633054,0.0003581781514132,False,False,0.0002410064129843,0.1281538678524978,7.80545684485432e-05
693168,1300,910,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9427361627512416,58.98895417606852,0.000525083242362,False,False,0.0002450059700555,0.1320879770801,0.0001158219695721
693168,1300,920,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9505245835923508,59.00289871225168,0.0007615996956591,False,False,0.0004321252921644,0.1364861562343821,0.0001668105714301
693168,1300,930,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.958919467372927,59.022329639701354,0.0010911720804489,False,False,0.0003662317352707,0.1412510399955105,0.000233248968911
693168,1300,940,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9675372704155042,59.048938458570234,0.0015424903159666,False,False,0.000289185834808,0.1462150534658879,0.0003164732101144
693168,1300,950,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9758698648349848,59.084738688520645,0.0021497061676718,False,False,0.0008388442580544,0.1511187699393273,0.0004162818336898
693168,1300,960,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,SUCCESS,0.980000000377224,59.11967580047738,0.0027422824785592,True,False,2.799385647086794e-06,0.1543490256339235,0.0005044344974346
693168,1300,970,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,SUCCESS,0.980000000058062,59.14580310642795,0.0031854336638315,True,False,3.718228793461154e-07,0.1551066964419189,0.0005708595695459
693168,1300,980,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,SUCCESS,0.9800000003665597,59.1759758435941,0.0036972003290738,True,False,1.0992639619863394e-06,0.1566838024018037,0.0006434862270958
693168,1300,990,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,SUCCESS,0.9800000001432336,59.20970337925408,0.0042692607409779,True,False,3.29800164079565e-07,0.1580892220738726,0.0007217534274041
693168,1300,1000,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,SUCCESS,0.9800000002921346,59.24724743868239,0.0049060540815184,True,False,2.7961432313076403e-06,0.1597803664817298,0.0008050562599093
693168,1300,1010,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,SUCCESS,0.9800000017483248,59.28941583769658,0.0056212818987118,True,False,3.025433270641972e-06,0.1637847325625005,0.0008921882615878
693168,1300,1020,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,SUCCESS,0.980000001454854,59.33336046185681,0.0063666366750438,True,False,3.3736430559772496e-06,0.1654144534485384,0.0009790814644118
693168,1300,1030,0.8,50,0.8000000779150263,58.95799632019754,0.1453178687255101,0.4687568291783402,0.6095283165624981,True,0.98,500.0,0.2,SUCCESS,0.9800000001534228,59.38131627845762,0.0071800261996872,True,False,3.392276195418061e-07,0.1680070034070099,0.0010596439349087
