T1_C,switch_density,hold_h,density_target,grain_threshold_um,T_lower_density_C,T_upper_growth_C,gap_C,lower_boundary_present,upper_boundary_present,success_band_present,finite_window_present,zero_width_or_isolated,lower_above_upper,lower_censored,upper_censored,success_count,gap_status,required_shift_C,desired_min_width_C
1300,0.7,10,0.976,0.29,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,125.0,25.0
1400,0.7,10,0.976,0.29,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,125.0,25.0
1500,0.7,10,0.976,0.29,1200.0,1100.0,-100.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,125.0,25.0
1300,0.7,20,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1300,0.7,30,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1300,0.7,40,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1300,0.8,10,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1300,0.8,20,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1300,0.8,30,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1300,0.8,40,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1400,0.7,5,0.976,0.29,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1400,0.7,20,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1400,0.7,30,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1400,0.7,40,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1400,0.8,5,0.976,0.29,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1400,0.8,10,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1400,0.8,20,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1400,0.8,30,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1400,0.8,40,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1500,0.7,5,0.976,0.29,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1500,0.7,20,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1500,0.7,30,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1500,0.7,40,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1500,0.8,5,0.976,0.29,1300.0,1100.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1500,0.8,10,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1500,0.8,20,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1500,0.8,30,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1500,0.8,40,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0,boundary_ordering_failure,225.0,25.0
1200,0.7,5,0.976,0.29,,1100.0,,False,False,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.7,10,0.976,0.29,,1100.0,,False,False,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.7,20,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.7,30,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.7,40,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.8,5,0.976,0.29,,1100.0,,False,False,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.8,10,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.8,20,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.8,30,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.8,40,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.9,5,0.976,0.29,,,,False,False,False,False,False,False,True,True,0,missing_lower,,25.0
1200,0.9,10,0.976,0.29,,,,False,False,False,False,False,False,True,True,0,missing_lower,,25.0
1200,0.9,20,0.976,0.29,,,,False,False,False,False,False,False,True,True,0,missing_lower,,25.0
1200,0.9,30,0.976,0.29,,,,False,False,False,False,False,False,True,True,0,missing_lower,,25.0
1200,0.9,40,0.976,0.29,,,,False,False,False,False,False,False,True,True,0,missing_lower,,25.0
1300,0.7,5,0.976,0.29,,1100.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1300,0.8,5,0.976,0.29,,1100.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
