case_id,rho_start,G_start_nm,pore_D50_nm,pore_log_width,phi_iso_fraction,phi_closed_fraction,state_class,final_rho_5,final_G_um_5,final_rho_50,final_G_um_50,HMS_density_miss,joint_rho_min,joint_rho_max,fast_smaller_G_fraction,fast_smaller_D90_fraction,span_ratio_ge_1p2,span_ratio_ge_1p5,barrier_mode,barrier_extrapolated,two_step_final_rho,two_step_final_G_um,density_ok,grain_ok,strict_success,comparator_status,common_interval_attained,fast_smaller_grain_gate,fast_smaller_D90_gate,method_specific_initialization_absent,finite_strict_Chen_window,both_boundaries_present,highT_comparator_gates_available,all_pathway_gates_pass,boundary_gap_identifiable
primary_000,0.62,35,10,0.45,0.0,0.0,primary_common_state,0.9996118932334024,2.185339046961313,0.991741973689362,0.6705237696300603,0.0117419736893619,0.6200356447398778,0.991741973689362,0.12,0.48,0.0,0.0,nearest_slice_clamp,True,0.967885750701414,0.4766391501881651,True,False,False,optional high-temperature isothermal comparator not previously defined,True,False,False,True,False,False,False,False,False
primary_001,0.62,35,10,0.45,0.05,0.0,primary_common_state,0.983582858306674,2.1855692398963247,0.9730554812142924,0.6711081451318535,-0.0069445187857074,0.6200338625028838,0.9730554812142924,0.16,0.48,0.0,0.0,nearest_slice_clamp,True,0.9517197619507044,0.5017397501472485,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,False,True,False,False,False,False,False
primary_002,0.62,35,10,0.45,0.1,0.0,primary_common_state,0.9673414494551864,2.185803064022305,0.9543269380631038,0.6718091720199335,-0.0256730619368962,0.6200320802658901,0.9543269380631038,0.2,0.56,0.0,0.0,nearest_slice_clamp,True,0.9365598524414868,0.5386106029961029,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,True,True,False,False,False,False,False
primary_003,0.62,35,10,0.65,0.0,0.0,primary_common_state,0.9995494980253334,2.187337357669405,0.9904196858135488,0.6755249578406738,0.0104196858135487,0.6200356447398778,0.9904196858135488,0.2,0.84,0.0,0.0,nearest_slice_clamp,True,0.9639590693632142,0.5039714748719637,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,True,True,False,False,False,False,False
primary_004,0.62,35,10,0.65,0.05,0.0,primary_common_state,0.9844125952151948,2.187559415384731,0.9720087629394876,0.6760945969210447,-0.0079912370605123,0.6200338625028838,0.9720087629394876,0.2,0.92,0.0,0.0,nearest_slice_clamp,True,0.9489018229781268,0.531074137172997,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,True,True,False,False,False,False,False
primary_005,0.62,35,10,0.65,0.1,0.0,primary_common_state,0.9690689876488826,2.1877991834968253,0.9535045949063796,0.6767079004631315,-0.0264954050936202,0.6200320802658901,0.9535045949063796,0.2,0.72,0.0,0.0,nearest_slice_clamp,True,0.9350407496616222,0.5649824265449692,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,True,True,False,False,False,False,False
primary_006,0.62,35,10,0.85,0.0,0.0,primary_common_state,0.9995063721389228,2.188442132377723,0.989548375038058,0.6782064409127682,0.0095483750380581,0.6200356447398778,0.989548375038058,0.24,0.28,0.0,0.0,nearest_slice_clamp,True,0.9616538085712012,0.5191753007583709,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,False,True,False,False,False,False,False
primary_007,0.62,35,10,0.85,0.05,0.0,primary_common_state,0.9847764250117276,2.1886677677834,0.9713007079528172,0.6787837732426811,-0.0086992920471827,0.620033862502884,0.9713007079528172,0.24,0.32,0.0,0.0,nearest_slice_clamp,True,0.9473446175364312,0.5455344971273175,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,False,True,False,False,False,False,False
primary_008,0.62,35,10,0.85,0.1,0.0,primary_common_state,0.9698498939055922,2.188913119413657,0.9529305261566386,0.6793997293174218,-0.0270694738433613,0.6200320802658901,0.9529305261566386,0.2,0.24,0.0,0.0,nearest_slice_clamp,True,0.9341315760165476,0.5774097023184249,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,False,True,False,False,False,False,False
primary_009,0.62,35,15,0.45,0.0,0.0,primary_common_state,0.9994912894668716,2.1871200925698315,0.988828730376546,0.6755361226661523,0.008828730376546,0.6200356447398778,0.988828730376546,0.32,0.36,0.0,0.0,nearest_slice_clamp,True,0.9608473114428386,0.5195809159830818,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,False,True,False,False,False,False,False
primary_010,0.62,35,15,0.45,0.05,0.0,primary_common_state,0.9812585261241298,2.1873746096849165,0.969990101350742,0.6762181615376297,-0.010009898649258,0.620033862502884,0.969990101350742,0.28,0.48,0.0,0.0,nearest_slice_clamp,True,0.946003740848202,0.5486996979437562,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,False,True,False,False,False,False,False
primary_011,0.62,35,15,0.45,0.1,0.0,primary_common_state,0.9629435315781196,2.187641684276415,0.9511541048240671,0.6769667415443675,-0.0288458951759328,0.6200320802658901,0.9511541048240671,0.44,0.44,0.0,0.0,nearest_slice_clamp,True,0.932557421491646,0.5850881306352724,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,False,True,False,False,False,False,False
primary_012,0.62,35,15,0.65,0.0,0.0,primary_common_state,0.9994128290288192,2.1891663386152245,0.9873730014419542,0.6803359254913368,0.0073730014419541,0.6200356447398778,0.9873730014419542,0.28,0.68,0.0,0.0,nearest_slice_clamp,True,0.9576062806379791,0.5451326930445497,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,True,True,False,False,False,False,False
primary_013,0.62,35,15,0.65,0.05,0.0,primary_common_state,0.9816955157800203,2.189413974333204,0.9686274015350724,0.680974775377896,-0.0113725984649274,0.6200338625028838,0.9686274015350724,0.28,0.64,0.0,0.0,nearest_slice_clamp,True,0.9438925041070652,0.5709356909042765,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,True,True,False,False,False,False,False
primary_014,0.62,35,15,0.65,0.1,0.0,primary_common_state,0.9638545303375357,2.189683516809156,0.9498797404444907,0.6816672623976272,-0.0301202595555091,0.6200320802658899,0.9498797404444907,0.32,0.4,0.0,0.0,nearest_slice_clamp,True,0.9310229471829692,0.6040045066669593,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,False,True,False,False,False,False,False
primary_015,0.62,35,15,0.85,0.0,0.0,primary_common_state,0.9993607747257476,2.1902975691765487,0.9857989972048536,0.6829472584188343,0.0057989972048536,0.6200356447398778,0.9857989972048536,0.2,0.24,0.0,0.0,nearest_slice_clamp,True,0.9558942338131078,0.5570963624624545,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,False,True,False,False,False,False,False
primary_016,0.62,35,15,0.85,0.05,0.0,primary_common_state,0.9819276117712212,2.1905389622794744,0.9672598236678897,0.6835625354231126,-0.0127401763321103,0.620033862502884,0.9672598236678897,0.32,0.16,0.0,0.0,nearest_slice_clamp,True,0.9427464045339464,0.5821795754149327,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,False,True,False,False,False,False,False
primary_017,0.62,35,15,0.85,0.1,0.0,primary_common_state,0.9643500721388408,2.190791807568799,0.9487041536258476,0.6842191713219126,-0.0312958463741525,0.6200320802658901,0.9487041536258476,0.32,0.12,0.0,0.0,nearest_slice_clamp,True,0.9303549344000714,0.6164584194915892,False,False,False,optional high-temperature isothermal comparator not previously defined,True,False,False,True,False,False,False,False,False
