factor,level,n,mean_final_rho_50,mean_fast_smaller_G_fraction,mean_fast_smaller_D90_fraction,mean_two_step_final_rho,boundary_gap_status,range_final_rho_50_within_factor,range_fast_G_sign_within_factor,range_fast_D90_sign_within_factor
rho_start,0.62,135,0.9041858979696755,0.2885925925925926,0.2696296296296296,0.9288311611535869,not_identifiable_from_single_representative_schedule,0.01792306846363667,0.042370370370370336,0.026962962962962966
rho_start,0.66,135,0.9130573820031713,0.30696296296296294,0.2589629629629629,0.9305541147426796,not_identifiable_from_single_representative_schedule,0.01792306846363667,0.042370370370370336,0.026962962962962966
rho_start,0.7,135,0.9221089664333122,0.33096296296296296,0.24266666666666664,0.9325137877826231,not_identifiable_from_single_representative_schedule,0.01792306846363667,0.042370370370370336,0.026962962962962966
G_start_nm,35.0,135,0.9132118924409767,0.3677037037037037,0.2868148148148148,0.9306364671332624,not_identifiable_from_single_representative_schedule,0.00020810175198082703,0.1031111111111111,0.07792592592592593
G_start_nm,50.0,135,0.9131365632761863,0.2942222222222222,0.2755555555555555,0.9306139091218092,not_identifiable_from_single_representative_schedule,0.00020810175198082703,0.1031111111111111,0.07792592592592593
G_start_nm,75.0,135,0.9130037906889958,0.2645925925925926,0.20888888888888887,0.930648687423818,not_identifiable_from_single_representative_schedule,0.00020810175198082703,0.1031111111111111,0.07792592592592593
pore_D50_nm,10.0,81,0.974324739820162,0.23703703703703702,0.38666666666666666,0.9516571062778308,not_identifiable_from_single_representative_schedule,0.17794535559498048,0.25283950617283946,0.2676543209876543
pore_D50_nm,15.0,81,0.9711237440919099,0.2725925925925926,0.254320987654321,0.9463885457970678,not_identifiable_from_single_representative_schedule,0.17794535559498048,0.25283950617283946,0.2676543209876543
pore_D50_nm,25.0,81,0.9457186753787215,0.36987654320987656,0.22271604938271605,0.9372400659895861,not_identifiable_from_single_representative_schedule,0.17794535559498048,0.25283950617283946,0.2676543209876543
pore_D50_nm,40.0,81,0.8780405338276229,0.20592592592592596,0.11901234567901235,0.9141054561901705,not_identifiable_from_single_representative_schedule,0.17794535559498048,0.25283950617283946,0.2676543209876543
pore_D50_nm,60.0,81,0.7963793842251815,0.4587654320987654,0.30271604938271607,0.9037739318768278,not_identifiable_from_single_representative_schedule,0.17794535559498048,0.25283950617283946,0.2676543209876543
pore_log_width,0.45,135,0.9273096855786094,0.301037037037037,0.21007407407407408,0.9349010666985376,not_identifiable_from_single_representative_schedule,0.026402780517833624,0.016592592592592714,0.1368888888888889
pore_log_width,0.65,135,0.9111356557667738,0.30785185185185177,0.346962962962963,0.9302536436989077,not_identifiable_from_single_representative_schedule,0.026402780517833624,0.016592592592592714,0.1368888888888889
pore_log_width,0.85,135,0.9009069050607758,0.3176296296296297,0.21422222222222223,0.9267443532814441,not_identifiable_from_single_representative_schedule,0.026402780517833624,0.016592592592592714,0.1368888888888889
phi_iso_fraction,0.0,135,0.9269321042419282,0.3004444444444444,0.2580740740740741,0.9392340808552597,not_identifiable_from_single_representative_schedule,0.027622509024752273,0.01511111111111113,0.010074074074074069
phi_iso_fraction,0.05,135,0.9131105469470546,0.3105185185185185,0.26162962962962966,0.9303892102069478,not_identifiable_from_single_representative_schedule,0.027622509024752273,0.01511111111111113,0.010074074074074069
phi_iso_fraction,0.1,135,0.8993095952171759,0.31555555555555553,0.2515555555555556,0.9222757726166823,not_identifiable_from_single_representative_schedule,0.027622509024752273,0.01511111111111113,0.010074074074074069
