T1_C,switch_density,hold_h,rho1,G1_nm,first_step_growth_fraction,phi_open_total,phi_iso_total,phi_closed_total,pore_D50_1_nm,pore_D90_1_nm,fine1,R_Z_eff_1_m,S_Z_1,Gamma_growth_1,density_target,grain_threshold_um,T_lower_density_C,T_upper_growth_C,gap_C,lower_boundary_present,upper_boundary_present,success_band_present,finite_window_present,zero_width_or_isolated,lower_above_upper,lower_censored,upper_censored,success_count,gap_status,required_shift_C,desired_min_width_C
1200,0.7,5,0.7079399078641984,86.09146200959808,0.7218292401919615,0.29434305899536906,8.617370822136319e-09,4.8613617758484065e-09,25.784320092758644,63.64806837480235,0.796475832096748,4.316264083173366e-08,0.5275986793136958,0.5278003255026651,0.976,0.29,,1100.0,,False,False,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.7,10,0.7121095831087756,89.18384118360211,0.7836768236720423,0.29017180467917764,1.118608506888042e-08,6.059934812125347e-09,29.051851873339082,63.64806837480235,0.7934679641821425,4.4412435775125426e-08,0.508545095575871,0.5087370261410518,0.976,0.29,,1100.0,,False,False,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.7,20,0.7194439837709601,94.46148529361965,0.8892297058723928,0.2828369963400911,1.713243275708182e-08,8.729944222934626e-09,29.051851873339082,63.64806837480235,0.7877432511426938,4.680478677830563e-08,0.4967057156409298,0.4968756016446576,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.7,30,0.7257853985011061,99.16353935730385,0.9832707871460771,0.2764963786227326,2.413049097444235e-08,1.1833650710063497e-08,29.051851873339082,63.64806837480235,0.7822894386206481,4.911015646155612e-08,0.4973114796740612,0.49746363814959604,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.7,40,0.7313753937087222,103.57123179098168,1.0714246358196335,0.27090753732350137,3.212204150618468e-08,1.541921662874851e-08,29.051851873339082,63.64806837480235,0.7770379634656117,5.136004935337089e-08,0.5022023220113283,0.502341279463232,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.8,5,0.8037628876028036,161.25495612806282,2.225099122561256,0.1959985196606665,8.520560234151258e-08,5.442180669200566e-08,32.31938365391952,63.64806837480235,0.7008333498030029,8.609828720035984e-08,0.7139549708048543,0.7139704312985861,0.976,0.29,,1100.0,,False,False,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.8,10,0.8053590564056281,163.8737915987863,2.2774758319757265,0.1944060243919709,9.118138038652586e-08,5.7914362014386644e-08,32.31938365391952,63.64806837480235,0.6984774566367233,8.721400616790628e-08,0.7049127797481003,0.7049280940749256,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.8,20,0.8083387173168803,168.72635113510296,2.3745270227020594,0.19143308207771703,1.0328810936739259e-07,6.552963216511955e-08,36.415074866177335,63.64806837480235,0.6938881057948014,8.941427961673073e-08,0.6931568685806457,0.6931715873684691,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.8,30,0.8110782406869854,173.2097808321969,2.4641956166439383,0.18869957327649514,1.1552497684312843e-07,7.372586908333568e-08,36.415074866177335,63.64806837480235,0.6894337881019035,9.158423326275204e-08,0.6872929668961867,0.6873069203489682,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
1200,0.8,40,0.8136158514203004,177.43655493615216,2.5487310987230436,0.1861673896730428,1.2781418703660868e-07,8.232724916367954e-08,36.415074866177335,63.64806837480235,0.6850915752231399,9.373271822984316e-08,0.6852264375331552,0.6852396041286501,0.976,0.29,,1000.0,,False,True,False,False,False,False,True,False,0,missing_lower,,25.0
