initial_class,rho0,G0_nm,pore_radius0_nm,pore_ln_sigma,f_pore_initial,connectivity_initial,isolated_fraction_initial,pore_mean_radius_initial_nm,large_pore_fraction_initial,removable_fine_fraction_initial
loose_fine,0.7,100.0,16.0,0.85,0.5545794102223365,0.9990889488055994,1.4945115164975941e-05,33.5857167141885,0.11425026450473812,0.48582866868776137
baseline_intermediate,0.75,150.0,22.0,0.65,0.5602106895475137,0.9933071490757153,0.00024031171281892587,36.76338009990653,0.03988687689874906,0.5724048606059914
predensified_partially_isolated,0.82,250.0,35.0,0.45,0.5026109622567195,0.900249510880315,0.01160731644530458,47.484021564813425,0.0029525163045289187,0.6905693711208729
