initial_class,rho0,G0_nm,pore_radius0_nm,pore_ln_sigma,protocol_kind,protocol_id,target_density,time_budget_h,final_density,eligible_target,reached_target,time_to_target_h,G_at_target_nm,pore_mean_radius_nm,large_pore_fraction,removable_fine_pore_fraction,f_pore,isolated_pore_fraction,cumulative_redistributed_pore_volume,E_G,heating_rate_C_min,T1_C,T2_C,switch_density
loose_fine,0.7,100.0,16.0,0.85,heating,ramp_0.2,0.8,126.75,0.9145118980776328,True,True,105.26388191386418,123.61968331408626,45.32533144797209,0.20191500948650792,0.22650281594850816,0.36777425902424443,0.003851738716162375,0.18061049333418788,0.2530589750369001,0.2,nan,nan,nan
loose_fine,0.7,100.0,16.0,0.85,heating,ramp_0.2,0.85,126.75,0.9145118980776328,True,True,108.77050375451586,166.13555583365607,49.612302794010844,0.25374046930823213,0.18784754029026382,0.3436232058421007,0.05854289323541617,0.18061080325874249,0.10638601157959944,0.2,nan,nan,nan
loose_fine,0.7,100.0,16.0,0.85,heating,ramp_0.2,0.88,126.75,0.9145118980776328,True,True,112.48191864548612,256.80163548435405,53.18776518379101,0.30058670758076955,0.16258984504012222,0.38396891904247604,0.24766634993744116,0.1806108034412037,0.04574440863693823,0.2,nan,nan,nan
loose_fine,0.7,100.0,16.0,0.85,heating,ramp_0.2,0.9,126.75,0.9145118980776328,True,True,117.63798740662901,455.1007349252112,56.27900425229067,0.3432397335405222,0.1445144642158774,0.490668668315154,0.5000000009437024,0.18061080344252228,0.027669827565964703,0.2,nan,nan,nan
loose_fine,0.7,100.0,16.0,0.85,heating,ramp_0.2,0.92,126.75,0.9145118980776328,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2,nan,nan,nan
loose_fine,0.7,100.0,16.0,0.85,heating,ramp_0.2,0.95,126.75,0.9145118980776328,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2,nan,nan,nan
loose_fine,0.7,100.0,16.0,0.85,heating,ramp_0.2,0.98,126.75,0.9145118980776328,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2,nan,nan,nan
loose_fine,0.7,100.0,16.0,0.85,heating,ramp_0.5,0.8,55.5,0.91151246759721,True,True,43.75519349077515,125.77092853667092,41.89440116488937,0.17760259789230426,0.2945541231303036,0.40890747017273577,0.0038518246271498006,0.08321358250162013,0.23541227918218013,0.5,nan,nan,nan
loose_fine,0.7,100.0,16.0,0.85,heating,ramp_0.5,0.85,55.5,0.91151246759721,True,True,45.32533435763483,171.32095940891276,46.433570694121435,0.22630665237282369,0.2376869370519764,0.3825151464219717,0.05854705806313249,0.08321360528093168,0.10296604230978577,0.5,nan,nan,nan
loose_fine,0.7,100.0,16.0,0.85,heating,ramp_0.5,0.88,55.5,0.91151246759721,True,True,46.95531941603268,267.20730571246145,50.249212131091184,0.2711563770522223,0.20044342823818656,0.4245825108899951,0.2476711181700518,0.08321360529025981,0.0447444332791324,0.5,nan,nan,nan
loose_fine,0.7,100.0,16.0,0.85,heating,ramp_0.5,0.9,55.5,0.91151246759721,True,True,49.78963473402905,457.774995648033,53.55298241101131,0.3125839882464657,0.17438104251239742,0.5211793574970814,0.499999998007181,0.08321360529032727,0.03195368635235384,0.5,nan,nan,nan
loose_fine,0.7,100.0,16.0,0.85,heating,ramp_0.5,0.92,55.5,0.91151246759721,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan
