initial_class,rho0,T1_C,T2_C,switch_density,target_density,eligible_target,high_step_executed,target_after_switch,high_reached,two_step_reached,TS_pct,high_time_h,two_step_time_h,G_high_nm,G_two_step_nm,high_redistributed_volume,two_step_redistributed_volume
loose_fine,0.7,1300.0,1150.0,0.78,0.8,True,True,True,True,True,2.9964720905511273,3.247452937268914,21.644231151540023,122.81556798528344,119.13543376775257,1.7058950473493197e-05,0.010003969431655588
loose_fine,0.7,1300.0,1150.0,0.78,0.85,True,True,True,True,True,10.47217333584471,6.848948465118965,86.1373989220448,153.7415745174155,137.6414903446949,1.752704340684462e-05,0.013053034785488414
loose_fine,0.7,1300.0,1150.0,0.78,0.88,True,True,True,True,False,nan,14.485139489366242,nan,222.87959842194095,nan,1.753123642378303e-05,nan
loose_fine,0.7,1300.0,1150.0,0.78,0.9,True,True,True,True,False,nan,37.281556338762286,nan,367.4127188289239,nan,1.7531991695489306e-05,nan
loose_fine,0.7,1300.0,1150.0,0.78,0.92,True,True,True,False,False,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,1300.0,1150.0,0.78,0.95,True,True,True,False,False,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,1300.0,1150.0,0.78,0.98,True,True,True,False,False,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,1300.0,1150.0,0.82,0.8,True,True,False,True,True,0.0,3.247452937268914,3.247452937268914,122.81556798528344,122.81556798528344,1.7058950473493197e-05,1.7058950473493197e-05
loose_fine,0.7,1300.0,1150.0,0.82,0.85,True,True,True,True,True,7.566974408128523,6.848948465118965,43.16496388989119,153.7415745174155,142.10798891902883,1.752704340684462e-05,0.0004398028167387285
loose_fine,0.7,1300.0,1150.0,0.82,0.88,True,True,True,True,False,nan,14.485139489366242,nan,222.87959842194095,nan,1.753123642378303e-05,nan
loose_fine,0.7,1300.0,1150.0,0.82,0.9,True,True,True,True,False,nan,37.281556338762286,nan,367.4127188289239,nan,1.7531991695489306e-05,nan
loose_fine,0.7,1300.0,1150.0,0.82,0.92,True,True,True,False,False,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,1300.0,1150.0,0.82,0.95,True,True,True,False,False,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,1300.0,1150.0,0.82,0.98,True,True,True,False,False,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,1300.0,1150.0,0.85,0.8,True,True,False,True,True,0.0,3.247452937268914,3.247452937268914,122.81556798528344,122.81556798528344,1.7058950473493197e-05,1.7058950473493197e-05
loose_fine,0.7,1300.0,1150.0,0.85,0.85,True,True,False,True,True,0.0,6.848948465118965,6.848948465118965,153.7415745174155,153.7415745174155,1.752704340684462e-05,1.752704340684462e-05
loose_fine,0.7,1300.0,1150.0,0.85,0.88,True,True,True,True,False,nan,14.485139489366242,nan,222.87959842194095,nan,1.753123642378303e-05,nan
loose_fine,0.7,1300.0,1150.0,0.85,0.9,True,True,True,True,False,nan,37.281556338762286,nan,367.4127188289239,nan,1.7531991695489306e-05,nan
loose_fine,0.7,1300.0,1150.0,0.85,0.92,True,True,True,False,False,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,1300.0,1150.0,0.85,0.95,True,True,True,False,False,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,1300.0,1150.0,0.85,0.98,True,True,True,False,False,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,1300.0,1150.0,0.88,0.8,True,True,False,True,True,0.0,3.247452937268914,3.247452937268914,122.81556798528344,122.81556798528344,1.7058950473493197e-05,1.7058950473493197e-05
