initial_class,rho0,target_density,HR_pct,TS_pct,HR_scored,TS_scored,slow_reached,fast_reached,high_reached,two_step_reached,classification,slow_time_to_target_h,slow_G_at_target_nm,slow_pore_mean_radius_nm,slow_large_pore_fraction,slow_removable_fine_pore_fraction,slow_f_pore,slow_isolated_pore_fraction,slow_cumulative_redistributed_pore_volume,slow_E_G,fast_time_to_target_h,fast_G_at_target_nm,fast_pore_mean_radius_nm,fast_large_pore_fraction,fast_removable_fine_pore_fraction,fast_f_pore,fast_isolated_pore_fraction,fast_cumulative_redistributed_pore_volume,fast_E_G,high_time_to_target_h,high_G_at_target_nm,high_pore_mean_radius_nm,high_large_pore_fraction,high_removable_fine_pore_fraction,high_f_pore,high_isolated_pore_fraction,high_cumulative_redistributed_pore_volume,high_E_G,two_step_time_to_target_h,two_step_G_at_target_nm,two_step_pore_mean_radius_nm,two_step_large_pore_fraction,two_step_removable_fine_pore_fraction,two_step_f_pore,two_step_isolated_pore_fraction,two_step_cumulative_redistributed_pore_volume,two_step_E_G
loose_fine,0.7,0.8,-21.66545348701869,0.0,True,True,True,True,True,True,harmful,105.26388191386418,123.61968331408626,45.32533144797209,0.20191500948650792,0.22650281594850816,0.36777425902424443,0.003851738716162375,0.18061049333418788,0.2530589750369001,1.5876447493286547,150.40244830329942,39.38436353105451,0.16504311031475924,0.3716310155912078,0.5027759184694227,0.0038524981456242863,0.002318639299815724,0.2694857967370805,1.5975744968526533,130.43244165103823,39.31602718549486,0.164749012320555,0.37417100957574395,0.4554732678854326,0.00385103235593026,8.539514139645679e-07,0.3119026015688157,1.5975744968526533,130.43244165103823,39.31602718549486,0.164749012320555,0.37417100957574395,0.4554732678854326,0.00385103235593026,8.539514139645679e-07,0.3119026015688157
loose_fine,0.7,0.85,-15.013486912369236,0.0,True,True,True,True,True,True,harmful,108.77050375451586,166.13555583365607,49.612302794010844,0.25374046930823213,0.18784754029026382,0.3436232058421007,0.05854289323541617,0.18061080325874249,0.10638601157959944,2.0237658175602586,191.0782957655339,44.204222606497645,0.2123029101197317,0.294387627663698,0.4452596181993537,0.05855564136656928,0.0023186393448920563,0.1359423272038194,3.272655543730182,164.41639698699169,44.14435623760287,0.21197735607557885,0.2963182126981028,0.39856784867521733,0.05854759108141135,8.764548869304257e-07,0.13198541746835657,3.272655543730182,164.41639698699169,44.14435623760287,0.21197735607557885,0.2963182126981028,0.39856784867521733,0.05854759108141135,8.764548869304257e-07,0.16825119929412274
loose_fine,0.7,0.88,-6.276039142679125,9.928891954538429,True,True,True,True,True,True,harmful,112.48191864548612,256.80163548435405,53.18776518379101,0.30058670758076955,0.16258984504012222,0.38396891904247604,0.24766634993744116,0.1806108034412037,0.04574440863693823,2.8942707694296987,272.9186066463923,48.316201919866096,0.2564004793453466,0.24055250212799037,0.4559160136410275,0.24766531395499175,0.0023186393452861373,0.05322499677096246,6.747991161352539,237.69211183953072,48.263293267920446,0.2560460829896099,0.2419964363198076,0.4121927622888467,0.24766506358358095,8.766550951722884e-07,0.05251515828161607,18.967248220657833,214.09191887052307,48.25997985097995,0.2560280605393868,0.24209145191934295,0.3803958482906734,0.2476638324611508,9.489992449041841e-07,0.05885280463189903
loose_fine,0.7,0.9,1.83908207638811,11.415195480952354,True,True,True,True,True,True,beneficial,117.63798740662901,455.1007349252112,56.27900425229067,0.3432397335405222,0.1445144642158774,0.490668668315154,0.5000000009437024,0.18061080344252228,0.027669827565964703,5.550374639877453,446.7310588796911,51.86869278647541,0.2974674716001874,0.20280412982130389,0.5342710800425337,0.5000000004536613,0.0023186393453568854,0.03223921410266335,17.212603376449948,391.45542665194085,51.82253467734684,0.29709359510804617,0.2038402640648657,0.48875745475489907,0.4999999999866019,8.766907674167542e-07,0.03209641143295437,71.97404342729848,346.77002447882575,51.81895930894461,0.29707040515922806,0.20392807090723467,0.4481192704586417,0.4999999999997313,9.644370735565823e-07,0.03228852966282245
loose_fine,0.7,0.92,nan,nan,False,False,False,False,True,False,unattainable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,82.80042097088983,819.0298273893148,56.373856903868244,0.3534447846110477,0.16561308758685617,0.6382436009043885,0.75233619796231,8.767355476238712e-07,0.0235501468511379,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.95,nan,nan,False,False,False,False,False,False,requires late-stage physics,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
loose_fine,0.7,0.98,nan,nan,False,False,False,False,False,False,requires late-stage physics,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
baseline_intermediate,0.75,0.8,-7.043489919029609,0.0,True,True,True,True,True,True,harmful,102.31454679486063,154.7859566737191,48.42873214358081,0.07529116099122567,0.30877473592645743,0.3920079019726469,0.003851395834776361,0.17032451644944724,0.860594402028242,1.3537352494072201,165.68828992810606,39.079907636758335,0.04907867106952432,0.520390549567455,0.49753820163774903,0.003851360504595246,0.0021916669493555196,0.3842339886555235,0.758166148828163,157.97395188572239,38.97128098275943,0.048890267496008916,0.5238853302976442,0.48233054498616984,0.003851032355930259,5.145160645949976e-07,0.7146798258925684,0.758166148828163,157.97395188572239,38.97128098275943,0.048890267496008916,0.5238853302976442,0.48233054498616984,0.003851032355930259,5.145160645949976e-07,0.7146798258925684
baseline_intermediate,0.75,0.85,-11.807293495847338,0.0,True,True,True,True,True,True,harmful,106.92347970438526,179.0851290185315,51.69655093207918,0.09558334849549957,0.2680996310101187,0.3316354209383659,0.05854064343934817,0.17032820859237652,0.15162783907619765,1.768627866963394,200.23023580916637,42.301936731801135,0.06360826889769822,0.4551582471006585,0.4399901521872066,0.05854111258334634,0.002191667033337909,0.1574453746229495,2.204165353666549,179.59750689217657,42.19149601076973,0.06337685684029021,0.4584639219969106,0.40659719762331814,0.05853690287436775,5.526617484850144e-07,0.19435984711570034,2.204165353666549,179.59750689217657,42.19149601076973,0.06337685684029021,0.4584639219969106,0.40659719762331814,0.05853690287436775,5.526617484850144e-07,0.19435984711572393
baseline_intermediate,0.75,0.88,-5.310085212829472,9.09812496808439,True,True,True,True,True,True,harmful,111.57943067059412,263.65183678193927,54.325314944574686,0.11445553290523246,0.24091261665279978,0.36259195418822043,0.2476656571618137,0.1703282098796069,0.04629876412877382,2.617943174644618,277.6519739802503,45.07711067670032,0.07755400035468668,0.404193191496231,0.4534022718264267,0.24767389432767886,0.002191667034234544,0.055786454640225955,5.463275590779493,243.14594450480178,44.96692466858317,0.0772829409739687,0.4072625130745154,0.4118929126167984,0.247664844813393,5.531030134856542e-07,0.057042670486413045,16.57184766858271,221.0242226189258,44.96455472783403,0.07727932527448235,0.40733381794479123,0.3828164021545139,0.24766387092014583,7.079999223075461e-07,0.067580179629178
