initial_class,rho0,target_density,heating_rate_C_min,slow_reached,current_reached,eligible_target,HR_pct_vs_0p2,current_time_to_target_h,current_G_at_target_nm,current_pore_mean_radius_nm,current_large_pore_fraction,current_removable_fine_pore_fraction,current_f_pore,current_isolated_pore_fraction,current_cumulative_redistributed_pore_volume,current_E_G
loose_fine,0.7,0.8,0.2,True,True,True,0.0,105.26388191386418,123.61968331408626,45.32533144797209,0.20191500948650792,0.22650281594850816,0.36777425902424443,0.003851738716162375,0.18061049333418788,0.2530589750369001
loose_fine,0.7,0.8,0.5,True,True,True,-1.7402125332410814,43.75519349077515,125.77092853667092,41.89440116488937,0.17760259789230426,0.2945541231303036,0.40890747017273577,0.0038518246271498006,0.08321358250162013,0.23541227918218013
loose_fine,0.7,0.8,1.0,True,True,True,-5.46629147980513,22.600072775697086,130.37709553044624,40.64435444587259,0.17088889947666658,0.3292183384526954,0.4362702617712176,0.0038514060326070654,0.043907572438554886,0.21631630798828488
loose_fine,0.7,0.8,5.0,True,True,True,-18.844346977423186,4.971437084899718,146.9150053701844,39.5886538266129,0.16593417560155677,0.36418728942668216,0.49146706136730794,0.003852487294239766,0.009192664884822928,0.23719434038043458
loose_fine,0.7,0.8,10.0,True,True,True,-20.78229969447193,2.7161017826869887,149.31069638177678,39.45250361209457,0.16533762409079883,0.3691208780269889,0.49917435289625267,0.0038511672812227985,0.0046235404886786945,0.2590550990729649
loose_fine,0.7,0.8,20.0,True,True,True,-21.66545348701869,1.5876447493286547,150.40244830329942,39.38436353105451,0.16504311031475924,0.3716310155912078,0.5027759184694227,0.0038524981456242863,0.002318639299815724,0.2694857967370805
loose_fine,0.7,0.8,50.0,True,True,True,-22.17460844269568,0.9103432287212937,151.0318640470853,39.3433875680812,0.16486671258928606,0.37315169115024616,0.504878868937128,0.0038522719071194867,0.0009291137715767704,0.2756454027608198
loose_fine,0.7,0.85,0.2,True,True,True,0.0,108.77050375451586,166.13555583365607,49.612302794010844,0.25374046930823213,0.18784754029026382,0.3436232058421007,0.05854289323541617,0.18061080325874249,0.10638601157959944
loose_fine,0.7,0.85,0.5,True,True,True,-3.1211883267472214,45.32533435763483,171.32095940891276,46.433570694121435,0.22630665237282369,0.2376869370519764,0.3825151464219717,0.05854705806313249,0.08321360528093168,0.10296604230978577
loose_fine,0.7,0.85,1.0,True,True,True,-8.252004086119753,23.440479079141838,179.84506868954713,45.313803214455014,0.2187956558320331,0.26284954198918536,0.4105353352509007,0.05854169629153904,0.04390757430004953,0.10151043224797375
loose_fine,0.7,0.85,5.0,True,True,True,-14.541349678338698,5.417756561680387,190.29390794747962,44.383213392181084,0.2132896668848761,0.28876321107274544,0.44125481294266233,0.05855549150708063,0.009192664929474013,0.1306731517827637
loose_fine,0.7,0.85,10.0,True,True,True,-14.858754523731852,3.1553827844006337,190.8212302516165,44.263833074118295,0.21262819449974876,0.2924863535915329,0.4439280882629112,0.05853863430358617,0.004623540533553885,0.13419923141198867
loose_fine,0.7,0.85,20.0,True,True,True,-15.013486912369236,2.0237658175602586,191.0782957655339,44.204222606497645,0.2123029101197317,0.294387627663698,0.4452596181993537,0.05855564136656928,0.0023186393448920563,0.1359423272038194
loose_fine,0.7,0.85,50.0,True,True,True,-15.102265196768892,1.3446044700254345,191.22578806178086,44.16833884768129,0.2121075449867653,0.29554198733722514,0.4460544318087541,0.058552719864548554,0.0009291138167552438,0.13698659500288343
loose_fine,0.7,0.88,0.2,True,True,True,0.0,112.48191864548612,256.80163548435405,53.18776518379101,0.30058670758076955,0.16258984504012222,0.38396891904247604,0.24766634993744116,0.1806108034412037,0.04574440863693823
loose_fine,0.7,0.88,0.5,True,True,True,-4.052026463336669,46.95531941603268,267.20730571246145,50.249212131091184,0.2711563770522223,0.20044342823818656,0.4245825108899951,0.2476711181700518,0.08321360529025981,0.0447444332791324
loose_fine,0.7,0.88,1.0,True,True,True,-7.087837912188936,24.411018915969624,275.00331916333533,49.25906731953572,0.2631934397280221,0.21846368343598202,0.44554814598344283,0.2476727187171754,0.0439075743006809,0.050825876088119566
loose_fine,0.7,0.88,5.0,True,True,True,-6.481690083846609,6.294546082389748,273.44672162669934,48.46562378809658,0.25742634959851274,0.23661860336441073,0.4543722216305889,0.24767065975706662,0.009192664929856856,0.05302247506726894
loose_fine,0.7,0.88,10.0,True,True,True,-6.347794571464337,4.02809484308111,273.1028757610615,48.365989405947964,0.25674059049152737,0.2392217009702706,0.4554024160222757,0.24767420011954525,0.004623540533943787,0.05315982331593435
loose_fine,0.7,0.88,20.0,True,True,True,-6.276039142679125,2.8942707694296987,272.9186066463923,48.316201919866096,0.2564004793453466,0.24055250212799037,0.4559160136410275,0.24766531395499175,0.0023186393452861373,0.05322499677096246
loose_fine,0.7,0.88,50.0,True,True,True,-6.237024151194518,2.2139981214959397,272.8184155101757,48.28644134939709,0.2561987070332173,0.24136024207333778,0.45623305265975933,0.24767288364839415,0.000929113817151589,0.053267351687703315
loose_fine,0.7,0.9,0.2,True,True,True,0.0,117.63798740662901,455.1007349252112,56.27900425229067,0.3432397335405222,0.1445144642158774,0.490668668315154,0.5000000009437024,0.18061080344252228,0.027669827565964703
loose_fine,0.7,0.9,0.5,True,True,True,-0.5876195131307016,49.78963473402905,457.774995648033,53.55298241101131,0.3125839882464657,0.17438104251239742,0.5211793574970814,0.499999998007181,0.08321360529032727,0.03195368635235384
loose_fine,0.7,0.9,1.0,True,True,True,0.5210135038464356,27.09297633002999,452.7295986401465,52.670668037795096,0.3043771153818252,0.18757789732715893,0.5280066567723934,0.49999999883349155,0.04390757430074027,0.032299173567257075
loose_fine,0.7,0.9,5.0,True,True,True,1.6190485665521752,8.953637420325531,447.73243300003617,51.99236844828299,0.29850214648138107,0.20015585599851748,0.533257929585546,0.4999999980844056,0.009192664929925473,0.03225844987982685
