state_id,source,T_C,rho,G_nm,sigma_eff_Pa,Gstar_eV,Gstar_kJ_mol,Gstar_zero_stress_eV,Gstar_zero_stress_kJ_mol,r_nuc_sinv,barrier_temperature_extrapolated
PDF_conditioned_nominal,representative_state,900.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,2.3979563982719205e-08,True
PDF_conditioned_nominal,representative_state,1000.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,8.335148185829026e-07,True
PDF_conditioned_nominal,representative_state,1100.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.7279351411266526e-05,True
PDF_conditioned_nominal,representative_state,1200.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.00023735228047138228,True
PDF_conditioned_nominal,representative_state,1300.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.002336676249921384,True
PDF_conditioned_nominal,representative_state,1400.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.01750172660312894,True
PDF_conditioned_nominal,representative_state,1500.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.10445451573957967,True
T1_switch_like,representative_state,900.0,0.88,125.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,2.3979563982719205e-08,True
T1_switch_like,representative_state,1000.0,0.88,125.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,8.335148185829026e-07,True
T1_switch_like,representative_state,1100.0,0.88,125.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.7279351411266526e-05,True
T1_switch_like,representative_state,1200.0,0.88,125.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.00023735228047138228,True
T1_switch_like,representative_state,1300.0,0.88,125.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.002336676249921384,True
T1_switch_like,representative_state,1400.0,0.88,125.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.01750172660312894,True
T1_switch_like,representative_state,1500.0,0.88,125.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.10445451573957967,True
candidate_like_injected,representative_state,900.0,0.88,117.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,2.3979563982719205e-08,True
candidate_like_injected,representative_state,1000.0,0.88,117.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,8.335148185829026e-07,True
candidate_like_injected,representative_state,1100.0,0.88,117.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.7279351411266526e-05,True
candidate_like_injected,representative_state,1200.0,0.88,117.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.00023735228047138228,True
candidate_like_injected,representative_state,1300.0,0.88,117.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.002336676249921384,True
candidate_like_injected,representative_state,1400.0,0.88,117.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.01750172660312894,True
candidate_like_injected,representative_state,1500.0,0.88,117.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.10445451573957967,True
resolved_best_prepared,representative_state,900.0,0.8021313211677201,77.08504218109171,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,2.3979563982719205e-08,True
resolved_best_prepared,representative_state,1000.0,0.8021313211677201,77.08504218109171,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,8.335148185829026e-07,True
resolved_best_prepared,representative_state,1100.0,0.8021313211677201,77.08504218109171,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.7279351411266526e-05,True
resolved_best_prepared,representative_state,1200.0,0.8021313211677201,77.08504218109171,239660451.94719768,4.579696869641028,441.87357349139774,5.3646516047156325,517.6101918068358,0.0002150040003089073,True
resolved_best_prepared,representative_state,1300.0,0.8021313211677201,77.08504218109171,216459247.13300806,4.609352405709116,444.7348977382221,5.3646516047156325,517.6101918068358,0.0017114985507678349,True
resolved_best_prepared,representative_state,1400.0,0.8021313211677201,77.08504218109171,195932915.72391766,4.637539623405657,447.4545507993049,5.3646516047156325,517.6101918068358,0.0107408005190215,True
resolved_best_prepared,representative_state,1500.0,0.8021313211677201,77.08504218109171,177745321.9298931,4.664309687285489,450.0374693037127,5.3646516047156325,517.6101918068358,0.055303642539543285,True
history_50C,existing_history,950.0,0.6600093452995124,50.001905758193,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.5201110710336712e-07,True
history_50C,existing_history,1000.0,0.6600605804682091,50.01118037931278,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,8.335148185829026e-07,True
history_50C,existing_history,1050.0,0.6603074977480946,50.05130731817808,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,4.018804594385145e-06,True
history_50C,existing_history,1100.0,0.6613672286460809,50.20758371019109,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.7279351411266526e-05,True
history_50C,existing_history,1195.3949665996456,0.6690576539665489,51.216756142765924,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.0002120303770246,True
history_50C,existing_history,1256.87923764167,0.6987108579391834,54.911294880903206,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.0009041536733186,True
history_50C,existing_history,1310.4560230759355,0.7633620108711403,64.3878117424551,227633701.8996972,4.59479933616982,443.3307399903094,5.3646516047156325,517.6101918068358,0.0023833637773468,True
history_50C,existing_history,1362.1487351748456,0.8234001624453942,84.2327069640109,187995559.5609351,4.648998707986403,448.56018438090723,5.3646516047156325,517.6101918068358,0.0047031642510093,True
history_50C,existing_history,1413.3812777995176,0.8621430184564995,121.72270295833918,170379938.09038758,4.675695892389896,451.1360710848355,5.3646516047156325,517.6101918068358,0.0106622464164828,True
history_50C,existing_history,1463.645884967751,0.8871660906182948,186.7199233125877,166056286.95636463,4.682539816167582,451.7964093435521,5.3646516047156325,517.6101918068358,0.0258438521811536,True
history_50C,existing_history,1499.2847729572436,0.9005037465317097,258.4710238006788,168108555.4917649,4.679276073373797,451.48150603612874,5.3646516047156325,517.6101918068358,0.0495277194464679,True
history_5C,existing_history,950.0,0.6600186905990246,50.00381151638597,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.5201110710336712e-07,True
history_5C,existing_history,960.0,0.6600452462339537,50.00909477396817,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,2.160117599756239e-07,True
history_5C,existing_history,970.0,0.6600827616320419,50.01638016646548,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,3.052280075315988e-07,True
history_5C,existing_history,980.0,0.6601354641150763,50.026375599827695,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,4.289187730115891e-07,True
history_5C,existing_history,990.0,0.6602090958931819,50.04002128219067,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,5.994960527402117e-07,True
history_5C,existing_history,1000.0,0.6603114134174695,50.05855993116326,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,8.335148185829026e-07,True
history_5C,existing_history,1010.0,0.6604528349573326,50.08362625495293,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.1529472914489456e-06,True
history_5C,existing_history,1020.0,0.6606472737362078,50.11736035516479,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.5868156186028131e-06,True
history_5C,existing_history,1030.0,0.6609132001123886,50.162550570207,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,2.173274229785125e-06,True
history_5C,existing_history,1040.0,0.6612749814158023,50.22281217913161,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,2.96225391677008e-06,True
history_5C,existing_history,1050.0,0.6617645503183736,50.30280921036997,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,4.018804594385145e-06,True
history_5C,existing_history,1060.0,0.6624234489189371,50.40852714406475,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,5.427303462235107e-06,True
history_5C,existing_history,1070.0,0.6633052810461637,50.54760419056935,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,7.296730696242991e-06,True
