state_id,source,T_C,rho,G_nm,sigma_eff_Pa,Gstar_eV,Gstar_kJ_mol,Gstar_zero_stress_eV,Gstar_zero_stress_kJ_mol,r_nuc_sinv,k_nuc_eff_sinv,k_transport_eff_sinv,k_PR_eff_sinv,k_closed_eff_sinv,k_growth_eff_sinv,closed_availability,A_closed,PR_memory,barrier_temperature_extrapolated,Q_closed_eff_kJ_mol,Q_closed_status,Q_nuc_eff_minus_Q_growth_kJ,Q_nuc_eff_minus_Q_PR_kJ,Q_nuc_eff_minus_Q_PR_separate_kJ,Q_nuc_eff_minus_Q_transport_kJ,Q_closed_eff_minus_Q_growth_kJ,Q_PR_minus_Q_closed_eff_kJ,Q_PR_separate_minus_Q_closed_eff_kJ,inside_both_pass_nuc_growth,inside_both_pass_nuc_PR,inside_both_pass_nuc_transport,inside_both_pass_closed_growth,inside_both_pass_PR_closed,inside_OAT_Delta_Q_nuc,inside_OAT_Delta_Q_closed,inside_OAT_Delta_Q_growth,inside_PR_prefactor_threshold,inside_growth_prefactor_threshold
PDF_conditioned_nominal,representative_state,900.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,2.3979563982719205e-08,2.3979563982719205e-08,0.00021461934739060314,2.5255731645789038e-11,,1.050808763698711e-06,0.0,0.0,0.0,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
PDF_conditioned_nominal,representative_state,1000.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,8.335148185829026e-07,8.335148185829026e-07,0.0042176277341952105,2.2941271364738605e-09,,2.7460731444624397e-05,0.0,0.0,0.0,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
PDF_conditioned_nominal,representative_state,1100.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.7279351411266526e-05,1.7279351411266526e-05,0.05340680240809111,1.0803299981715837e-07,,0.00044615554823579286,0.0,0.0,0.0,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
PDF_conditioned_nominal,representative_state,1200.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.00023735228047138228,0.00023735228047138228,0.4767524838331803,3.0147388431322334e-06,,0.004964569016520355,0.0,0.0,0.0,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
PDF_conditioned_nominal,representative_state,1300.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.002336676249921384,0.002336676249921384,3.2081051983722535,5.508089359221236e-05,,0.040667264418282285,0.0,0.0,0.0,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
PDF_conditioned_nominal,representative_state,1400.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.01750172660312894,0.01750172660312894,17.12314198853021,0.0007108189684521823,,0.2590773603824787,0.0,0.0,0.0,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
PDF_conditioned_nominal,representative_state,1500.0,0.66,50.00000000000001,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,0.10445451573957967,0.10445451573957967,75.40755139756526,0.00687128542598561,,1.33939011553524,0.0,0.0,0.0,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
T1_switch_like,representative_state,900.0,0.88,125.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,2.3979563982719205e-08,2.3979563982719205e-08,3.4339095582496505e-05,2.5192587096675687e-11,,1.681294021917938e-07,0.0,0.0,0.0,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
T1_switch_like,representative_state,1000.0,0.88,125.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,8.335148185829026e-07,8.335148185829026e-07,0.0006748204374712336,2.2839642886050425e-09,,4.393717031139904e-06,0.0,0.0,0.0,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
T1_switch_like,representative_state,1100.0,0.88,125.0,250000000.0,4.567143305406176,440.6623386768668,5.3646516047156325,517.6101918068358,1.7279351411266526e-05,1.7279351411266526e-05,0.00854508838529458,1.0724750743361416e-07,,7.138488771772688e-05,0.0,0.0,0.0,True,,proxy/unidentified,35.42394377286678,60.662338676866796,260.6623386768668,60.662338676866796,,,,True,True,True,False,False,True,False,True,True,True
