candidate_id,ablation,attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,rho_high_final,rho_two_final
540979,full,True,0.18005397021669345,0.22087301292341677,0.27392124576805565,0.022299999999997544,0.0,0.007580954206422712,Tier_B,,0.9949970103193163,0.994989157285368
540979,no_sweep_coalescence,False,-0.0045446967470093025,-0.004137159503632137,-0.0037290279388841885,0.0,0.0,0.0,reject,reduction_below_threshold,0.9947496226541589,0.950806302849979
540979,no_detachment,False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.7158155374888784,0.7158155374888784
540979,no_recapture,False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.7000528623594209,0.7000528623594209
540979,no_closed_pore_shrinkage,False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.9404841161964146,0.8812792520807136
540979,no_dragged_pore_pinning,True,0.19332699776761586,0.23547647529841098,0.28850712047259097,0.027399999999996982,0.0,0.008142808681624692,Tier_B,,0.9949792817986907,0.9949604913794159
540979,no_TJ_multihit,True,0.1820502813046898,0.22300136112554825,0.27619042187749765,0.023099999999997456,0.0,0.00766349192038085,Tier_B,,0.9949912484630705,0.9949826660091916
540979,q_TJ_0,True,0.18005397021669345,0.22087301292341677,0.27392124576805565,0.022299999999997544,0.0,0.007580954206422712,Tier_B,,0.9949970103193163,0.994989157285368
540979,q_TJ_1,True,0.1689164881095203,0.2044979966452829,0.2499169220052052,0.01669999999999816,0.0,0.006935765733237337,Tier_C,,0.9949860740334058,0.9949981177801207
540979,topology_disabled,False,0.6194722399623913,0.6316241631316178,0.6432193151471459,0.005599999999999383,0.005599999999999383,0.0055937645613833905,Tier_C,,0.9609465286678132,0.9556271273284822
