candidate_id,rho,G_highT_nm,G_two_step_nm,ratio,reduction
151102,0.95,367.0535649932563,196.62323978041178,1.86678627309356,0.46432003791047705
151102,0.951,369.43093309184735,196.69753187742856,1.8781676087428338,0.4675661557866192
151102,0.952,371.96596572205533,196.78568855494618,1.8902084214228598,0.4709578114950693
151102,0.953,374.69846157632827,196.8957423544253,1.9030297816285249,0.4745221490205759
151102,0.954,377.6832963834481,197.04486839105618,1.916737540375302,0.4782801615059945
151102,0.955,381.000540936775,197.2797831166995,1.9312700719637184,0.4822060288112897
809242,0.95,375.7321651782233,201.03741831134727,1.868966326439418,0.46494488110703014
809242,0.951,378.14103735002897,201.12782395324928,1.8801030604195526,0.46811426402505507
809242,0.952,380.71052115190435,201.24177274153152,1.8918066361941501,0.4714047509571305
809242,0.953,383.480849819542,201.39791405829925,1.9040954401768764,0.4748162414027379
305556,0.95,323.10048966503456,179.89990918888302,1.7960014050134978,0.44320756252833526
305556,0.951,325.17892323381847,179.98087421931652,1.806741547646725,0.4465174051581994
305556,0.952,327.4043140072292,180.07358726265096,1.818169554925816,0.4499962903400384
21362,0.95,798.6706222441837,427.5338602709439,1.8680874112240768,0.46469314337665646
21362,0.951,803.7772722185367,427.7717838879981,1.8789861849069194,0.46779810940997546
21362,0.952,809.2244913508915,428.0687205544078,1.8904079006352874,0.4710136369701261
21362,0.953,815.0965538058894,428.47242538414247,1.9023314115841248,0.47432923942139404
413864,0.95,920.9496947820242,480.5594346703191,1.9164116409738756,0.4781914393445119
413864,0.951,926.9243808167844,480.7699212086686,1.9279999432711417,0.48132778556862943
413864,0.952,933.3083658347891,481.01983897735954,1.940270005950249,0.48460781389534024
413864,0.953,940.2079247658132,481.3329893961486,1.9533419596802237,0.48805686836128415
413864,0.954,947.7725234512214,481.76223352615364,1.9673034901764863,0.4916900188540354
413864,0.955,956.2205097863989,482.4637533278315,1.9819530548995505,0.495447181492055
413864,0.956,965.8966956791385,483.7064131722629,1.9968655973456209,0.499215169348767
408470,0.95,1165.7165281637435,605.4929755819514,1.9252354282778426,0.48058300542779964
408470,0.951,1173.2599543737892,605.812085665139,1.9366730742679596,0.48365058961849383
408470,0.952,1181.3050588394824,606.223798851906,1.948628643541694,0.48681858736179284
408470,0.953,1189.9772494598244,606.8137514886176,1.9610255148974578,0.4900627287084074
408470,0.954,1199.4518208902184,607.7976786943776,1.973439292276971,0.49327045229438427
279372,0.95,437.2765688694251,251.95728006365698,1.7355186909421598,0.4238033821133147
279372,0.951,440.02657216397955,252.09890949297744,1.7454521046876528,0.4270825321907362
279372,0.952,442.8287990048129,252.2652186102848,1.7554096495915386,0.43033240119610416
279372,0.953,446.03784250746935,252.46878467753072,1.7667049139448165,0.4339745182645509
279372,0.954,449.34283968616734,252.73409893791492,1.7779272427997541,0.4375472876914408
66561,0.95,1023.0612886296746,542.7912437380174,1.8848153879274134,0.4694440599301223
66561,0.951,1029.5218942724434,543.1386962164464,1.8955045947640752,0.4724359926310464
66561,0.952,1036.8759097185089,543.5415510611267,1.907629522884262,0.47578919910610384
66561,0.953,1044.4181565081324,543.7905561486455,1.9206257716300612,0.47933636277759284
415902,0.95,247.11110508022477,148.39208571660367,1.6652579811577874,0.39949244422492425
415902,0.951,248.52718832698878,148.43930264070045,1.6742680941350996,0.40272408970644324
415902,0.952,250.03854824542793,148.4986862045027,1.6837761641950904,0.4060968308824835
415902,0.953,251.6690478197326,148.5798157781636,1.6938306626755137,0.4096222119273505
415902,0.954,253.45183661447092,148.66096344153488,1.7048983858775275,0.41345477930915486
703878,0.95,220.88935593278202,133.9944226931504,1.6484966425701357,0.3933866929562432
703878,0.951,222.166937753951,134.02460183529146,1.6576578830428566,0.39673921245778176
703878,0.952,223.4715254580524,134.05934248570045,1.6669597307766086,0.400105484531341
703878,0.953,225.01508412046158,134.1007779629531,1.6779550986842495,0.4040364960992465
703878,0.954,226.6041269990722,134.15288460420746,1.6891483747637968,0.407985695667596
703878,0.955,228.35696601204646,134.22428963400725,1.7013088065857018,0.41221723174003566
703878,0.956,230.39341631340324,134.3386470895466,1.715019626182695,0.4169162937069074
288307,0.95,319.0296972050928,194.0925258465492,1.643699033817097,0.3916161174118721
288307,0.951,320.82050314990676,194.1682071949702,1.652281327538659,0.3947761901481619
288307,0.952,322.7319858352187,194.26804345585015,1.6612716126343425,0.39805147310362976
288307,0.953,324.7942068638712,194.41846523022383,1.6705934103494788,0.4014103049821047
288307,0.954,327.0491771205356,194.7207565231224,1.6795804564455854,0.4046132198297595
705289,0.95,973.9211552911996,576.3322898843045,1.6898604717891286,0.408235166929932
705289,0.951,979.774300399619,576.7472490060092,1.6987931924915185,0.41134682878416784
705289,0.952,985.740378624967,577.5141157091094,1.7068680259262767,0.41413162306012274
705289,0.953,991.8755202255627,578.8510437489729,1.7135246294134763,0.4164075713680925
57209,0.95,511.53977555257114,313.0488947147055,1.6340571207534804,0.38802628910616677
57209,0.951,514.7186935752574,313.17500039561594,1.6435497499003524,0.39156085779537286
57209,0.952,518.1751509412247,313.356731036564,1.6536269995769184,0.3952687031260068
57209,0.953,521.993051942322,313.69055990362915,1.6640381275824392,0.39905223118124833
57209,0.954,526.2988345061748,314.78187459682346,1.6719477103955394,0.40189517065493274
