parameter,minimum,maximum,scale
k_sweep_coalesce,0.001,1000.0,log
k_drag_detach,0.0001,100.0,log
k_recapture,0.0001,100.0,log
k_TJ_coalescence,0.001,1000.0,log
k_closed_transition,1e-09,0.01,log
coalescence_radius_exponent,1,10,linear
sweep_Gdot_exponent,0.5,3,linear
removable_fraction_threshold,0.01,0.5,linear
pore_drag_strength,0,500,linear
closed_pore_shrinkage_prefactor,1e-10,0.001,log
Q_sweep,150000.0,750000.0,linear
Q_detach,150000.0,750000.0,linear
Q_recapture,150000.0,750000.0,linear
Q_closed,250000.0,750000.0,linear
q_TJ,0,2,discrete
lambda_TJ,0.001,1000.0,log
K_TJ,1,50,linear
