attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,candidate_id,rho_high_final,rho_two_final,G_high_final_nm,G_two_final_nm,switched,projection_only
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,580281,0.7952255010241729,0.7952255010241729,36833.883302530725,36833.883302530725,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,133084,0.9600470045194582,0.9432729459646806,424.4089839844793,287.2716687691244,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,178563,0.7036709336762343,0.7036709336762343,642.5996829577848,642.5996829577848,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,719837,0.7032863754086851,0.7032863754086851,152.65586098686848,152.65586098686848,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,223380,0.7004181219733128,0.7004181219733128,27830.96047053591,27830.96047053591,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,483115,0.7453098155737399,0.7453098155737399,23222.44784707663,23222.44784707663,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,75499,0.7604659108289819,0.7604659108289819,270.7546518837911,270.7546518837911,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,677654,0.8212134976793899,0.8212134976793899,51284.183814325705,51284.183814325705,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,581993,0.881080613820268,0.880078816519367,413.23903436307813,378.20546415770644,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,189613,0.729002800978731,0.729002800978731,63507.59999480945,63507.59999480945,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,708117,0.7017738454870237,0.7017738454870237,302.4960108963716,302.4960108963716,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,668487,0.7750150321176494,0.7750150321176494,55767.351280928124,55767.351280928124,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,585548,0.9376758629964139,0.9277985101155987,552.8773079054444,509.6517725152527,True,False
False,0.06018966586423913,0.061667082217960356,0.06517750766921959,0.0,0.0,0.0004279752211456603,Tier_C,,830312,0.9609999995961837,0.9565548528141923,138.3838711785526,107.4273217926218,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,367134,0.7751561938612894,0.7751561938612894,64174.426972020745,64174.426972020745,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,90449,0.7214223405062035,0.7214223405062035,1006.0738736036644,1006.0738736036644,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,769887,0.7750045364092137,0.7750045364092137,45981.33149629181,45981.33149629181,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,245468,0.7750000888769318,0.7750000888769318,60655.75259228602,60655.75259228602,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,128019,0.8139981312349681,0.8139981312349681,64310.70566386639,64310.70566386639,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,623117,0.8998565374001646,0.8906300350381788,215.85004424329213,181.33500881677824,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,535425,0.7780258597703894,0.7780258597703894,352.6009562972243,352.6009562972243,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,789542,0.7752675179155971,0.7752675179155971,63559.3646301584,63559.3646301584,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,107968,0.922531866815064,0.9208585603825465,832.0806439086367,682.9653967935242,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,413968,0.7750054200840528,0.7750054200840528,39028.431039137984,39028.431039137984,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,766782,0.8832408353002525,0.8803771391279817,283.243864315568,203.87454740624892,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,808926,0.7059283654884221,0.7059283654884221,65649.29707077978,65649.29707077978,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,802443,0.7750121558381458,0.7750121558381458,69900.69367623568,69900.69367623568,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,956719,0.7755055027642188,0.7755055027642188,358.0736485230103,358.0736485230103,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,815691,0.7757036742348842,0.7757036742348842,68528.19324322417,68528.19324322417,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,608413,0.7810618555309645,0.7810618555309645,38922.9680936568,38922.9680936568,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,110672,0.7000116236670552,0.7000116236670552,186.19100708935352,186.19100708935352,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,518189,0.960594798076617,0.9458633290019098,157.10526655123567,111.86921017694053,True,False
False,0.07916550053433735,0.08426316494420916,0.08485253119318659,0.0,0.0,0.000346346589375264,Tier_C,,441509,0.9597024259996657,0.954045537084626,172.76751166892626,115.87879179587924,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,503896,0.7148697460988132,0.7148697460988132,22598.475326976884,22598.475326976884,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,550805,0.734679975669208,0.734679975669208,59009.238956526984,59009.238956526984,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,559285,0.7480589087036926,0.7480589087036926,64221.65366812017,64221.65366812017,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,310325,0.7000504021115088,0.7000504021115088,1133.294774491033,1133.294774491033,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,89846,0.7750402194972541,0.7750402194972541,10701.441157326486,10701.441157326486,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,688773,0.7002619013540654,0.7002619013540654,3660.3254001991168,3660.3254001991168,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,248328,0.7750003759648435,0.7750003759648435,40986.50895017242,40986.50895017242,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,375630,0.7762892694913066,0.7762892694913066,51612.40582314999,51612.40582314999,False,False
False,-0.00014003337411971906,0.0,0.0005369722733243876,0.0,0.0,8.399241732229578e-07,Tier_C,,182675,0.960251159604702,0.9554952273248553,202.69333797958146,126.59693063873057,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,226012,0.9606415404639748,0.944951607826677,267.69461537464264,166.83232645292117,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,399408,0.9459032136847516,0.9337466460281202,737.4960253393875,568.4458814306572,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,986389,0.7010366192399198,0.7010366192399198,5915.1397945344725,5915.1397945344725,False,False
False,0.13812751266250256,0.13981068931766155,0.14108514252194793,0.0,0.0,0.00025589834534649544,Tier_C,,360114,0.960355164648773,0.951714168906717,376.77287473050063,239.5406129726448,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,460352,0.7751589149510623,0.7751589149510623,62550.091741404394,62550.091741404394,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,354019,0.7750004757814241,0.7750004757814241,41824.82162392751,41824.82162392751,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,860011,0.8970570460455295,0.8859753409155342,267.10683319902955,190.01267008720833,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,430052,0.7011954015747972,0.7011954015747972,3064.4395601699557,3064.4395601699557,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,689755,0.7007135017885862,0.7007135017885862,3958.1518635774264,3958.1518635774264,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,168575,0.7752011273744386,0.7752011273744386,61772.7575986993,61772.7575986993,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,288351,0.8877521935519963,0.8822818011518154,273.8463514918009,164.20955022692274,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,908609,0.7018717738050594,0.7018717738050594,63618.63282254994,63618.63282254994,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,714178,0.7016501174396114,0.7016501174396114,384.03077887797514,384.03077887797514,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,531331,0.7406821220512012,0.7406821220512012,187.5928695968941,187.5928695968941,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,832054,0.7048389601271715,0.7048389601271715,2430.065628104319,2430.065628104319,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,106440,0.8866572158192075,0.8831065502935738,334.96511068526917,140.3603105347537,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,162914,0.960834343933301,0.9482624127718478,680.4633473905362,290.92037178583666,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,160568,0.8805247670003801,0.8800627211742618,903.8156318459588,869.0015279046297,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,238728,0.9588235420186344,0.9442039645404633,784.1280098845402,503.61473776465726,True,False
False,-8.688088521946469e-05,0.00013205560212664613,0.0002816206567257673,0.0,0.0,5.156705520024145e-07,Tier_C,,124535,0.9609727002234978,0.9538995372727915,156.71567442748858,109.42234125256195,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,642891,0.7285617219995666,0.7285617219995666,63109.18223379376,63109.18223379376,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,286426,0.8888945629676168,0.8843357404336091,1165.2604046025774,874.528678000189,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,425660,0.7055038595651967,0.7055038595651967,570.9084912878624,570.9084912878624,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,665374,0.7021261098035745,0.7021261098035745,35894.31692486754,35894.31692486754,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,181346,0.7077684263346244,0.7077684263346244,583.3925807179684,583.3925807179684,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,775841,0.7767769254809938,0.7767769254809938,15741.31799023029,15741.31799023029,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,337332,0.7750030110843276,0.7750030110843276,62699.49960485595,62699.49960485595,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,367906,0.8835798309733041,0.8804598977676231,1398.4723950099467,1185.3682341797144,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,895566,0.8793827096596294,0.8793827096596294,430.9546008336914,430.9546008336914,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,248083,0.7068341405122184,0.7068341405122184,541.5723419420212,541.5723419420212,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,828896,0.9593023954283217,0.9467272427601507,625.1067882636964,477.17307381573977,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,156564,0.7837076248704576,0.7837076248704576,48338.62787693403,48338.62787693403,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,178164,0.7750000094145577,0.7750000094145577,37006.778183380135,37006.778183380135,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,235669,0.7003778131181294,0.7003778131181294,979.7676408021778,979.7676408021778,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,427988,0.844796213632729,0.844796213632729,745.9561859683183,745.9561859683183,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,144300,0.7103196802328696,0.7103196802328696,1309.1009132356673,1309.1009132356673,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,617765,0.7194808451265284,0.7194808451265284,783.2267502991846,783.2267502991846,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,148463,0.9474892997640713,0.9251927348645301,532.6373095379063,399.17885653748,True,False
