mode,path,Delta_rho_open,Delta_rho_closed,PR_topology_transfer,closed_transition,state_density_gain
resolved_proxy_current,PDF_conditioned_5C_min,0.2708440154350804,0.0001642705446935406,0.001110512943552191,0.0032344453882413625,0.2770114819957471
resolved_proxy_current,PDF_conditioned_50C_min,0.08580147178200224,1.4008515531560803e-07,0.0025247155983062564,0.0006191070799329325,0.2405037465317097
candidate_reduced_transfer,PDF_conditioned_5C_min,0.2708639977516068,1.688028009497482e-13,0.0011107477293069417,0.003234156690421473,0.276875562331494
candidate_reduced_transfer,PDF_conditioned_50C_min,0.08580148710220871,3.600066343734522e-15,0.0025247157116049567,0.000619107054475391,0.24050373379958712
mechanistic_renewal_closed_m4,PDF_conditioned_5C_min,0.27086399775167613,0.0,0.0011107477293071052,0.0032341566904192467,0.2768755623313929
mechanistic_renewal_closed_m4,PDF_conditioned_50C_min,0.08580148710221006,0.0,0.0025247157116049766,0.0006191070544753862,0.24050373379958634
mechanistic_renewal_closed_m3,PDF_conditioned_5C_min,0.27086399775167613,0.0,0.0011107477293071052,0.0032341566904192467,0.2768755623313929
mechanistic_renewal_closed_m3,PDF_conditioned_50C_min,0.08580148710221006,0.0,0.0025247157116049766,0.0006191070544753862,0.24050373379958634
mechanistic_GB_diffusion_closed_m4,PDF_conditioned_5C_min,0.27086399775167613,0.0,0.0011107477293071052,0.0032341566904192467,0.2768755623313929
mechanistic_GB_diffusion_closed_m4,PDF_conditioned_50C_min,0.08580148710221006,0.0,0.0025247157116049766,0.0006191070544753862,0.24050373379958634
mechanistic_GB_diffusion_closed_m3,PDF_conditioned_5C_min,0.27086399775167613,0.0,0.0011107477293071052,0.0032341566904192467,0.2768755623313929
mechanistic_GB_diffusion_closed_m3,PDF_conditioned_50C_min,0.08580148710221006,0.0,0.0025247157116049766,0.0006191070544753862,0.24050373379958634
mechanistic_surface_accommodation,PDF_conditioned_5C_min,0.27086399775167613,0.0,0.0011107477293071052,0.0032341566904192467,0.2768755623313929
mechanistic_surface_accommodation,PDF_conditioned_50C_min,0.08580148710221006,0.0,0.0025247157116049766,0.0006191070544753862,0.24050373379958634
mechanistic_gas_accommodation,PDF_conditioned_5C_min,0.27086399775167613,0.0,0.0011107477293071052,0.0032341566904192467,0.2768755623313929
mechanistic_gas_accommodation,PDF_conditioned_50C_min,0.08580148710221006,0.0,0.0025247157116049766,0.0006191070544753862,0.24050373379958634
empirical_closed_rate_diagnostic,PDF_conditioned_5C_min,0.27086399775167613,0.0,0.0011107477293071052,0.0032341566904192467,0.2768755623313929
empirical_closed_rate_diagnostic,PDF_conditioned_50C_min,0.08580148710221006,0.0,0.0025247157116049766,0.0006191070544753862,0.24050373379958634
