mode,path,final_rho,final_G_um,closed_inventory_formed,final_A_closed,matched_density_G5_over_G50_median
resolved_proxy_current,PDF_conditioned_5C_min,0.9370114819957471,0.9378569902529972,0.00019513691209071065,0.17130037636087972,0.5523692432733291
resolved_proxy_current,PDF_conditioned_50C_min,0.9005037465317097,0.25847102380067877,2.7095039986133637e-05,0.015390840896590626,0.5523692432733291
candidate_reduced_transfer,PDF_conditioned_5C_min,0.936875562331494,0.937301632666162,0.00020533983581970858,0.1720569258197597,0.5523692846966106
candidate_reduced_transfer,PDF_conditioned_50C_min,0.9005037337995871,0.25847099126591494,2.709655106465659e-05,0.01539091647124839,0.5523692846966106
mechanistic_renewal_closed_m4,PDF_conditioned_5C_min,0.9368755623313929,0.9373016326659486,0.0002053398358305646,0.1720569258205279,0.5523692846966208
mechanistic_renewal_closed_m4,PDF_conditioned_50C_min,0.9005037337995864,0.2584709912659082,2.7096551064805993e-05,0.015390916471255777,0.5523692846966208
mechanistic_renewal_closed_m3,PDF_conditioned_5C_min,0.9368755623313929,0.9373016326659486,0.0002053398358305646,0.1720569258205279,0.5523692846966208
mechanistic_renewal_closed_m3,PDF_conditioned_50C_min,0.9005037337995864,0.2584709912659082,2.7096551064805993e-05,0.015390916471255777,0.5523692846966208
mechanistic_GB_diffusion_closed_m4,PDF_conditioned_5C_min,0.9368755623313929,0.9373016326659486,0.0002053398358305646,0.1720569258205279,0.5523692846966208
mechanistic_GB_diffusion_closed_m4,PDF_conditioned_50C_min,0.9005037337995864,0.2584709912659082,2.7096551064805993e-05,0.015390916471255777,0.5523692846966208
mechanistic_GB_diffusion_closed_m3,PDF_conditioned_5C_min,0.9368755623313929,0.9373016326659486,0.0002053398358305646,0.1720569258205279,0.5523692846966208
mechanistic_GB_diffusion_closed_m3,PDF_conditioned_50C_min,0.9005037337995864,0.2584709912659082,2.7096551064805993e-05,0.015390916471255777,0.5523692846966208
mechanistic_surface_accommodation,PDF_conditioned_5C_min,0.9368755623313929,0.9373016326659486,0.0002053398358305646,0.1769525125365824,0.5523692846966208
mechanistic_surface_accommodation,PDF_conditioned_50C_min,0.9005037337995864,0.2584709912659082,2.7096551064805993e-05,0.016608506311425287,0.5523692846966208
mechanistic_gas_accommodation,PDF_conditioned_5C_min,0.9368755623313929,0.9373016326659486,0.0002053398358305646,0.1720569258205279,0.5523692846966208
mechanistic_gas_accommodation,PDF_conditioned_50C_min,0.9005037337995864,0.2584709912659082,2.7096551064805993e-05,0.015390916471255777,0.5523692846966208
empirical_closed_rate_diagnostic,PDF_conditioned_5C_min,0.9368755623313929,0.9373016326659486,0.0002053398358305646,0.1720569258205279,0.5523692846966208
empirical_closed_rate_diagnostic,PDF_conditioned_50C_min,0.9005037337995864,0.2584709912659082,2.7096551064805993e-05,0.015390916471255777,0.5523692846966208
