mode,state_kind,T2_C,initial_rho,initial_G_nm,closed_fraction_at_switch,A_closed_at_switch,PR_memory_at_switch,final_rho,final_G_um,Delta_rho_open,Delta_rho_closed,closed_inventory_formed,final_A_closed,classification,strict_success,candidate_state_injected,diagnostic_only
resolved_proxy_current,naturally_prepared,900,0.8673623642108974,136.62678384132076,0.0037746848776247397,0.036888007987557744,0.17071210612131277,0.8692981093692912,0.13675476001111667,7.831051663797669e-05,0.0018351086580655175,0.00953808716510408,0.9896363348266364,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False
resolved_proxy_current,naturally_prepared,925,0.8673623642108974,136.62678384132076,0.0037746848776247397,0.036888007987557744,0.17071210612131277,0.8700008968137758,0.1369371168209679,0.00019977251395776125,0.002408387392523205,0.009420152376579992,0.9886861723453496,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False
resolved_proxy_current,naturally_prepared,950,0.8673623642108974,136.62678384132076,0.0037746848776247397,0.036888007987557744,0.17071210612131277,0.8710108648492849,0.1373527959855205,0.0004880442637239142,0.003118388758486733,0.00926315034788536,0.9875234410319168,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False
resolved_proxy_current,naturally_prepared,975,0.8673623642108974,136.62678384132076,0.0037746848776247397,0.036888007987557744,0.17071210612131277,0.8725505038490129,0.13826712074533762,0.0011389382769343454,0.00398889614851017,0.00904673656587578,0.9861220789443467,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False
resolved_proxy_current,naturally_prepared,1000,0.8673623642108974,136.62678384132076,0.0037746848776247397,0.036888007987557744,0.17071210612131277,0.8750256675408302,0.14020562308580795,0.002520844934465865,0.005051744810170607,0.008735019139580765,0.984456055213214,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False
resolved_proxy_current,naturally_prepared,1025,0.8673623642108974,136.62678384132076,0.0037746848776247397,0.036888007987557744,0.17071210612131277,0.8790801638262045,0.14415277816597352,0.005217773031247003,0.006356439585703018,0.008271060716092656,0.9824999640872404,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False
resolved_proxy_current,naturally_prepared,1050,0.8673623642108974,136.62678384132076,0.0037746848776247397,0.036888007987557744,0.17071210612131277,0.8854775429138808,0.15182275666983203,0.009890502746703464,0.007987813216477813,0.007584678413458264,0.980230811794324,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False
resolved_proxy_current,naturally_prepared,1075,0.8673623642108974,136.62678384132076,0.0037746848776247397,0.036888007987557744,0.17071210612131277,0.8946350780533581,0.16594120619392458,0.016791042681056047,0.010079414153161728,0.0066338740649169205,0.9776449061875555,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False
resolved_proxy_current,naturally_prepared,1100,0.8673623642108974,136.62678384132076,0.0037746848776247397,0.036888007987557744,0.17071210612131277,0.9047587174387087,0.1901275500196896,0.024392443447815618,0.012560381298630362,0.005608017458019226,0.9751144679284014,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False
resolved_proxy_current,naturally_prepared,1125,0.8673623642108974,136.62678384132076,0.0037746848776247397,0.036888007987557744,0.17071210612131277,0.9166240815268892,0.229729308624317,0.03281487694105572,0.016254280851379095,0.00449602647101364,0.9719720900992054,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False
