smoothing_rho_mid,rho_width_label,smoothing_rho_width,target_density,n_rho0,fraction_HR_attainable,fraction_TS_attainable,fraction_HR_positive,fraction_TS_positive,mean_HR_pct,mean_TS_pct,median_HR_crossover_density,mean_slow_cumulative_redistribution
0.72,narrow,0.0075,0.85,5,0.8,0.8,0.0,0.0,-15.143221682113671,0.0,0.9,0.08973329411209202
0.72,narrow,0.0075,0.88,5,1.0,1.0,0.0,1.0,-12.56748565119632,9.441833271686843,0.9,0.08973329414508051
0.72,narrow,0.0075,0.9,5,1.0,1.0,0.4,1.0,-1.9805505316206022,11.236649009925802,0.9,0.08973329414508051
0.72,narrow,0.0075,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.72,baseline,0.015,0.85,5,0.8,0.8,0.0,0.0,-15.121434120058659,0.0,0.9,0.08842393170243762
0.72,baseline,0.015,0.88,5,1.0,1.0,0.0,1.0,-12.476918366569473,9.441833056726761,0.9,0.0884262707767491
0.72,baseline,0.015,0.9,5,1.0,1.0,0.4,1.0,-1.916271169462113,11.236648991871691,0.9,0.08842627077675178
0.72,baseline,0.015,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.72,broad,0.03,0.85,5,0.8,0.8,0.0,0.0,-14.932648858326576,0.0,0.9,0.08844825034994322
0.72,broad,0.03,0.88,5,1.0,1.0,0.0,1.0,-12.084603788693283,9.441768020196196,0.9,0.08876376051321054
0.72,broad,0.03,0.9,5,1.0,1.0,0.4,1.0,-1.60298056235306,11.236569472868732,0.9,0.08876376065769674
0.72,broad,0.03,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.76,narrow,0.0075,0.85,5,0.8,0.8,0.0,0.0,-13.250559577315876,0.0,0.9,0.12159094891653226
0.76,narrow,0.0075,0.88,5,1.0,1.0,0.0,1.0,-10.450498967033727,9.441833286402822,0.9,0.12159098511311225
0.76,narrow,0.0075,0.9,5,1.0,1.0,0.6,1.0,-0.04940489654546916,11.2366485724285,0.9,0.12159098511311225
0.76,narrow,0.0075,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.76,baseline,0.015,0.85,5,0.8,0.8,0.0,0.0,-13.354146957976127,0.0,0.9,0.11872729649461367
0.76,baseline,0.015,0.88,5,1.0,1.0,0.0,1.0,-10.495172802955796,9.441830636068971,0.9,0.11877763905152369
0.76,baseline,0.015,0.9,5,1.0,1.0,0.6,1.0,-0.11035691992084704,11.236647500211957,0.9,0.11877763905204726
0.76,baseline,0.015,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.76,broad,0.03,0.85,5,0.8,0.8,0.0,0.0,-13.352649535764048,0.0,0.9,0.11661566586369743
0.76,broad,0.03,0.88,5,1.0,1.0,0.0,1.0,-10.134439177507735,9.441445562110797,0.9,0.11776597246939288
0.76,broad,0.03,0.9,5,1.0,1.0,0.6,1.0,0.17064409471751976,11.235738950418202,0.9,0.11776597417917285
0.76,broad,0.03,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.79,narrow,0.0075,0.85,5,0.8,0.8,0.0,0.0,-12.340353519180967,0.0,0.9,0.1352012924059076
0.79,narrow,0.0075,0.88,5,1.0,1.0,0.0,1.0,-9.337243617630966,9.441833672535191,0.9,0.13520594391860222
0.79,narrow,0.0075,0.9,5,1.0,1.0,0.6,1.0,0.9643968956882188,11.236647897940454,0.9,0.13520594391860233
0.79,narrow,0.0075,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.79,baseline,0.015,0.85,5,0.8,0.8,0.0,0.0,-12.147166059987077,0.0,0.9,0.13765918462630722
0.79,baseline,0.015,0.88,5,1.0,1.0,0.0,1.0,-8.946198253854044,9.441795783787452,0.9,0.13810904858340395
0.79,baseline,0.015,0.9,5,1.0,1.0,0.6,1.0,1.2963638721373032,11.23661685374995,0.9,0.13810904860796197
0.79,baseline,0.015,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.79,broad,0.03,0.85,5,0.8,0.8,0.0,0.0,-12.307326041109933,0.0,0.9,0.1337179181287274
0.79,broad,0.03,0.88,5,1.0,1.0,0.0,1.0,-8.612014518984694,9.440001526546732,0.9,0.13702455403509156
0.79,broad,0.03,0.9,5,1.0,1.0,0.6,1.0,1.552058117077417,11.230721244008395,0.9,0.13702456366077453
0.79,broad,0.03,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.82,narrow,0.0075,0.85,5,0.8,0.8,0.0,0.0,-10.843782027840783,0.0,0.9,0.1567749835968167
0.82,narrow,0.0075,0.88,5,1.0,1.0,0.0,1.0,-7.397945704669621,9.441843525753903,0.9,0.15722355488841802
0.82,narrow,0.0075,0.9,5,1.0,1.0,0.8,1.0,2.7130605628505258,11.236640634976078,0.9,0.157223554888697
0.82,narrow,0.0075,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.82,baseline,0.015,0.85,5,0.8,0.8,0.0,0.0,-11.105828661210177,0.0,0.9,0.15278938189871358
0.82,baseline,0.015,0.88,5,1.0,1.0,0.0,1.0,-7.26153710300302,9.441005710635414,0.9,0.15608813568785673
0.82,baseline,0.015,0.9,5,1.0,1.0,0.8,1.0,2.802929267710116,11.235332921289768,0.9,0.156088136656818
0.82,baseline,0.015,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.82,broad,0.03,0.85,5,0.8,0.8,0.0,0.0,-11.513614560884632,0.0,0.9,0.14694452113538561
0.82,broad,0.03,0.88,5,1.0,1.0,0.0,1.0,-7.133928582543369,9.433148451967007,0.9,0.15348694363879808
0.82,broad,0.03,0.9,5,1.0,1.0,0.8,1.0,2.892885477860665,11.200363356929453,0.9,0.15348698896089477
0.82,broad,0.03,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.86,narrow,0.0075,0.85,5,0.8,0.8,0.0,0.0,-10.674476461082072,0.0,0.9,0.16114469419513733
0.86,narrow,0.0075,0.88,5,1.0,1.0,0.0,1.0,-4.740123209361862,9.408775937334752,0.9,0.17803882599164766
0.86,narrow,0.0075,0.9,5,1.0,1.0,1.0,1.0,5.071828402990866,11.187303745906249,0.9,0.17803882944840213
0.86,narrow,0.0075,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.86,baseline,0.015,0.85,5,0.8,0.8,0.0,0.0,-10.712245007118709,0.0,0.9,0.15801628061669246
0.86,baseline,0.015,0.88,5,1.0,1.0,0.0,1.0,-5.082239260760952,9.40104754114782,0.9,0.17483188675437789
0.86,baseline,0.015,0.9,5,1.0,1.0,1.0,1.0,4.760240466789755,11.12750537757801,0.9,0.17483195087353387
0.86,baseline,0.015,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
0.86,broad,0.03,0.85,5,0.8,0.8,0.0,0.0,-10.94745477434802,0.0,0.9,0.15660130850158824
0.86,broad,0.03,0.88,5,1.0,1.0,0.0,1.0,-5.527616367319302,9.392283849683194,0.9,0.16962522167137178
0.86,broad,0.03,0.9,5,1.0,0.8,1.0,1.0,4.353657994070774,10.918226933704723,0.9,0.1696254730187807
0.86,broad,0.03,0.92,5,0.0,0.0,nan,nan,nan,nan,0.9,nan
