condition_id,gate_form,rho0,smoothing_rho_mid,rho0_minus_rho_mid,rho_width_label,smoothing_rho_width,target_density,eligible_target,HR_scored,TS_scored,HR_pct,TS_pct,slow_time_budget_h,fast_time_budget_h,high_time_budget_h,two_step_time_budget_h,slow_reached,slow_time_to_target_h,slow_G_at_target_nm,slow_pore_mean_radius_nm,slow_large_pore_fraction,slow_removable_fine_pore_fraction,slow_f_pore,slow_isolated_pore_fraction,slow_cumulative_redistributed_pore_volume,slow_E_G,fast_reached,fast_time_to_target_h,fast_G_at_target_nm,fast_pore_mean_radius_nm,fast_large_pore_fraction,fast_removable_fine_pore_fraction,fast_f_pore,fast_isolated_pore_fraction,fast_cumulative_redistributed_pore_volume,fast_E_G,high_reached,high_time_to_target_h,high_G_at_target_nm,high_pore_mean_radius_nm,high_large_pore_fraction,high_removable_fine_pore_fraction,high_f_pore,high_isolated_pore_fraction,high_cumulative_redistributed_pore_volume,high_E_G,two_step_reached,two_step_time_to_target_h,two_step_G_at_target_nm,two_step_pore_mean_radius_nm,two_step_large_pore_fraction,two_step_removable_fine_pore_fraction,two_step_f_pore,two_step_isolated_pore_fraction,two_step_cumulative_redistributed_pore_volume,two_step_E_G,HR_crossover_density
logistic_mid0.72_narrow_rho00.65,logistic,0.65,0.72,-0.06999999999999995,narrow,0.0075,0.85,True,True,True,-10.742291324127466,0.0,126.75,9.1875,96.0,96.0,True,108.75991788410114,195.39806318294438,63.59051170052824,0.12689818265347455,0.22565927957612084,0.2992582497362957,0.05854329899081418,0.24424235767196564,0.13780085863515298,True,2.069790689643858,216.38829237175892,52.92235102125356,0.08567037592021827,0.3787936867475706,0.39392191924552034,0.058554714542182314,0.003162792911326939,0.1572579323023316,True,3.329858907388018,191.8438199784766,52.79856977255042,0.08537404480542236,0.3816883645867464,0.359493909621676,0.05854230970331319,6.893257824764349e-07,0.17620287650624808,True,3.329858907388018,191.8438199784766,52.79856977255042,0.08537404480542236,0.3816883645867464,0.359493909621676,0.05854230970331319,6.893257824764349e-07,0.19298494983167042,0.9
logistic_mid0.72_narrow_rho00.65,logistic,0.65,0.72,-0.06999999999999995,narrow,0.0075,0.88,True,True,True,-4.074839518023188,8.999986762506062,126.75,9.1875,96.0,96.0,True,112.61207694052312,290.33981161266604,66.72600287375916,0.15078267190850025,0.20359242004667333,0.3309475538879525,0.24766623638563087,0.24424235767196564,0.04632055790501337,True,2.9647284969236645,302.17069299281303,56.42961418003121,0.10391280379411928,0.330966759622499,0.4069484622682259,0.24767335742950033,0.003162792911326939,0.05447039537669643,True,6.86635431922832,264.8366108701452,56.31161413838933,0.10357149196196143,0.3334447740993964,0.3683545707135098,0.24766468161354507,6.893257824764351e-07,0.05512435078168135,True,19.37780367791798,241.00135094956244,56.308409703132455,0.10356587941064709,0.3335199926143895,0.341716676489568,0.24766381369264237,6.893257824765644e-07,0.06382310171790789,0.9
logistic_mid0.72_narrow_rho00.65,logistic,0.65,0.72,-0.06999999999999995,narrow,0.0075,0.9,True,True,True,4.551227468219996,11.075845294533256,126.75,9.1875,96.0,96.0,True,117.98086361665023,515.4799160854893,69.3637683828329,0.17292425981465853,0.18744020597234554,0.4350063357102866,0.5000000008097322,0.24424235767196564,0.027457872228711676,True,5.733952784331442,492.01925255144914,59.42813942496534,0.12126906981509271,0.2950896726375304,0.4882099281073753,0.5000000019156595,0.003162792911326939,0.03238814080940013,True,17.915329236770923,431.66908864690527,59.31755918800756,0.12089009076199878,0.29716204891667636,0.44536078913713273,0.5000000000314972,6.893257824764351e-07,0.03236461468417287,True,76.10550311550962,383.8580882040524,59.31390091500272,0.1208825766140061,0.2972407186159433,0.4079772405000104,0.5000000000001237,6.893257824765644e-07,0.03275281994972274,0.9
logistic_mid0.72_narrow_rho00.65,logistic,0.65,0.72,-0.06999999999999995,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,85.86272495108396,900.6480620763185,63.12698067735998,0.14540441729109232,0.2576376916408908,0.6006261482263429,0.7523361978811168,6.893257824764351e-07,0.023586958411513308,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.72_narrow_rho00.70,logistic,0.7,0.72,-0.020000000000000018,narrow,0.0075,0.85,True,True,True,-11.384703837447912,0.0,126.75,9.1875,96.0,96.0,True,108.04869959523651,190.4228587713851,60.98835066389593,0.10981133536579939,0.24753119291984657,0.3040929919482857,0.05853741471907812,0.20120474585646075,0.13830458289002792,True,1.948706833537834,212.101937281309,50.62461409028411,0.07480331760029216,0.4135340497842848,0.40170439202402153,0.0585542339767967,0.002593218063965528,0.1536396122791002,True,2.880415911857653,188.65516639033817,50.50256387452355,0.07454555171017375,0.4165659939871086,0.36774297302190173,0.058541346212376895,1.8993072875766068e-07,0.17623552682431395,True,2.880415911857653,188.65516639033817,50.50256387452355,0.07454555171017375,0.4165659939871086,0.36774297302190173,0.058541346212376895,1.8993072875766068e-07,0.18970834588495758,0.9
logistic_mid0.72_narrow_rho00.70,logistic,0.7,0.72,-0.020000000000000018,narrow,0.0075,0.88,True,True,True,-4.631691074462676,9.05857342578814,126.75,9.1875,96.0,96.0,True,112.24738754565655,283.6538064302155,64.05688799293327,0.131048394743711,0.22280930538379362,0.3365444497926605,0.247664237252621,0.20120474585646075,0.04602541643685737,True,2.836950683609445,296.79177446501745,53.98084696830413,0.09096625590318945,0.3637278350997568,0.4161795809160056,0.24767314643378663,0.002593218063965528,0.05457843322703494,True,6.367707230137298,260.11044044867526,53.861913848684104,0.09066705568725617,0.36643187954001544,0.37701396848302543,0.24766472674409856,1.899307287576611e-07,0.055372186343668056,True,18.62116819308435,236.54814521249108,53.858984461447136,0.09066252804913132,0.3665049301274326,0.349752268366164,0.247663826360647,1.899307287578079e-07,0.0642406791903882,0.9
logistic_mid0.72_narrow_rho00.70,logistic,0.7,0.72,-0.020000000000000018,narrow,0.0075,0.9,True,True,True,4.428598574629684,11.138024586565308,126.75,9.1875,96.0,96.0,True,117.79607737271958,504.84122248444595,66.64003574569355,0.1508634583177765,0.204786847612774,0.4422319486048293,0.500000000543079,0.20120474585646075,0.02740137762144069,True,5.573857024002845,482.4838313013567,56.87953626866305,0.1064268171301972,0.3253429914150765,0.49806289507899904,0.49999999852422095,0.002593218063965528,0.03250492720853961,True,17.24718224540192,423.17868587071456,56.76615903759384,0.10609241469425414,0.3276914463021249,0.4547221885104967,0.49999999998515815,1.899307287576611e-07,0.032472757489340816,True,74.23006001719045,376.0449397933304,56.762720582552404,0.10608626681311766,0.3277712220020244,0.41665041658676427,0.499999999999861,1.899307287578079e-07,0.03284732481838664,0.9
logistic_mid0.72_narrow_rho00.70,logistic,0.7,0.72,-0.020000000000000018,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,84.42772773367994,880.7413503067211,60.478683026373204,0.12805878952997185,0.2843939775048311,0.6100147143477744,0.7523361987496724,1.899307287576611e-07,0.023668526778408146,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.72_narrow_rho00.75,logistic,0.75,0.72,0.030000000000000027,narrow,0.0075,0.85,True,True,True,-19.397442894572247,0.0,126.75,9.1875,96.0,96.0,True,106.14844011968222,172.76145656729824,48.12502032926019,0.06371264179374687,0.45373714732105563,0.35568267515914054,0.05853729197398091,0.0032181389445221776,0.17222381294502226,True,1.7970139614549738,206.27276144877115,47.946261739411156,0.06338006850639574,0.45842944808355257,0.4098886597625025,0.05855222862415288,3.2803404826807084e-05,0.14594200351279793,True,2.328325305397538,184.5716116447875,47.94485781195159,0.06337689915115272,0.4584648722916943,0.3762308931518167,0.0585408931917381,2.806497200991287e-11,0.17312557783537114,True,2.328325305397538,184.5716116447875,47.94485781195159,0.06337689915115272,0.4584648722916943,0.3762308931518167,0.0585408931917381,2.806497200991287e-11,0.1850341459612607,nan
logistic_mid0.72_narrow_rho00.75,logistic,0.75,0.72,0.030000000000000027,narrow,0.0075,0.88,True,True,True,-15.872089856115476,9.154187443166961,126.75,9.1875,96.0,96.0,True,111.11485456083697,250.52325181616166,51.273583958482526,0.07766955376597524,0.40300602938207913,0.3805769685637182,0.2476652432863747,0.0032181389445221776,0.04632393492073566,True,2.6803916367280363,290.2865274548853,51.10233749410646,0.07728932473808255,0.40717197518310033,0.42744825569093065,0.24767030062169818,3.2803404826807084e-05,0.0546078116389153,True,5.77066186520728,254.7181952351687,51.09851959269026,0.07728255080484281,0.40726923365107814,0.3869948484904455,0.2476643207198072,2.8064972010478923e-11,0.0555710185729007,True,17.790085166945214,231.4008141914894,51.095939701286014,0.07727907549858673,0.40733748886265203,0.3589306505616588,0.24766385757050938,2.806497217769528e-11,0.06449608122094168,nan
