condition_id,gate_form,rho0,smoothing_rho_mid,rho0_minus_rho_mid,rho_width_label,smoothing_rho_width,target_density,eligible_target,HR_scored,TS_scored,HR_pct,TS_pct,slow_time_budget_h,fast_time_budget_h,high_time_budget_h,two_step_time_budget_h,slow_reached,slow_time_to_target_h,slow_G_at_target_nm,slow_pore_mean_radius_nm,slow_large_pore_fraction,slow_removable_fine_pore_fraction,slow_f_pore,slow_isolated_pore_fraction,slow_cumulative_redistributed_pore_volume,slow_E_G,fast_reached,fast_time_to_target_h,fast_G_at_target_nm,fast_pore_mean_radius_nm,fast_large_pore_fraction,fast_removable_fine_pore_fraction,fast_f_pore,fast_isolated_pore_fraction,fast_cumulative_redistributed_pore_volume,fast_E_G,high_reached,high_time_to_target_h,high_G_at_target_nm,high_pore_mean_radius_nm,high_large_pore_fraction,high_removable_fine_pore_fraction,high_f_pore,high_isolated_pore_fraction,high_cumulative_redistributed_pore_volume,high_E_G,two_step_reached,two_step_time_to_target_h,two_step_G_at_target_nm,two_step_pore_mean_radius_nm,two_step_large_pore_fraction,two_step_removable_fine_pore_fraction,two_step_f_pore,two_step_isolated_pore_fraction,two_step_cumulative_redistributed_pore_volume,two_step_E_G,HR_crossover_density
logistic_mid0.72_broad_rho00.65,logistic,0.65,0.72,-0.06999999999999995,broad,0.03,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,85.90821503011917,900.6480345024988,63.126976008962444,0.14540439929999552,0.2576377711804571,0.6006261826368695,0.7523361976641812,5.240212667657925e-07,0.02358696207615579,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.72_broad_rho00.70,logistic,0.7,0.72,-0.020000000000000018,broad,0.03,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,84.4774816864103,880.741386337688,60.47868422312895,0.12805879673782558,0.28439396621249463,0.6100147219306281,0.7523361988393293,1.9808776154883749e-07,0.02366853096933894,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.72_broad_rho00.75,logistic,0.75,0.72,0.030000000000000027,broad,0.03,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,82.8234924765036,857.6155583170987,57.43010446898306,0.10984136152638994,0.3194725653432981,0.6212515438965124,0.7523361986094885,3.814334755993218e-08,0.023780531831162827,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.72_broad_rho00.80,logistic,0.8,0.72,0.08000000000000007,broad,0.03,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,80.87250451772154,830.5495285504926,53.85495631162218,0.09065632998481848,0.36660549076397575,0.6349005415707677,0.7523361981265159,1.1244120949116107e-08,0.02394004485108761,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.72_broad_rho00.85,logistic,0.85,0.72,0.13,broad,0.03,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,78.39614913889594,798.712580155062,49.56888643493809,0.07038852323121876,0.4315798278545545,0.6516959559177259,0.7523361984912974,1.0071921559391779e-08,0.024168805715547262,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.76_narrow_rho00.65,logistic,0.65,0.76,-0.10999999999999999,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,85.86480495789056,900.6483264550104,63.12700597792129,0.1454045329897745,0.25763732547590834,0.6006260328176076,0.7523361978817616,1.265662852886767e-06,0.023586958717366508,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.76_narrow_rho00.70,logistic,0.7,0.76,-0.06000000000000005,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,84.42987235662054,880.7416537285978,60.47871061911086,0.12805889524606534,0.28439350260533075,0.6100145785464473,0.752336198748275,8.094776052569564e-07,0.0236685270357305,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.76_narrow_rho00.75,logistic,0.75,0.76,-0.010000000000000009,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,82.7698522776059,857.6155815520764,57.43010870841423,0.10984137263708177,0.3194724719033498,0.6212515073154169,0.752336198283334,1.266701974132411e-07,0.023780527107078127,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.76_narrow_rho00.80,logistic,0.8,0.76,0.040000000000000036,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,80.81266658397138,830.549491813653,53.85495538710812,0.09065632592694546,0.366605504439885,0.6349005309861103,0.7523361975923539,3.948364265221148e-12,0.023940039518905783,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.76_narrow_rho00.85,logistic,0.85,0.76,0.08999999999999997,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,78.32947194731398,798.712540701229,49.568885297114086,0.07038851990392866,0.431579851455522,0.6516959453535379,0.7523361974738701,3.7291146854367474e-17,0.0241687996426605,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.76_baseline_rho00.65,logistic,0.65,0.76,-0.10999999999999999,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,85.86610882482208,900.6482838020113,63.12700194800074,0.1454045149002502,0.2576373851247557,0.6006260516708206,0.7523361979408287,1.1665346797156375e-06,0.023586958745751,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.76_baseline_rho00.70,logistic,0.7,0.76,-0.06000000000000005,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,84.43128768391611,880.7416076245667,60.47870636336966,0.1280588792960659,0.28439357745842375,0.6100146001253497,0.7523361986324771,7.072190901742377e-07,0.023668527086589848,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.76_baseline_rho00.75,logistic,0.75,0.76,-0.010000000000000009,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,82.77160633300676,857.6155911022315,57.4301096040345,0.10984137568088197,0.31947245507995314,0.6212515030934216,0.7523361983927513,1.4098749670030084e-07,0.023780527212319793,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.76_baseline_rho00.80,logistic,0.8,0.76,0.040000000000000036,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,80.81424782104371,830.5494926296343,53.85495542506513,0.0906563260955361,0.3666055037484045,0.6349005311504818,0.752336197645649,1.5412188946538496e-09,0.023940039650690102,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.76_baseline_rho00.85,logistic,0.85,0.76,0.08999999999999997,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,78.33104081778036,798.7125408904471,49.56888525701043,0.07038851985430254,0.4315798525492721,0.6516959459780731,0.7523361975148428,2.156461261597011e-11,0.02416879979764562,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.76_broad_rho00.65,logistic,0.65,0.76,-0.10999999999999999,broad,0.03,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,86.03503237465642,900.6483949784285,63.12700920434216,0.1454045674956878,0.2576373406687335,0.6006260594436401,0.7523361982495748,1.092413609828629e-06,0.02358696872003628,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.76_broad_rho00.70,logistic,0.7,0.76,-0.06000000000000005,broad,0.03,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,84.6151449752173,880.7417632418125,60.47871679617668,0.12805893986587652,0.28439347635814116,0.6100145947846622,0.7523361977500429,6.946784605242896e-07,0.023668537790428722,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.76_broad_rho00.75,logistic,0.75,0.76,-0.010000000000000009,broad,0.03,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,82.97400232216322,857.6158479565573,57.430129301170744,0.10984145755921293,0.31947215060801887,0.6212514489033268,0.7523361984933159,3.0978729539962634e-07,0.02378053864759813,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.76_broad_rho00.80,logistic,0.8,0.76,0.040000000000000036,broad,0.03,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,81.03856318141546,830.5497557194211,53.85497556229753,0.09065639423344493,0.36660513437644987,0.6349004714752803,0.7523361981567241,1.5108894399959302e-07,0.02394005171032991,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.76_broad_rho00.85,logistic,0.85,0.76,0.08999999999999997,broad,0.03,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,78.58130121681988,798.7128265426476,49.56890713435191,0.07038857501660772,0.43157936433783156,0.6516958731880247,0.7523361975377733,1.4305129151067907e-07,0.02416881229490704,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.79_narrow_rho00.65,logistic,0.65,0.79,-0.14,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,85.86715971318498,900.6486348026297,63.12703630718341,0.1454046747053414,0.25763690184325966,0.6006258971551853,0.7523361978828139,1.826727062633931e-06,0.023586958892603118,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.79_narrow_rho00.70,logistic,0.7,0.79,-0.09000000000000008,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,84.4323250415793,880.7420099220467,60.47874397773352,0.12805902669310176,0.28439294966149514,0.6100144180019174,0.752336198746022,1.4270284861444812e-06,0.023668527142794996,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.79_narrow_rho00.75,logistic,0.75,0.79,-0.040000000000000036,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,82.77233067407633,857.6159734139902,57.43014398672568,0.10984148484389847,0.3194717743987287,0.6212513244379385,0.7523361982853023,7.598368664470537e-07,0.023780526910699405,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.79_narrow_rho00.80,logistic,0.8,0.79,0.010000000000000009,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,80.81295032560702,830.5494982701462,53.854955972095944,0.09065632741471882,0.3666054911374474,0.6349005278194605,0.7523361975926073,8.551362426618483e-09,0.0239400395049568,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.79_narrow_rho00.85,logistic,0.85,0.79,0.05999999999999994,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,78.32947893015927,798.7125406770458,49.56888529485377,0.07038851990110685,0.43157985151711736,0.6516959453674656,0.7523361974740236,1.1111609811336683e-13,0.024168799643099283,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.79_baseline_rho00.65,logistic,0.65,0.79,-0.14,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,85.87548872676906,900.6485738332983,63.12703051459501,0.14540464920292115,0.25763698753023706,0.6006259255864016,0.7523361984329716,1.7097659893916556e-06,0.023586959483307197,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.79_baseline_rho00.70,logistic,0.7,0.79,-0.09000000000000008,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,84.44135665991733,880.741949533822,60.47873764920395,0.12805900334930206,0.2843930602727265,0.6100144519904729,0.7523361980267302,1.2996554402465825e-06,0.023668527840593673,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.79_baseline_rho00.75,logistic,0.75,0.79,-0.040000000000000036,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,82.78225581903732,857.6159110151268,57.430138244265045,0.10984146791368447,0.3194718934610721,0.6212513574085591,0.7523361985133163,6.498315181096316e-07,0.023780527759879738,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.79_baseline_rho00.80,logistic,0.8,0.79,0.010000000000000009,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,80.8241835868932,830.549530122553,53.85495875177427,0.09065633511115889,0.3666054299888908,0.6349005154921845,0.7523361981959332,5.351766412139683e-08,0.023940040397624873,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
