mode_id,ablation,parent_window_present,ablation_interpretable,ablation_result,reason_not_interpretable
resolved_default,no_PR_memory,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
resolved_default,no_closed_transition,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
resolved_default,no_closed_shrinkage,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
resolved_default,infinite_accommodation,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
resolved_default,no_handoff_coupling,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
resolved_default,no_migration_suppression,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
diagnostic_open_recovery,no_PR_memory,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
diagnostic_open_recovery,no_closed_transition,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
diagnostic_open_recovery,no_closed_shrinkage,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
diagnostic_open_recovery,infinite_accommodation,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
diagnostic_open_recovery,no_handoff_coupling,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
diagnostic_open_recovery,no_migration_suppression,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_3x,no_PR_memory,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_3x,no_closed_transition,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_3x,no_closed_shrinkage,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_3x,infinite_accommodation,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_3x,no_handoff_coupling,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_3x,no_migration_suppression,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_10x,no_PR_memory,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_10x,no_closed_transition,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_10x,no_closed_shrinkage,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_10x,infinite_accommodation,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_10x,no_handoff_coupling,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_10x,no_migration_suppression,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_30x,no_PR_memory,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_30x,no_closed_transition,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_30x,no_closed_shrinkage,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_30x,infinite_accommodation,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_30x,no_handoff_coupling,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_30x,no_migration_suppression,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_100x,no_PR_memory,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_100x,no_closed_transition,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_100x,no_closed_shrinkage,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_100x,infinite_accommodation,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_100x,no_handoff_coupling,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_rate_100x,no_migration_suppression,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_3x,no_PR_memory,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
closed_inventory_3x,no_closed_transition,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
