mode_id,path,T2_C,Delta_rho_open,Delta_rho_closed,Delta_rho_total,cumulative_closure,cumulative_PR
resolved_default,low_T2,900,0.15200179086929017,0.0005744797804833893,0.15257627064977355,0.033540619425764334,0.00023049180431980644
resolved_default,near_best,1200,0.2537277653946994,0.035629991011977544,0.2893577564066769,0.06016049537879457,0.00048427163971458646
resolved_default,high_T2,1300,0.26390371600807155,0.05346761796777231,0.31737133397584394,0.05651099404937179,0.0009144203397010643
diagnostic_open_recovery,low_T2,900,0.17274214442985708,0.0003145814457698362,0.17305672587562693,0.025130709879745926,0.00016842614368002903
diagnostic_open_recovery,near_best,1200,0.33533974570980407,0.0018881249374048824,0.33722787064720894,0.008693054145176248,0.0002009296221002394
diagnostic_open_recovery,high_T2,1300,0.2850277136658757,0.0014879333790333064,0.28651564704490906,0.0019235722487673129,0.00020117261063790816
closed_rate_3x,low_T2,900,0.15199985025987295,0.001604886174935896,0.15360473643480888,0.033747402184690335,0.00023049178831590237
closed_rate_3x,near_best,1200,0.2522254832899283,0.04929081780925987,0.3015163010991882,0.06127921185229416,0.00048656939679598936
closed_rate_3x,high_T2,1300,0.26234800310926604,0.05722617858862939,0.31957418169789537,0.05776207975194166,0.0009081911958204112
closed_rate_10x,low_T2,900,0.15199413653720084,0.004397956833430549,0.1563920933706313,0.034352976078774224,0.00023049173920806904
closed_rate_10x,near_best,1200,0.2502910019741029,0.059334829503369976,0.30962583147747286,0.06267718305845672,0.0004883656341147511
closed_rate_10x,high_T2,1300,0.2605751659656565,0.06432225981962403,0.3248974257852805,0.05916501908917202,0.0008983660660824856
closed_rate_30x,low_T2,900,0.1519827122178543,0.009279977545169144,0.16126268976302352,0.03555237777211864,0.00023049163298753626
closed_rate_30x,near_best,1200,0.248477001760914,0.06441273532836472,0.31288973708927875,0.06393534137792935,0.00048757559913117384
closed_rate_30x,high_T2,1300,0.2593176735536618,0.10777096330247687,0.36708863685613874,0.0601596101760814,0.0008885086162792834
closed_rate_100x,low_T2,900,0.15196129615060103,0.017098637057128628,0.1690599332077296,0.03777247780727934,0.00023049140549077045
closed_rate_100x,near_best,1200,0.24679076560301239,0.08745431468193333,0.3342450802849457,0.06510458592620384,0.0004859929273376936
closed_rate_100x,high_T2,1300,0.25845733372617524,0.28582841610736326,0.5442857498335385,0.060835229825540287,0.0008791875931783016
closed_inventory_3x,low_T2,900,0.15190725919528444,0.001522989631856685,0.15343024882714115,0.08508226678428595,0.00023051686619490985
closed_inventory_3x,near_best,1200,0.24106297064465002,0.04605152307089777,0.28711449371554776,0.08750954383459889,0.0004162917765839128
closed_inventory_3x,high_T2,1300,0.2557890437092631,0.06513055539816143,0.32091959910742446,0.06897934979824898,0.000917907275057683
closed_inventory_10x,low_T2,900,0.15175277661471948,0.003470927140023415,0.15522370375474281,0.16915177678771187,0.00023061731080171384
closed_inventory_10x,near_best,1200,0.22501128743418444,0.05151238018919229,0.27652366762337677,0.10630535475902222,0.00034788634959811787
closed_inventory_10x,high_T2,1300,0.24406400134913198,0.07686761306097886,0.32093161441011087,0.08272353863162163,0.0007728428821961452
closed_inventory_30x,low_T2,900,0.1518708592606926,0.0049164753402451185,0.1567873346009377,0.19870756538063117,0.00023094619567604725
closed_inventory_30x,near_best,1200,0.20817189399253516,0.05802260847737856,0.2661945024699138,0.12504592410343954,0.000302144158666035
closed_inventory_30x,high_T2,1300,0.23120115690967954,0.09027502242609037,0.32147617933577,0.09803814101089424,0.0006220759226674662
balanced_handoff,low_T2,900,0.15177487186638164,0.0009832494363969282,0.1527581213027786,0.033576682592969156,0.00023049190255576912
balanced_handoff,near_best,1200,0.24818644913697505,0.05051975850406625,0.2987062076410413,0.06360348716115025,0.0004997804815951587
balanced_handoff,high_T2,1300,0.2586071335800196,0.06103317075391634,0.3196403043339359,0.06099205095799656,0.0009142171719406351
candidate_state_injection_diagnostic,low_T2,900,0.15132186954004168,0.006375080255092718,0.1576969497951344,0.05889201087456094,0.00023044432961831819
candidate_state_injection_diagnostic,near_best,1200,0.1843509854798078,0.06827892219561552,0.2526299076754233,0.024364760190510006,0.0002521604632590843
candidate_state_injection_diagnostic,high_T2,1300,0.18445223173807998,0.13024060555863362,0.3146928372967136,0.01368189381502888,0.00031629157051059293
