mode_id,rate_C_min,final_rho,final_G_um,final_D50_m,final_D90_m,final_fine_pore_fraction,open_eligibility_collapse_T_C,closed_shrinkage_onset_T_C,forward_prediction_eligible,matched_smaller_grain_fraction,matched_smaller_D90_fraction
resolved_default,5,0.9370101360405385,0.9379048593667857,5.0778263157337946e-08,7.977973951750052e-08,0.2522996189057438,1452.950428329993,1284.5886190368237,True,,
resolved_default,50,0.9005037465317097,0.25847102380067877,5.0778263157337946e-08,7.977973951750052e-08,0.4552425823598175,,1463.645884967751,True,0.94,0.14
diagnostic_open_recovery,5,0.9974948725728524,1.0366040610671858,1.0000000000000001e-07,1.0000000000000001e-07,1.747311127149182e-31,,1307.1558857149716,True,,
diagnostic_open_recovery,50,0.9718132794794134,0.27438896575295124,6.364806837480235e-08,1.0000000000000001e-07,0.026840688338342914,,1499.326887330033,True,0.76,0.12
closed_rate_3x,5,0.937208267074871,0.938758730529854,5.0778263157337946e-08,7.977973951750052e-08,0.25251637928323795,1452.8894859292295,1263.7882169842142,True,,
closed_rate_3x,50,0.9005037719683315,0.2584710888270083,5.0778263157337946e-08,7.977973951750052e-08,0.45524260300067115,,1463.6458793640022,True,0.94,0.14
closed_rate_10x,5,0.9376254911554144,0.940709863310196,5.0778263157337946e-08,7.977973951750052e-08,0.2530489633442439,1452.714040094334,1242.8796838005155,True,,
closed_rate_10x,50,0.9005038607351181,0.2584713159986891,5.0778263157337946e-08,7.977973951750052e-08,0.4552426751026651,,1413.3812753612406,True,0.94,0.14
closed_rate_30x,5,0.938155463411551,0.9434804808151469,5.0778263157337946e-08,7.977973951750052e-08,0.2539075837523737,1452.363247042114,1221.1942509412988,True,,
closed_rate_30x,50,0.9005041121912769,0.2584719615491562,5.0778263157337946e-08,7.977973951750052e-08,0.45524288005405467,,1413.3812699478726,True,0.94,0.14
closed_rate_100x,5,0.9387108880831616,0.9467509042235996,5.0778263157337946e-08,7.977973951750052e-08,0.2551870662136982,1452.7640462676568,1199.7631310051738,True,,
closed_rate_100x,50,0.9005049702522918,0.2584741839044069,5.0778263157337946e-08,7.977973951750052e-08,0.45524358617652816,,1362.1487334441053,True,0.94,0.12
closed_inventory_3x,5,0.9360545622136307,0.9333560345992065,5.0778263157337946e-08,7.977973951750052e-08,0.2464308026218865,1455.194106468672,1263.9567034013326,True,,
closed_inventory_3x,50,0.9004466706955184,0.2562901750130224,5.0778263157337946e-08,7.977973951750052e-08,0.45495492028156,,1464.1314848145735,True,0.88,0.14
closed_inventory_10x,5,0.9326584218832743,0.7160906826676788,5.0778263157337946e-08,7.977973951750052e-08,0.22344666768665228,1461.0966860885314,1243.1506586505616,True,,
closed_inventory_10x,50,0.9002417291631556,0.24927623423281633,5.0778263157337946e-08,7.977973951750052e-08,0.4539704537754887,,1412.8034894742723,True,0.8,0.12
closed_inventory_30x,5,0.9221737415623168,0.5244078886502025,6.364806837480235e-08,7.977973951750052e-08,0.18277697266561427,,1221.4487061040586,True,,
closed_inventory_30x,50,0.8996219277212936,0.2332575606787951,5.0778263157337946e-08,7.977973951750052e-08,0.45131444003573046,,1412.9782564804982,True,0.72,0.12
balanced_handoff,5,0.9369989207097363,0.9373526799470752,5.0778263157337946e-08,7.977973951750052e-08,0.2528597295734051,1452.9500562192688,1284.5886187017186,True,,
balanced_handoff,50,0.9005037388817945,0.25847102509848435,5.0778263157337946e-08,7.977973951750052e-08,0.45524261805364746,,1463.6458849001533,True,0.94,0.14
candidate_state_injection_diagnostic,5,0.9370101360405385,0.9379048593667857,5.0778263157337946e-08,7.977973951750052e-08,0.2522996189057438,1452.950428329993,1284.5886190368237,False,,
candidate_state_injection_diagnostic,50,0.9005037465317097,0.25847102380067877,5.0778263157337946e-08,7.977973951750052e-08,0.4552425823598175,,1463.645884967751,False,0.94,0.14
