mode_id,rate_C_min,Delta_rho_open,Delta_rho_closed,Delta_rho_total,state_density_gain
resolved_default,5,0.2731139720610092,0.00015307782590649283,0.2732670498869158,0.2769914454415139
resolved_default,50,0.2341179792075369,1.7551442397795724e-08,0.2341179967589793,0.24049440123219734
diagnostic_open_recovery,5,0.33308474822944195,1.5579802505818327e-05,0.3331003280319478,0.33747255034004586
diagnostic_open_recovery,50,0.3033500314261406,4.605256935990471e-09,0.30335003603139754,0.3118021183630101
closed_rate_3x,5,0.2730833677283644,0.0003800898427534444,0.27346345757111784,0.2771895764758464
closed_rate_3x,50,0.23411797437133716,5.2614128536850215e-08,0.23411802698546574,0.24049442666881915
closed_rate_10x,5,0.27300789338341747,0.0008700054686880635,0.2738778988521056,0.27760680055638975
closed_rate_10x,50,0.234117957454375,1.7492020523156722e-07,0.23411813237458026,0.24049451543560574
closed_rate_30x,5,0.2728854971922372,0.0015206285096034384,0.2744061257018407,0.27813677281252636
closed_rate_30x,50,0.2341179093783863,5.210198727234181e-07,0.23411843039825903,0.24049476689176452
closed_rate_100x,5,0.272703458200345,0.002259209641570416,0.2749626678419154,0.278692197484137
closed_rate_100x,50,0.23411774419083473,1.6989871806860076e-06,0.23411944317801542,0.24049562495277943
closed_inventory_3x,5,0.27191603951595017,0.0004125132306406376,0.2723285527465909,0.2760358716146061
closed_inventory_3x,50,0.23407732247686958,5.157042983526668e-08,0.23407737404729942,0.24043732539600604
closed_inventory_10x,5,0.2681805660144807,0.000806769368419492,0.2689873353829002,0.2726397312842497
closed_inventory_10x,50,0.23381690500743638,1.657818737228889e-07,0.23381707078931008,0.2402323838636432
closed_inventory_30x,5,0.25758875219357164,0.0010628406177417503,0.25865159281131345,0.26215505096329217
closed_inventory_30x,50,0.23319131221195846,4.3101178066925385e-07,0.23319174322373915,0.23961258242178118
balanced_handoff,5,0.27303352236219175,0.00022221903522160524,0.27325574139741343,0.2769802301107117
balanced_handoff,50,0.23411796944647445,1.8508352426963834e-08,0.23411798795482686,0.24049439358228208
candidate_state_injection_diagnostic,5,0.2731139720610092,0.00015307782590649283,0.2732670498869158,0.2769914454415139
candidate_state_injection_diagnostic,50,0.2341179792075369,1.7551442397795724e-08,0.2341179967589793,0.24049440123219734
