mode_id,open_closed_handoff_mode,forward_prediction_eligible,T1_C,T2_C,switch_density,hold_h,classification,first_step_attained,rho1,G1_um,final_rho,final_G_um,density_ok,grain_ok,strict_success,closed_fraction_at_switch,A_closed_at_switch,PR_memory_at_switch,map_resolution_C
resolved_default,resolved_default,True,1250,900,0.75,20,FIRST_STEP_UNATTAINABLE,False,0.7519083884415483,0.06448530942952262,0.7519083884415483,0.06448530942952262,False,True,False,0.005148549792428029,0.6873688985064571,0.07715532163512344,25
resolved_default,resolved_default,True,1250,900,0.75,40,FIRST_STEP_UNATTAINABLE,False,0.7529171515215247,0.06474846717563826,0.7529171515215247,0.06474846717563826,False,True,False,0.009942026170529637,0.8960013696167117,0.07446275294505622,25
resolved_default,resolved_default,True,1250,925,0.75,20,FIRST_STEP_UNATTAINABLE,False,0.7532663347821628,0.06489074197014047,0.7532663347821628,0.06489074197014047,False,True,False,0.00521503052614641,0.6875298364159357,0.07724238701975583,25
resolved_default,resolved_default,True,1250,925,0.75,40,FIRST_STEP_UNATTAINABLE,False,0.7555890758376522,0.06551621056291322,0.7555890758376522,0.06551621056291322,False,True,False,0.010180051571046215,0.8960541436918426,0.0746271374169257,25
resolved_default,resolved_default,True,1250,950,0.75,20,FIRST_STEP_UNATTAINABLE,False,0.7564375267726287,0.06579792903595252,0.7564375267726287,0.06579792903595252,False,True,False,0.005392747376503876,0.6880956825108125,0.07750054471398203,25
resolved_default,resolved_default,True,1250,950,0.75,40,FIRST_STEP_UNATTAINABLE,False,0.7616285804047502,0.06721169551543617,0.7616285804047502,0.06721169551543617,False,True,False,0.010841428448005383,0.89652199811341,0.07509599745757714,25
resolved_default,resolved_default,True,1250,975,0.75,20,FIRST_STEP_UNATTAINABLE,False,0.7633599006168041,0.06773685661060455,0.7633599006168041,0.06773685661060455,False,True,False,0.005837821331652006,0.6897491142298237,0.07819606917491788,25
resolved_default,resolved_default,True,1250,975,0.75,40,FIRST_STEP_UNATTAINABLE,False,0.7740372605756433,0.07073219992327488,0.7740372605756433,0.07073219992327488,False,True,False,0.012529364333022265,0.8980310015146281,0.07626258730370351,25
resolved_default,resolved_default,True,1250,1000,0.75,20,FIRST_STEP_UNATTAINABLE,False,0.7769937458986143,0.07165254106468696,0.7769937458986143,0.07165254106468696,False,True,False,0.006915343418516216,0.693906795016602,0.07982821877758658,25
resolved_default,resolved_default,True,1250,1000,0.75,40,FIRST_STEP_UNATTAINABLE,False,0.7957156802360164,0.07743676462421481,0.7957156802360164,0.07743676462421481,False,True,False,0.016529254413677415,0.9014972352993753,0.07865245772093479,25
resolved_default,resolved_default,True,1250,1025,0.75,20,DENSIFICATION_EXHAUSTION_FAILURE,True,0.7996910052499369,0.07897922924818643,0.7996910052499369,0.07897922924818643,False,True,False,0.009389268268274284,0.7026696223354736,0.08299623043654204,25
resolved_default,resolved_default,True,1250,1025,0.75,40,DENSIFICATION_EXHAUSTION_FAILURE,True,0.8249548974655241,0.08878928629145319,0.8249548974655241,0.08878928629145319,False,True,False,0.0242674022027267,0.9074403506448329,0.08257143894914153,25
resolved_default,resolved_default,True,1250,1050,0.75,20,DENSIFICATION_EXHAUSTION_FAILURE,True,0.8287949683159881,0.09136987648775959,0.8287949683159881,0.09136987648775959,False,True,False,0.014070155101857468,0.7173729391583314,0.0880044854832319,25
resolved_default,resolved_default,True,1250,1050,0.75,40,DENSIFICATION_EXHAUSTION_FAILURE,True,0.8540422324443347,0.10599330909651267,0.8540422324443347,0.10599330909651267,False,True,False,0.033776794306503974,0.9153338785437966,0.08803068548620613,25
resolved_default,resolved_default,True,1250,1075,0.75,20,DENSIFICATION_EXHAUSTION_FAILURE,True,0.8562591344351527,0.11029017994872714,0.8562591344351527,0.11029017994872714,False,True,False,0.01991931235012125,0.7373508140773876,0.09490512941887365,25
resolved_default,resolved_default,True,1250,1075,0.75,40,DENSIFICATION_EXHAUSTION_FAILURE,True,0.8767781399600555,0.13080360586605394,0.8767781399600555,0.13080360586605394,False,True,False,0.04044163030048752,0.9246648070894228,0.09534441531273612,25
resolved_default,resolved_default,True,1250,1100,0.75,20,DENSIFICATION_EXHAUSTION_FAILURE,True,0.8761179782487458,0.13763222510144535,0.8761179782487458,0.13763222510144535,False,True,False,0.024612590772245913,0.7635474618191449,0.10448215343423696,25
resolved_default,resolved_default,True,1250,1100,0.75,40,DENSIFICATION_EXHAUSTION_FAILURE,True,0.8941057457290806,0.16663136129743691,0.8941057457290806,0.16663136129743691,False,True,False,0.04307188616622185,0.9346549618334639,0.10578219662826747,25
resolved_default,resolved_default,True,1250,1125,0.75,20,DENSIFICATION_EXHAUSTION_FAILURE,True,0.8916872183325084,0.17686618997297737,0.8916872183325084,0.17686618997297737,False,True,False,0.027579468832373413,0.796067373021203,0.11841708963799559,25
resolved_default,resolved_default,True,1250,1125,0.75,40,DENSIFICATION_EXHAUSTION_FAILURE,True,0.9097561120274207,0.21846224223742453,0.9097561120274207,0.21846224223742453,False,True,False,0.042428022346588656,0.94380596736179,0.12089653923056222,25
resolved_default,resolved_default,True,1250,1150,0.75,20,DENSIFICATION_EXHAUSTION_FAILURE,True,0.9053255495088823,0.23249767861015708,0.9053255495088823,0.23249767861015708,False,True,False,0.029096285535044706,0.8332896330041275,0.13847317952833837,25
resolved_default,resolved_default,True,1250,1150,0.75,40,MIXED_FAILURE,True,0.925340890851917,0.2928762652223295,0.925340890851917,0.2928762652223295,False,False,False,0.03893208769117105,0.9507947028314044,0.14216766326351715,25
resolved_default,resolved_default,True,1250,1175,0.75,20,MIXED_FAILURE,True,0.9183021453089333,0.31052041262213526,0.9183021453089333,0.31052041262213526,False,False,False,0.029093207029336387,0.8707136051532396,0.16633130939882598,25
resolved_default,resolved_default,True,1250,1175,0.75,40,MIXED_FAILURE,True,0.9415311135569812,0.39958032877122146,0.9415311135569812,0.39958032877122146,False,False,False,0.03271669086833108,0.9556938148444978,0.17073099316573018,25
resolved_default,resolved_default,True,1250,1200,0.75,20,MIXED_FAILURE,True,0.9314797236439065,0.41956938839027563,0.9314797236439065,0.41956938839027563,False,False,False,0.02720290898644023,0.902643166262402,0.20301892023407772,25
resolved_default,resolved_default,True,1250,1200,0.75,40,MIXED_FAILURE,True,0.9578825206126922,0.5537941194939522,0.9578825206126922,0.5537941194939522,False,False,False,0.02442163578169068,0.9608161627313984,0.20652351157423168,25
resolved_default,resolved_default,True,1250,1225,0.75,20,MIXED_FAILURE,True,0.9451319046060989,0.5728618268366864,0.9451319046060989,0.5728618268366864,False,False,False,0.023222906660352288,0.9258144269696035,0.24750522158625518,25
resolved_default,resolved_default,True,1250,1225,0.75,40,MIXED_FAILURE,True,0.9721516292010145,0.7769077411670171,0.9721516292010145,0.7769077411670171,False,False,False,0.016157060030344235,0.9690584816626443,0.24671768445581038,25
resolved_default,resolved_default,True,1250,900,0.8,20,FIRST_STEP_UNATTAINABLE,False,0.8019725992152227,0.07699342947975744,0.8019725992152227,0.07699342947975744,False,True,False,0.018119050454940062,0.7920756847177259,0.10402150616232876,25
resolved_default,resolved_default,True,1250,900,0.8,40,FIRST_STEP_UNATTAINABLE,False,0.8028113999214919,0.07714598574537981,0.8028113999214919,0.07714598574537981,False,True,False,0.03380552885472173,0.9521917613573535,0.10035344318163979,25
resolved_default,resolved_default,True,1250,925,0.8,20,FIRST_STEP_UNATTAINABLE,False,0.8026634293213679,0.07728353271717946,0.8026634293213679,0.07728353271717946,False,True,False,0.018177216436448075,0.7919913601907944,0.10405120630302672,25
resolved_default,resolved_default,True,1250,925,0.8,40,FIRST_STEP_UNATTAINABLE,False,0.8042203423694071,0.07764798904557406,0.8042203423694071,0.07764798904557406,False,True,False,0.03396707253827742,0.9517669330327896,0.10040837488823469,25
resolved_default,resolved_default,True,1250,950,0.8,20,FIRST_STEP_UNATTAINABLE,False,0.8042500963492579,0.07793575079139757,0.8042500963492579,0.07793575079139757,False,True,False,0.01835435786212049,0.7919653478930676,0.1041409157072962,25
resolved_default,resolved_default,True,1250,950,0.8,40,FIRST_STEP_UNATTAINABLE,False,0.8072794610750292,0.07876692773543474,0.8072794610750292,0.07876692773543474,False,True,False,0.03450818887903013,0.951276093714802,0.10057073739588351,25
resolved_default,resolved_default,True,1250,975,0.8,20,FIRST_STEP_UNATTAINABLE,False,0.807710301815401,0.07934093906958319,0.807710301815401,0.07934093906958319,False,True,False,0.018800385907903675,0.7921520897344151,0.10439271787164997,25
