mode_id,path,T2_C,final_rho,final_G_um,density_ok,grain_ok,classification,final_phi_open,final_phi_precursor,final_phi_closed,final_A_closed,final_PR_memory
resolved_default,low_T2,900,0.8021313211677201,0.07708504218109172,False,True,FIRST_STEP_UNATTAINABLE,0.15899953530783986,0.005872669758917475,0.032996473765522547,0.9482623904488892,0.09765123881808525
resolved_default,near_best,1200,0.9584097558991784,0.554591568176112,False,False,MIXED_FAILURE,0.013933670605223878,0.0033193422763721503,0.024337231219225534,0.9613995567514422,0.20791412378819743
resolved_default,high_T2,1300,0.9930301545974055,2.283958056041924,True,False,GRAIN_GROWTH_FAILURE,0.002709105851842691,0.0013941680589260423,0.0028665714918257356,0.9891870389998885,0.34409811896521053
diagnostic_open_recovery,low_T2,900,0.8033298707358008,0.07058769522615438,False,True,FIRST_STEP_UNATTAINABLE,0.1673209335116099,0.004516981291232445,0.024832214461356947,0.8824936647366414,0.07026076374758625
diagnostic_open_recovery,near_best,1200,0.9914716242659841,0.47453393239288755,True,False,GRAIN_GROWTH_FAILURE,0.0008539101437144874,0.0009229534474716492,0.006751512142829754,0.9341487432111516,0.0913102795863186
diagnostic_open_recovery,high_T2,1300,0.9994052094489084,1.79616307532364,True,False,GRAIN_GROWTH_FAILURE,3.162286429089481e-07,0.0001577077262065978,0.0004367665962420631,0.9708946186490108,0.11771215859850619
closed_rate_3x,low_T2,900,0.8031641185889066,0.07708617901782529,False,True,FIRST_STEP_UNATTAINABLE,0.1587839130493392,0.00588218419418666,0.03216978416756751,0.9457599814068398,0.09765123139885475
closed_rate_3x,near_best,1200,0.9705576131558152,0.6004803605128873,False,False,MIXED_FAILURE,0.014325773521932313,0.003305440384150514,0.011811172938101883,0.9571363415008768,0.20878654510138392
closed_rate_3x,high_T2,1300,0.9951417626585998,2.951621237343771,True,False,GRAIN_GROWTH_FAILURE,0.002940628037269123,0.001428044483253346,0.0004895648208777773,0.9914262747205064,0.3423087335586374
closed_rate_10x,low_T2,900,0.8059618737746382,0.07708957872951115,False,True,FIRST_STEP_UNATTAINABLE,0.15815420263939595,0.0059085424656431535,0.029975381120322667,0.9392941446630311,0.09765120854196419
closed_rate_10x,near_best,1200,0.9786315408471463,0.7099539019592197,True,False,GRAIN_GROWTH_FAILURE,0.014847775859580392,0.0033067086365334234,0.0032139746567398657,0.9589268199261108,0.20945111097773134
closed_rate_10x,high_T2,1300,0.9952111369680594,3.5724313582610523,True,False,GRAIN_GROWTH_FAILURE,0.003209122152616507,0.001475884508434103,0.00010385637088999858,0.9896266386921372,0.33947038713462924
closed_rate_30x,low_T2,900,0.8108477706548023,0.07709662194389429,False,True,FIRST_STEP_UNATTAINABLE,0.1569135396560151,0.005954931066886023,0.026283758622296555,0.9288512762495587,0.09765115856741774
closed_rate_30x,near_best,1200,0.9807630413386671,0.8595043606353576,True,False,GRAIN_GROWTH_FAILURE,0.015366122778996152,0.003322228652724364,0.0005486072296123664,0.960603814160435,0.20911354191452902
closed_rate_30x,high_T2,1300,0.9950449535289821,3.7670195681870995,True,False,GRAIN_GROWTH_FAILURE,0.003401266602378944,0.001515841081465712,3.793878717325078e-05,0.9770814573248591,0.3365940872555333
closed_rate_100x,low_T2,900,0.8186661609175698,0.07711080161833406,False,True,FIRST_STEP_UNATTAINABLE,0.15463533815410507,0.006023965223422139,0.020674535704902974,0.9135575761073927,0.09765104846357119
closed_rate_100x,near_best,1200,0.9806919026186359,0.9637800637179036,True,False,GRAIN_GROWTH_FAILURE,0.015829152064617463,0.00334468881092135,0.00013425650582523169,0.9311472503952175,0.20848175963969232
closed_rate_100x,high_T2,1300,0.9948762933672931,3.810132544346901,True,False,GRAIN_GROWTH_FAILURE,0.003541824074754977,0.0015482304257061472,3.365213224578709e-05,0.9295408762959855,0.33385915847538933
closed_inventory_3x,low_T2,900,0.8030010073993477,0.07697767762943936,False,True,FIRST_STEP_UNATTAINABLE,0.10947366622267282,0.00392892737583545,0.08359639900214406,0.9460155147745737,0.09767156288128405
closed_inventory_3x,near_best,1200,0.9574584677825191,0.41792619753079696,False,False,MIXED_FAILURE,0.0013441203997654062,0.0002715265523080587,0.04092588526540746,0.9498716923136717,0.18288648664466547
closed_inventory_3x,high_T2,1300,0.9966896449264439,1.516164164091775,True,False,GRAIN_GROWTH_FAILURE,1.4026705025154206e-05,7.470969111697212e-06,0.003288857399419246,0.9939081853223758,0.34506228366388575
closed_inventory_10x,low_T2,900,0.8048424833197093,0.07687793350095619,False,True,FIRST_STEP_UNATTAINABLE,0.028728970571304316,0.000929028166006689,0.16549951794297968,0.9418849491499602,0.09774818583819618
