mode_id,path,T2_C,final_rho,final_G_um,density_ok,grain_ok,classification,final_phi_open,final_phi_precursor,final_phi_closed,final_A_closed,final_PR_memory
closed_inventory_10x,near_best,1200,0.9465230706992755,0.3542034739854737,False,False,MIXED_FAILURE,1.2611855509650098e-06,1.646918530975447e-07,0.05347550342332042,0.93295348414621,0.1562384313663402
closed_inventory_10x,high_T2,1300,0.9954599829018382,1.3571935178813892,True,False,GRAIN_GROWTH_FAILURE,3.3611827711212423e-12,1.1897907364326025e-12,0.004540017093610814,0.989816867403213,0.29990626122283875
closed_inventory_30x,low_T2,900,0.8065261744820093,0.07682939143630933,False,True,FIRST_STEP_UNATTAINABLE,0.0005376070050060708,1.2907336293950241e-05,0.19292331117669073,0.9399780703991061,0.09798420350238406
closed_inventory_30x,near_best,1200,0.9355684758187601,0.3302802030518879,False,False,MIXED_FAILURE,3.962776471792805e-14,2.1098564464375623e-15,0.06443152418119814,0.9086941439489865,0.13797482751376589
closed_inventory_30x,high_T2,1300,0.9945737166593156,1.3310020483504066,True,False,GRAIN_GROWTH_FAILURE,9.802790158087573e-29,1.1913847178405196e-29,0.005426283340684445,0.9819371310947874,0.24966664423860702
balanced_handoff,low_T2,900,0.8023143642424839,0.07708553973636655,False,True,FIRST_STEP_UNATTAINABLE,0.159188999755023,0.005874496539086812,0.03262213946340632,0.9472078593135451,0.09765128260414767
balanced_handoff,near_best,1200,0.9677656223468764,0.596341713288147,False,False,MIXED_FAILURE,0.015944828178753204,0.0033950299950766968,0.012894519479293723,0.9546356392461163,0.2138051605519622
balanced_handoff,high_T2,1300,0.9948262327708649,3.1473755666505854,True,False,GRAIN_GROWTH_FAILURE,0.0033682819879625463,0.0014913564763213605,0.0003141287648511634,0.9908053533504175,0.3440788888460027
candidate_state_injection_diagnostic,low_T2,900,0.807261972685961,0.07676459198690833,False,True,FIRST_STEP_UNATTAINABLE,0.00794802440907335,0.0029365430820773217,0.18185345982288825,0.9987233944212873,0.9296136540914334
candidate_state_injection_diagnostic,near_best,1200,0.9146931251826178,0.21487430081222883,False,True,DENSIFICATION_EXHAUSTION_FAILURE,2.1202080960379024e-05,5.8869628901110735e-05,0.08522680310752072,0.9894434611703781,0.9296674809170189
candidate_state_injection_diagnostic,high_T2,1300,0.9868469765896672,0.8317556842439492,True,False,GRAIN_GROWTH_FAILURE,3.012792966440593e-06,1.103004770487225e-05,0.013138980569661497,0.9940885623659202,0.9297009274348995
