mode,protocol,t_s,T_C,rho,P_GBseg_dens,P_TJ_dens,P_clean_GB,P_GBseg_drag,P_TJ_drag,P_GB_to_TJ_relocation,P_TJ_iso_conversion,P_iso,P_persistent_drag
static,slow_0p2,0.0,25.0,0.7,3.607041598439363e-59,5.305804870662394e-60,4.569111536451377e-57,3.2920225222857315e-65,4.569111503531152e-57,0.0,0.0,0.0,0.0
static,slow_0p2,1080.0,28.6,0.7,2.894931947812583e-58,4.258321843470247e-59,3.2868478840342597e-56,3.0857949267962366e-64,3.2868478531763106e-56,0.0,0.0,0.0,0.0
static,slow_0p2,2160.0,32.2,0.7,2.2120666698283726e-57,3.253856045376191e-58,2.2569453860743375e-55,2.7438117263465926e-63,2.2569453586362203e-55,0.0,0.0,0.0,0.0
static,slow_0p2,3240.0,35.8,0.7,1.612041628967331e-56,2.3712447148893586e-57,1.481707405476892e-54,2.318599040405689e-62,1.4817073822909017e-54,0.0,0.0,0.0,0.0
static,slow_0p2,4320.0,39.4,0.7,1.1222346520494663e-55,1.6507594715421112e-56,9.314887694265332e-54,1.8652854210832787e-61,9.314887507736791e-54,0.0,0.0,0.0,0.0
static,slow_0p2,5400.0,43.0,0.7,7.474794853606816e-55,1.0995105506581518e-55,5.6157748555219125e-53,1.4310098900307792e-60,5.615774712420923e-53,0.0,0.0,0.0,0.0
static,slow_0p2,6480.0,46.6,0.7,4.7705812065964464e-54,7.017322176933417e-55,3.2514179994881244e-52,1.0486105358896445e-59,3.2514178946270705e-52,0.0,0.0,0.0,0.0
static,slow_0p2,7560.0,50.2,0.7,2.921588739150393e-53,4.297532850456575e-54,1.8103134782037274e-51,7.350647011978815e-59,1.8103134046972568e-51,0.0,0.0,0.0,0.0
static,slow_0p2,8640.0,53.8,0.7,1.7192329582051957e-52,2.5289186039315893e-53,9.70540335808485e-51,4.93642908808421e-58,9.705402864441939e-51,0.0,0.0,0.0,0.0
static,slow_0p2,9720.0,57.4,0.7,9.733847132357555e-52,1.4318075385515713e-52,5.016360569239899e-50,3.180421792154065e-57,5.016360251197717e-50,0.0,0.0,0.0,0.0
static,slow_0p2,10800.0,61.0,0.7,5.308970938624758e-51,7.809270587993157e-52,2.5026070151922363e-49,1.96844505676167e-56,2.5026068183477283e-49,0.0,0.0,0.0,0.0
static,slow_0p2,11880.0,64.6,0.7,2.7927431187224744e-50,4.1080064195094655e-51,1.2064708735585876e-48,1.1718879358324299e-55,1.2064707563697925e-48,0.0,0.0,0.0,0.0
static,slow_0p2,12960.0,68.2,0.7,1.4185457475428072e-49,2.086620498035429e-50,5.626419098291834e-48,6.71903669733473e-55,5.626418426388154e-48,0.0,0.0,0.0,0.0
static,slow_0p2,14040.0,71.80000000000001,0.7,6.965039278134047e-49,1.0245276722693652e-49,2.5409112513689e-47,3.714477494391535e-54,2.5409108799211436e-47,0.0,0.0,0.0,0.0
static,slow_0p2,15120.0,75.4,0.7,3.3092390780597324e-48,4.86775002155574e-49,1.1122990982401206e-46,1.9822058110549324e-53,1.1122989000195347e-46,0.0,0.0,0.0,0.0
static,slow_0p2,16200.0,79.0,0.7,1.5229824027471227e-47,2.240242378664278e-48,4.72436180695556e-46,1.0221873523773653e-52,4.724360784768177e-46,0.0,0.0,0.0,0.0
static,slow_0p2,17280.0,82.6,0.7,6.795851617453199e-47,9.996408865310246e-48,1.9487323966247676e-45,5.0991103647584924e-52,1.9487318867137126e-45,0.0,0.0,0.0,0.0
static,slow_0p2,18360.0,86.2,0.7,2.9429196977700007e-46,4.3289097838938776e-47,7.81323372438151e-45,2.4630531793595613e-51,7.813231261328218e-45,0.0,0.0,0.0,0.0
static,slow_0p2,19440.0,89.8,0.7,1.237900443280707e-45,1.820898933961747e-46,3.047515260975445e-44,1.1531472267715977e-50,3.047514107828155e-44,0.0,0.0,0.0,0.0
static,slow_0p2,20520.0,93.4,0.7,5.062183162140318e-45,7.446256258727418e-46,1.1573105637261826e-43,5.2375369531838295e-50,1.157310039972453e-43,0.0,0.0,0.0,0.0
static,slow_0p2,21600.0,97.0,0.7,2.0141527091176568e-44,2.9627330216868224e-45,4.28234527234185e-43,2.3098566981489413e-49,4.282342962484967e-43,0.0,0.0,0.0,0.0
static,slow_0p2,22680.0,100.60000000000001,0.7,7.803566485663856e-44,1.1478714602594882e-44,1.545136688613674e-42,9.899835814443716e-49,1.545135698629997e-42,0.0,0.0,0.0,0.0
static,slow_0p2,23760.0,104.2,0.7,2.946257847415796e-43,4.333820060131702e-44,5.4402503809939865e-42,4.1267797205291674e-48,5.440246254213787e-42,0.0,0.0,0.0,0.0
static,slow_0p2,24840.0,107.80000000000001,0.7,1.0847843837113229e-42,1.595671718675023e-43,1.870419769916326e-41,1.6744678626062253e-47,1.8704180954482302e-41,0.0,0.0,0.0,0.0
static,slow_0p2,25920.0,111.4,0.7,3.897780823896545e-42,5.733469913170015e-43,6.283732073807105e-41,6.6184100160916e-47,6.283725455395989e-41,0.0,0.0,0.0,0.0
static,slow_0p2,27000.0,115.0,0.7,1.3676898483671542e-41,2.011813632025111e-42,2.0641155908737655e-40,2.550108880756257e-46,2.0641130407643805e-40,0.0,0.0,0.0,0.0
static,slow_0p2,28080.0,118.60000000000001,0.7,4.689624949866005e-41,6.898238964403567e-42,6.633722186888679e-40,9.585112497091418e-46,6.633712601773935e-40,0.0,0.0,0.0,0.0
static,slow_0p2,29160.0,122.2,0.7,1.5723259920506276e-40,2.312824701134797e-41,2.087116945145105e-39,3.516926201359956e-45,2.0871134282179286e-39,0.0,0.0,0.0,0.0
static,slow_0p2,30240.0,125.80000000000001,0.7,5.1578048302693114e-40,7.586911668057654e-41,6.43209566196058e-39,1.2604927281180467e-44,6.432083057029177e-39,0.0,0.0,0.0,0.0
static,slow_0p2,31320.0,129.4,0.7,1.6563779511870118e-39,2.4364615603180944e-40,1.9427433811188596e-38,4.415723172926936e-44,1.9427389653939892e-38,0.0,0.0,0.0,0.0
static,slow_0p2,32400.0,133.0,0.7,5.210406173185137e-39,7.664286007618065e-40,5.753976632245848e-38,1.5129041136711223e-43,5.753961503197895e-38,0.0,0.0,0.0,0.0
static,slow_0p2,33480.0,136.60000000000002,0.7,1.6063422236804123e-38,2.3628611319707987e-39,1.6719942229231684e-37,5.072516131716019e-43,1.6719891504043653e-37,0.0,0.0,0.0,0.0
static,slow_0p2,34560.0,140.2,0.7,4.856097895675936e-38,7.14311359160332e-39,4.76905103487634e-37,1.665265459248618e-42,4.7690343822115245e-37,0.0,0.0,0.0,0.0
static,slow_0p2,35640.0,143.8,0.7,1.440257906436834e-37,2.1185581608731312e-38,1.3358838665976556e-36,5.3558520396515955e-42,1.3358785107417926e-36,0.0,0.0,0.0,0.0
static,slow_0p2,36720.0,147.4,0.7,4.192853031002895e-37,6.167508587506166e-38,3.676603863875661e-36,1.6884479026009598e-41,3.676586979382657e-36,0.0,0.0,0.0,0.0
static,slow_0p2,37800.0,151.0,0.7,1.1986747993728018e-36,1.7631996790955208e-37,9.94629604497216e-36,5.220137251796558e-41,9.946243843549651e-36,0.0,0.0,0.0,0.0
static,slow_0p2,38880.0,154.6,0.7,3.3667771535816955e-36,4.952386084939388e-37,2.646066628017202e-35,1.5835254996656908e-40,2.6460507927447073e-35,0.0,0.0,0.0,0.0
static,slow_0p2,39960.0,158.20000000000002,0.7,9.294817928166717e-36,1.3672282087493687e-36,6.925436857017396e-35,4.715455678901299e-40,6.92538970240062e-35,0.0,0.0,0.0,0.0
static,slow_0p2,41040.0,161.8,0.7,2.5232879526091946e-35,3.7116493235980815e-36,1.7839254403190027e-34,1.3790419721218103e-39,1.7839116498791324e-34,0.0,0.0,0.0,0.0
static,slow_0p2,42120.0,165.4,0.7,6.73863513007979e-35,9.912245844423719e-36,4.524386415771557e-34,3.962595101429933e-39,4.524346789754198e-34,0.0,0.0,0.0,0.0
static,slow_0p2,43200.0,169.0,0.7,1.7710474744946092e-34,2.6051355549693414e-35,1.1302146643215834e-33,1.1192244841204864e-38,1.130203472055317e-33,0.0,0.0,0.0,0.0
static,slow_0p2,44280.0,172.60000000000002,0.7,4.5825784919236855e-34,6.740778174879194e-35,2.7818897300729295e-33,3.1086430090324407e-38,2.781858643574947e-33,0.0,0.0,0.0,0.0
static,slow_0p2,45360.0,176.20000000000002,0.7,1.1678148423497552e-33,1.7178059940456574e-34,6.74917932283173e-33,8.494067437226669e-38,6.749094381946158e-33,0.0,0.0,0.0,0.0
static,slow_0p2,46440.0,179.8,0.7,2.9321094564678472e-33,4.313008378437722e-34,1.6145204729493473e-32,2.2841323010018194e-37,1.6144976315618118e-32,0.0,0.0,0.0,0.0
static,slow_0p2,47520.0,183.4,0.7,7.255732151437989e-33,1.06728735831541e-33,3.8094512055145084e-32,6.047162652498342e-37,3.8093907336942867e-32,0.0,0.0,0.0,0.0
static,slow_0p2,48600.0,187.0,0.7,1.7702115352686792e-32,2.6039059239003685e-33,8.868450584749984e-32,1.5767611037738714e-36,8.868292908068074e-32,0.0,0.0,0.0,0.0
static,slow_0p2,49680.0,190.60000000000002,0.7,4.25946781814578e-32,6.265496107870162e-33,2.037677339884732e-31,4.050587987022399e-36,2.037636833839031e-31,0.0,0.0,0.0,0.0
static,slow_0p2,50760.0,194.20000000000002,0.7,1.0111387139835256e-31,1.4873420688827932e-32,4.622288824578141e-31,1.0255515385097803e-35,4.622186268950963e-31,0.0,0.0,0.0,0.0
static,slow_0p2,51840.0,197.8,0.7,2.3687873834922787e-31,3.484385553616798e-32,1.0354768200927391e-30,2.559934865144402e-35,1.035451220611136e-30,0.0,0.0,0.0,0.0
static,slow_0p2,52920.0,201.4,0.7,5.478125827156199e-31,8.058090238937796e-32,2.2914431732650443e-30,6.301917428520638e-35,2.2913801537231202e-30,0.0,0.0,0.0,0.0
static,slow_0p2,54000.0,205.0,0.7,1.250993938173838e-30,1.8401589083984225e-31,5.01052519362973e-30,1.5304706513523266e-34,5.0103721455634516e-30,0.0,0.0,0.0,0.0
static,slow_0p2,55080.0,208.60000000000002,0.7,2.8217504315727297e-30,4.150674943729509e-31,1.0828774511131441e-29,3.6679032647742795e-34,1.0828407718119191e-29,0.0,0.0,0.0,0.0
static,slow_0p2,56160.0,212.20000000000002,0.7,6.2884187546058835e-30,9.249996692965373e-31,2.3137171727841623e-29,8.677197002487697e-34,2.3136304001040956e-29,0.0,0.0,0.0,0.0
static,slow_0p2,57240.0,215.8,0.7,1.384967306291365e-29,2.037228038237284e-30,4.888614580251553e-29,2.026908437798282e-33,4.888411887557305e-29,0.0,0.0,0.0,0.0
static,slow_0p2,58320.0,219.4,0.7,3.015262812628902e-29,4.435323430840262e-30,1.0216740442206272e-28,4.676302829303916e-33,1.0216272807167825e-28,0.0,0.0,0.0,0.0
static,slow_0p2,59400.0,223.0,0.7,6.490938775921539e-29,9.547895036019739e-30,2.1124835129181595e-28,1.0658649437756333e-32,2.1123769252182877e-28,0.0,0.0,0.0,0.0
static,slow_0p2,60480.0,226.60000000000002,0.7,1.3819505708268684e-28,2.0327905485981424e-29,4.322441234293732e-28,2.4007483267640852e-32,4.322201156445881e-28,0.0,0.0,0.0,0.0
static,slow_0p2,61560.0,230.20000000000002,0.7,2.9106038202417673e-28,4.2813745016661333e-29,8.754214652883815e-28,5.344986219963435e-32,8.753680146818538e-28,0.0,0.0,0.0,0.0
static,slow_0p2,62640.0,233.8,0.7,6.065676972052453e-28,8.92235299867492e-29,1.755304079237766e-27,1.176547579357904e-31,1.7551864226658093e-27,0.0,0.0,0.0,0.0
static,slow_0p2,63720.0,237.4,0.7,1.251060313707576e-27,1.8402565439871974e-28,3.485191853806065e-27,2.561178035014907e-31,3.484935731636763e-27,0.0,0.0,0.0,0.0
static,slow_0p2,64800.0,241.0,0.7,2.5543150926962467e-27,3.7572889278288262e-28,6.853772380249526e-27,5.51491604811447e-31,6.853220878265993e-27,0.0,0.0,0.0,0.0
static,slow_0p2,65880.0,244.60000000000002,0.7,5.1636854985059656e-27,7.595561881070526e-28,1.3352061821201617e-26,1.174912639987026e-30,1.335088688418387e-26,0.0,0.0,0.0,0.0
static,slow_0p2,66960.0,248.20000000000002,0.7,1.0337689667563312e-26,1.5206302087917488e-27,2.5773136350658258e-26,2.4770554212271904e-30,2.5770659238649361e-26,0.0,0.0,0.0,0.0
static,slow_0p2,68040.0,251.8,0.7,2.049993316428031e-26,3.015453031602194e-27,4.930248111702515e-26,5.1691919456566414e-30,4.9297311795232063e-26,0.0,0.0,0.0,0.0
static,slow_0p2,69120.0,255.4,0.7,4.027459045198378e-26,5.9242210646121814e-27,9.348305415119215e-26,1.0679653197544944e-29,9.347237420339588e-26,0.0,0.0,0.0,0.0
static,slow_0p2,70200.0,259.0,0.7,7.840463801272732e-26,1.1532988985500988e-26,1.7572659860894992e-25,2.184879586103833e-29,1.7570474915206967e-25,0.0,0.0,0.0,0.0
static,slow_0p2,71280.0,262.6,0.7,1.5127400314629182e-25,2.2251762858666854e-26,3.2753551108896413e-25,4.4271033993811425e-29,3.274912385878017e-25,0.0,0.0,0.0,0.0
static,slow_0p2,72360.0,266.20000000000005,0.7,2.893187799802258e-25,4.255756275883685e-26,6.054375114928179e-25,8.886224184695054e-29,6.053486460289887e-25,0.0,0.0,0.0,0.0
static,slow_0p2,73440.0,269.8,0.7,5.48598379504712e-25,8.069648975695142e-26,1.1100488919707034e-24,1.7672652089396844e-28,1.1098721584475962e-24,0.0,0.0,0.0,0.0
static,slow_0p2,74520.0,273.4,0.7,1.0315060493914612e-24,1.5173015535354224e-25,2.0190480503613005e-24,3.482990793527987e-28,2.0186997362191335e-24,0.0,0.0,0.0,0.0
static,slow_0p2,75600.0,277.0,0.7,1.923535755944276e-24,2.829439335326251e-25,3.643770799952299e-24,6.803717291902059e-28,3.643090396143975e-24,0.0,0.0,0.0,0.0
static,slow_0p2,76680.0,280.6,0.7,3.5580329593948856e-24,5.233715245785533e-25,6.525617468337184e-24,1.3175245492137287e-27,6.524299876137657e-24,0.0,0.0,0.0,0.0
static,slow_0p2,77760.0,284.2,0.7,6.529336835048402e-24,9.60437694885031e-25,1.1599063810853607e-23,2.529664590007358e-27,1.159653400496745e-23,0.0,0.0,0.0,0.0
static,slow_0p2,78840.0,287.8,0.7,1.1888964174943751e-23,1.7488160949915283e-24,2.0465293216206488e-23,4.816485971837825e-27,2.0460476437896994e-23,0.0,0.0,0.0,0.0
static,slow_0p2,79920.0,291.40000000000003,0.7,2.1483228183299342e-23,3.160091549313399e-24,3.584825748294837e-23,9.095578631015623e-27,3.5839161305062396e-23,0.0,0.0,0.0,0.0
static,slow_0p2,81000.0,295.0,0.7,3.852997625629275e-23,5.6675957320701555e-24,6.234949740315283e-23,1.7038478816431098e-26,6.233245770706485e-23,0.0,0.0,0.0,0.0
static,slow_0p2,82080.0,298.6,0.7,6.859668499484223e-23,1.009028078618224e-23,1.076889068668858e-22,3.166633686494358e-26,1.076572380793393e-22,0.0,0.0,0.0,0.0
static,slow_0p2,83160.0,302.20000000000005,0.7,1.212474665991933e-22,1.7834986963161587e-23,1.8473062656500484e-22,5.839770419358076e-26,1.8467222396998123e-22,0.0,0.0,0.0,0.0
static,slow_0p2,84240.0,305.8,0.7,2.1279717283592157e-22,3.130155961008389e-23,3.147691536947132e-22,1.068777910418975e-25,3.1466226622656585e-22,0.0,0.0,0.0,0.0
static,slow_0p2,85320.0,309.40000000000003,0.7,3.70885371263293e-22,5.455566163022977e-23,5.328252452688376e-22,1.941485585592017e-25,5.326310777237854e-22,0.0,0.0,0.0,0.0
static,slow_0p2,86400.0,313.0,0.7,6.420219192693366e-22,9.443869535092442e-23,8.961268558533512e-22,3.5010283589947686e-25,8.957767160731148e-22,0.0,0.0,0.0,0.0
static,slow_0p2,87480.0,316.6,0.7,1.1039529960399401e-21,1.623867932630809e-22,1.4976063931724658e-21,6.268016542706986e-25,1.4969795202130852e-21,0.0,0.0,0.0,0.0
static,slow_0p2,88560.0,320.20000000000005,0.7,1.885796568294759e-21,2.7739265944329144e-22,2.4872506007019646e-21,1.1142805780526654e-24,2.486136183594159e-21,0.0,0.0,0.0,0.0
static,slow_0p2,89640.0,323.8,0.7,3.2006214430733242e-21,4.707978097383847e-22,4.105669939210979e-21,1.9671814020993512e-24,4.103702498432459e-21,0.0,0.0,0.0,0.0
static,slow_0p2,90720.0,327.40000000000003,0.7,5.39783283372418e-21,7.939982658527303e-22,6.736571747499449e-21,3.449322884118236e-24,6.733121935635008e-21,0.0,0.0,0.0,0.0
static,slow_0p2,91800.0,331.0,0.7,9.046892695632582e-21,1.330759460872747e-21,1.0988310283129805e-20,6.0078040047185635e-24,1.0982301564233411e-20,0.0,0.0,0.0,0.0
static,slow_0p2,92880.0,334.6,0.7,1.507031767389229e-20,2.2167796720493368e-21,1.7819909810271892e-20,1.0395413053680573e-23,1.7809512698099753e-20,0.0,0.0,0.0,0.0
static,slow_0p2,93960.0,338.20000000000005,0.7,2.4953718584820015e-20,3.670585935736401e-21,2.873473347587501e-20,1.7871550662330277e-23,2.8716858792574457e-20,0.0,0.0,0.0,0.0
static,slow_0p2,95040.0,341.8,0.7,4.1075596270269707e-20,6.042045615732667e-21,4.6076486960481546e-20,3.052997416891854e-23,4.6045951251951935e-20,0.0,0.0,0.0,0.0
static,slow_0p2,96120.0,345.40000000000003,0.7,6.72222415423529e-20,9.888105996520179e-21,7.347921019962906e-20,5.183014522041205e-23,7.342736963118075e-20,0.0,0.0,0.0,0.0
static,slow_0p2,97200.0,349.0,0.7,1.0938716064725846e-19,1.6090386370960242e-20,1.1654777075454637e-19,8.745349358873566e-23,1.164602984454931e-19,0.0,0.0,0.0,0.0
static,slow_0p2,98280.0,352.6,0.7,1.770054688010364e-19,2.603675208250325e-20,1.8388161852045958e-19,1.4667514554457132e-22,1.8373490964036313e-19,0.0,0.0,0.0,0.0
static,slow_0p2,99360.0,356.20000000000005,0.7,2.8484968738800205e-19,4.1900178234812466e-20,2.8860714406854974e-19,2.445486928447223e-22,2.8836253529530023e-19,0.0,0.0,0.0,0.0
static,slow_0p2,100440.0,359.8,0.7,4.559259787669162e-19,6.706477352103898e-20,4.506598908583904e-19,4.053660959791739e-22,4.502544184612224e-19,0.0,0.0,0.0,0.0
static,slow_0p2,101520.0,363.40000000000003,0.7,7.258758361774031e-19,1.0677325009926546e-19,7.00166923837319e-19,6.681063046890845e-22,6.994986306628385e-19,0.0,0.0,0.0,0.0
static,slow_0p2,102600.0,367.0,0.7,1.1496316975788806e-18,1.6910593609791002e-19,1.0824355841612622e-18,1.0949685282000877e-21,1.0813402892083414e-18,0.0,0.0,0.0,0.0
static,slow_0p2,103680.0,370.6,0.7,1.8114302659027145e-18,2.664536924622736e-19,1.665276773973032e-18,1.7846642850913512e-21,1.6634915430363184e-18,0.0,0.0,0.0,0.0
static,slow_0p2,104760.0,374.20000000000005,0.7,2.8398033800924294e-18,4.1772300636447e-19,2.5497052986807437e-18,2.8930121384279443e-21,2.5468113088919846e-18,0.0,0.0,0.0,0.0
static,slow_0p2,105840.0,377.8,0.7,4.4299122465621176e-18,6.516212617172398e-19,3.885503178771326e-18,4.664680668712549e-21,3.880836821502656e-18,0.0,0.0,0.0,0.0
static,slow_0p2,106920.0,381.40000000000003,0.7,6.876664084078378e-18,1.0115280568707189e-18,5.893754403666466e-18,7.481863321109529e-21,5.886269682116336e-18,0.0,0.0,0.0,0.0
static,slow_0p2,108000.0,385.0,0.7,1.0623587241655548e-17,1.5626845267066146e-18,8.899329953738618e-18,1.1938540093555454e-20,8.887386569373102e-18,0.0,0.0,0.0,0.0
static,slow_0p2,109080.0,388.6,0.7,1.6334632066293765e-17,2.4027549450862407e-18,1.3377513506313404e-17,1.8953214163910712e-20,1.3358552128859012e-17,0.0,0.0,0.0,0.0
static,slow_0p2,110160.0,392.20000000000005,0.7,2.4999174800945603e-17,3.677272351912621e-18,2.0020637790760293e-17,2.993922231120528e-20,1.9990684889659994e-17,0.0,0.0,0.0,0.0
static,slow_0p2,111240.0,395.8,0.7,3.808489655005207e-17,5.6021263991346405e-18,2.9832920223972846e-17,4.706078713825415e-20,2.978583664311087e-17,0.0,0.0,0.0,0.0
static,slow_0p2,112320.0,399.40000000000003,0.7,5.775939292230415e-17,8.49616118722497e-18,4.4264874486901295e-17,7.361616053897147e-20,4.419122055115669e-17,0.0,0.0,0.0,0.0
static,slow_0p2,113400.0,403.0,0.7,8.721003371193025e-17,1.2828225264704268e-17,6.540304061128276e-17,1.1460827854167734e-19,6.52883700654166e-17,0.0,0.0,0.0,0.0
static,slow_0p2,114480.0,406.6,0.7,1.3110368027883393e-16,1.9284794100688164e-17,9.623673172688721e-17,1.7759081461809467e-19,9.605903881539146e-17,0.0,0.0,0.0,0.0
static,slow_0p2,115560.0,410.20000000000005,0.7,1.9624466588110323e-16,2.886675619499306e-17,1.410315884275847e-16,2.739169032550615e-19,1.407575049914865e-16,0.0,0.0,0.0,0.0
static,slow_0p2,116640.0,413.8,0.7,2.9251269196487956e-16,4.3027373635760884e-17,2.0585068709880317e-16,4.2057403312510693e-19,2.0542984282044375e-16,0.0,0.0,0.0,0.0
static,slow_0p2,117720.0,417.40000000000003,0.7,4.3419434102385554e-16,6.386814198137251e-17,2.992787238535019e-16,6.428685384568694e-19,2.986354189783969e-16,0.0,0.0,0.0,0.0
static,slow_0p2,118800.0,421.0,0.7,6.418659133751986e-16,9.44157475470142e-17,4.3342464991761275e-16,9.783362603027035e-19,4.3244561264619694e-16,0.0,0.0,0.0,0.0
