mode,protocol,t_s,T_C,rho,G_nm,f_GBseg,f_TJ,f_iso,C_GBseg,C_TJ,f_clean_GB,GBseg_mean_nm,TJ_mean_nm,iso_mean_nm,E_G,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_clean_GB,sigma_iso,sigma_act_total,P_GBseg_dens,P_TJ_dens,P_clean_GB,P_GBseg_drag,P_TJ_drag,P_GB_to_TJ_relocation,P_TJ_iso_conversion,P_iso,P_persistent_drag
static,slow_0p2,0.0,25.0,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,8.839214743535239e-37,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,3.607041598439363e-59,5.305804870662394e-60,4.569111536451377e-57,3.2920225222857315e-65,4.569111503531152e-57,0.0,0.0,0.0,0.0
static,slow_0p2,1080.0,28.6,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,7.094158594042156e-36,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.894931947812583e-58,4.258321843470247e-59,3.2868478840342597e-56,3.0857949267962366e-64,3.2868478531763106e-56,0.0,0.0,0.0,0.0
static,slow_0p2,2160.0,32.2,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,5.420767071300119e-35,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.2120666698283726e-57,3.253856045376191e-58,2.2569453860743375e-55,2.7438117263465926e-63,2.2569453586362203e-55,0.0,0.0,0.0,0.0
static,slow_0p2,3240.0,35.8,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,3.950379208303475e-34,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.612041628967331e-56,2.3712447148893586e-57,1.481707405476892e-54,2.318599040405689e-62,1.4817073822909017e-54,0.0,0.0,0.0,0.0
static,slow_0p2,4320.0,39.4,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,2.7500855788282745e-33,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.1222346520494663e-55,1.6507594715421112e-56,9.314887694265332e-54,1.8652854210832787e-61,9.314887507736791e-54,0.0,0.0,0.0,0.0
static,slow_0p2,5400.0,43.0,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.8317314916326265e-32,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,7.474794853606816e-55,1.0995105506581518e-55,5.6157748555219125e-53,1.4310098900307792e-60,5.615774712420923e-53,0.0,0.0,0.0,0.0
static,slow_0p2,6480.0,46.6,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.1690519941556564e-31,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,4.7705812065964464e-54,7.017322176933417e-55,3.2514179994881244e-52,1.0486105358896445e-59,3.2514178946270705e-52,0.0,0.0,0.0,0.0
static,slow_0p2,7560.0,50.2,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,7.159482238524233e-31,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.921588739150393e-53,4.297532850456575e-54,1.8103134782037274e-51,7.350647011978815e-59,1.8103134046972568e-51,0.0,0.0,0.0,0.0
static,slow_0p2,8640.0,53.8,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,4.2130562947524965e-30,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.7192329582051957e-52,2.5289186039315893e-53,9.70540335808485e-51,4.93642908808421e-58,9.705402864441939e-51,0.0,0.0,0.0,0.0
static,slow_0p2,9720.0,57.4,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,2.3853222297430483e-29,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,9.733847132357555e-52,1.4318075385515713e-52,5.016360569239899e-50,3.180421792154065e-57,5.016360251197717e-50,0.0,0.0,0.0,0.0
static,slow_0p2,10800.0,61.0,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.3009867758108404e-28,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,5.308970938624758e-51,7.809270587993157e-52,2.5026070151922363e-49,1.96844505676167e-56,2.5026068183477283e-49,0.0,0.0,0.0,0.0
static,slow_0p2,11880.0,64.6,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,6.8437403551428045e-28,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.7927431187224744e-50,4.1080064195094655e-51,1.2064708735585876e-48,1.1718879358324299e-55,1.2064707563697925e-48,0.0,0.0,0.0,0.0
static,slow_0p2,12960.0,68.2,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,3.476209005042996e-27,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.4185457475428072e-49,2.086620498035429e-50,5.626419098291834e-48,6.71903669733473e-55,5.626418426388154e-48,0.0,0.0,0.0,0.0
static,slow_0p2,14040.0,71.80000000000001,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.706813636505375e-26,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,6.965039278134047e-49,1.0245276722693652e-49,2.5409112513689e-47,3.714477494391535e-54,2.5409108799211436e-47,0.0,0.0,0.0,0.0
static,slow_0p2,15120.0,75.4,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,8.109436514767236e-26,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,3.3092390780597324e-48,4.86775002155574e-49,1.1122990982401206e-46,1.9822058110549324e-53,1.1122989000195347e-46,0.0,0.0,0.0,0.0
static,slow_0p2,16200.0,79.0,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,3.7321356411114296e-25,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.5229824027471227e-47,2.240242378664278e-48,4.72436180695556e-46,1.0221873523773653e-52,4.724360784768177e-46,0.0,0.0,0.0,0.0
static,slow_0p2,17280.0,82.6,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,1.665353453030878e-24,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,6.795851617453199e-47,9.996408865310246e-48,1.9487323966247676e-45,5.0991103647584924e-52,1.9487318867137126e-45,0.0,0.0,0.0,0.0
static,slow_0p2,18360.0,86.2,0.7,150.0,0.6,0.3,0.09999999999999999,0.40576281822618754,0.47748788662923936,0.5942371817738125,41.77656829534831,41.77656829534831,41.776568295348305,7.211754694712638e-24,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.9429196977700007e-46,4.3289097838938776e-47,7.81323372438151e-45,2.4630531793595613e-51,7.813231261328218e-45,0.0,0.0,0.0,0.0
