analysis_design,descriptor,level,target_density,n_conditions,fraction_HR_attainable,fraction_TS_attainable,fraction_HR_positive,fraction_TS_positive,mean_HR_pct,mean_TS_pct,median_HR_crossover_density,fraction_with_HR_crossover
one_at_a_time,rho0,0.65,0.8,1,1.0,1.0,0.0,0.0,-10.98183399436588,0.0,0.9,1.0
one_at_a_time,rho0,0.65,0.85,1,1.0,1.0,0.0,0.0,-10.66107082342747,0.0,0.9,1.0
one_at_a_time,rho0,0.65,0.88,1,1.0,1.0,0.0,1.0,-4.019051082470886,8.99994616422656,0.9,1.0
one_at_a_time,rho0,0.65,0.9,1,1.0,1.0,1.0,1.0,4.575790368552738,11.075820664732804,0.9,1.0
one_at_a_time,rho0,0.65,0.92,1,0.0,0.0,nan,nan,nan,nan,0.9,1.0
one_at_a_time,rho0,0.7,0.8,1,1.0,1.0,0.0,0.0,-9.717947748434373,0.0,0.9,1.0
one_at_a_time,rho0,0.7,0.85,1,1.0,1.0,0.0,0.0,-10.723976294138774,0.0,0.9,1.0
one_at_a_time,rho0,0.7,0.88,1,1.0,1.0,0.0,1.0,-3.9507808479689266,9.058530721901372,0.9,1.0
one_at_a_time,rho0,0.7,0.9,1,1.0,1.0,1.0,1.0,5.010944669013049,11.13799819179892,0.9,1.0
one_at_a_time,rho0,0.7,0.92,1,0.0,0.0,nan,nan,nan,nan,0.9,1.0
one_at_a_time,rho0,0.75,0.8,1,1.0,1.0,0.0,0.0,-7.323524504877853,0.0,0.9,1.0
one_at_a_time,rho0,0.75,0.85,1,1.0,1.0,0.0,0.0,-11.319255922996419,0.0,0.9,1.0
one_at_a_time,rho0,0.75,0.88,1,1.0,1.0,0.0,1.0,-4.584381995207315,9.154166656444142,0.9,1.0
one_at_a_time,rho0,0.75,0.9,1,1.0,1.0,1.0,1.0,4.954590587271427,11.210508773730139,0.9,1.0
one_at_a_time,rho0,0.75,0.92,1,0.0,0.0,nan,nan,nan,nan,0.9,1.0
one_at_a_time,rho0,0.8,0.8,1,0.0,0.0,nan,nan,nan,nan,nan,0.0
one_at_a_time,rho0,0.8,0.85,1,1.0,1.0,0.0,0.0,-15.884361199385594,0.0,nan,0.0
one_at_a_time,rho0,0.8,0.88,1,1.0,1.0,0.0,1.0,-12.039910113636049,9.37391056470636,nan,0.0
one_at_a_time,rho0,0.8,0.9,1,1.0,1.0,0.0,1.0,-1.1134718548724942,11.300486112251942,nan,0.0
one_at_a_time,rho0,0.8,0.92,1,0.0,0.0,nan,nan,nan,nan,nan,0.0
one_at_a_time,rho0,0.85,0.8,1,0.0,0.0,nan,nan,nan,nan,nan,0.0
one_at_a_time,rho0,0.85,0.85,1,0.0,0.0,nan,nan,nan,nan,nan,0.0
one_at_a_time,rho0,0.85,0.88,1,1.0,1.0,0.0,1.0,-20.13686722998688,10.622424811659554,nan,0.0
one_at_a_time,rho0,0.85,0.9,1,1.0,1.0,0.0,1.0,-6.946034409278476,11.458270526235713,nan,0.0
one_at_a_time,rho0,0.85,0.92,1,0.0,0.0,nan,nan,nan,nan,nan,0.0
one_at_a_time,G0_nm,75.0,0.8,1,1.0,1.0,0.0,0.0,-19.36998188680339,0.0,0.9,1.0
one_at_a_time,G0_nm,75.0,0.85,1,1.0,1.0,0.0,0.0,-11.08016566640458,0.0,0.9,1.0
one_at_a_time,G0_nm,75.0,0.88,1,1.0,1.0,0.0,1.0,-2.393318126156351,9.753071670317565,0.9,1.0
one_at_a_time,G0_nm,75.0,0.9,1,1.0,1.0,1.0,1.0,6.1051696356817375,11.244883760316739,0.9,1.0
one_at_a_time,G0_nm,75.0,0.92,1,0.0,0.0,nan,nan,nan,nan,0.9,1.0
one_at_a_time,G0_nm,150.0,0.8,1,1.0,1.0,0.0,0.0,-7.323524504877853,0.0,0.9,1.0
one_at_a_time,G0_nm,150.0,0.85,1,1.0,1.0,0.0,0.0,-11.319255922996419,0.0,0.9,1.0
one_at_a_time,G0_nm,150.0,0.88,1,1.0,1.0,0.0,1.0,-4.584381995207315,9.154166656444142,0.9,1.0
one_at_a_time,G0_nm,150.0,0.9,1,1.0,1.0,1.0,1.0,4.954590587271427,11.210508773730139,0.9,1.0
one_at_a_time,G0_nm,150.0,0.92,1,0.0,0.0,nan,nan,nan,nan,0.9,1.0
one_at_a_time,G0_nm,300.0,0.8,1,1.0,1.0,0.0,0.0,-0.4928303373652211,0.0,0.9,1.0
one_at_a_time,G0_nm,300.0,0.85,1,1.0,1.0,0.0,0.0,-1.4528330032597387,0.0,0.9,1.0
one_at_a_time,G0_nm,300.0,0.88,1,1.0,1.0,0.0,1.0,-3.5776466519511145,1.7657452654099222,0.9,1.0
one_at_a_time,G0_nm,300.0,0.9,1,1.0,1.0,1.0,1.0,1.2045133498143088,9.112452020300069,0.9,1.0
one_at_a_time,G0_nm,300.0,0.92,1,0.0,0.0,nan,nan,nan,nan,0.9,1.0
one_at_a_time,pore_scale_nm,15.0,0.8,1,1.0,1.0,0.0,0.0,-7.507838798198498,0.0,0.9,1.0
one_at_a_time,pore_scale_nm,15.0,0.85,1,1.0,1.0,0.0,0.0,-14.76631060296589,0.0,0.9,1.0
one_at_a_time,pore_scale_nm,15.0,0.88,1,1.0,1.0,0.0,1.0,-9.13619054719797,8.298033092886483,0.9,1.0
one_at_a_time,pore_scale_nm,15.0,0.9,1,1.0,1.0,1.0,1.0,2.505242421970231,11.79235205062292,0.9,1.0
one_at_a_time,pore_scale_nm,15.0,0.92,1,0.0,0.0,nan,nan,nan,nan,0.9,1.0
one_at_a_time,pore_scale_nm,25.0,0.8,1,1.0,1.0,0.0,0.0,-7.323524504877853,0.0,0.9,1.0
one_at_a_time,pore_scale_nm,25.0,0.85,1,1.0,1.0,0.0,0.0,-11.319255922996419,0.0,0.9,1.0
one_at_a_time,pore_scale_nm,25.0,0.88,1,1.0,1.0,0.0,1.0,-4.584381995207315,9.154166656444142,0.9,1.0
one_at_a_time,pore_scale_nm,25.0,0.9,1,1.0,1.0,1.0,1.0,4.954590587271427,11.210508773730139,0.9,1.0
one_at_a_time,pore_scale_nm,25.0,0.92,1,0.0,0.0,nan,nan,nan,nan,0.9,1.0
one_at_a_time,pore_scale_nm,40.0,0.8,1,1.0,1.0,0.0,0.0,-9.44573321247895,0.0,0.9,1.0
one_at_a_time,pore_scale_nm,40.0,0.85,1,1.0,1.0,0.0,0.0,-10.958101222798874,0.0,0.9,1.0
one_at_a_time,pore_scale_nm,40.0,0.88,1,1.0,1.0,0.0,1.0,-3.6965313053851063,8.812263630219944,0.9,1.0
one_at_a_time,pore_scale_nm,40.0,0.9,1,1.0,1.0,1.0,1.0,6.4020600903681135,10.577628871865384,0.9,1.0
one_at_a_time,pore_scale_nm,40.0,0.92,1,0.0,0.0,nan,nan,nan,nan,0.9,1.0
one_at_a_time,log_width,0.45,0.8,1,1.0,1.0,0.0,0.0,-6.7954421360214186,0.0,0.9,1.0
one_at_a_time,log_width,0.45,0.85,1,1.0,1.0,0.0,0.0,-10.579957496166863,0.0,0.9,1.0
