design_id,design_type,varied_descriptor,rho0,G0_nm,pore_scale_nm,log_width,target_density,eligible_target,high_step_executed,slow_time_budget_h,fast_time_budget_h,high_time_budget_h,two_step_time_budget_h,HR_pct,TS_pct,HR_scored,TS_scored,initial_f_pore,initial_connectivity,initial_isolated_fraction,initial_pore_mean_radius_nm,initial_large_pore_fraction,initial_removable_fine_fraction,slow_reached,slow_time_to_target_h,slow_G_at_target_nm,slow_pore_mean_radius_nm,slow_large_pore_fraction,slow_removable_fine_pore_fraction,slow_f_pore,slow_isolated_pore_fraction,slow_cumulative_redistributed_pore_volume,slow_E_G,fast_reached,fast_time_to_target_h,fast_G_at_target_nm,fast_pore_mean_radius_nm,fast_large_pore_fraction,fast_removable_fine_pore_fraction,fast_f_pore,fast_isolated_pore_fraction,fast_cumulative_redistributed_pore_volume,fast_E_G,high_reached,high_time_to_target_h,high_G_at_target_nm,high_pore_mean_radius_nm,high_large_pore_fraction,high_removable_fine_pore_fraction,high_f_pore,high_isolated_pore_fraction,high_cumulative_redistributed_pore_volume,high_E_G,two_step_reached,two_step_time_to_target_h,two_step_G_at_target_nm,two_step_pore_mean_radius_nm,two_step_large_pore_fraction,two_step_removable_fine_pore_fraction,two_step_f_pore,two_step_isolated_pore_fraction,two_step_cumulative_redistributed_pore_volume,two_step_E_G
oat_baseline,one_at_a_time,baseline,0.75,150.0,25.0,0.65,0.8,True,True,126.75,9.1875,96.0,96.0,-7.323524504877853,0.0,True,True,0.5146496927788622,0.9933071490757153,0.00024031171281892587,41.77656829534831,0.03988687689874912,0.5724048606059915,True,102.6122237102091,156.16768937389656,55.203883145476304,0.075936914231101,0.30649430216860685,0.3560981053313501,0.003851348780329487,0.17273156150797422,0.6775524880201089,True,1.364161218636562,167.6046683738954,44.41117657146263,0.049082146056263806,0.5203292963992684,0.4580676530934862,0.00385246280318454,0.002229275094324867,0.34543406016929834,True,0.7941423926113574,159.14360250384465,44.285552090042465,0.04889027616773693,0.5238851758387845,0.44216834060864707,0.003851032355930261,6.039593822044823e-07,0.6124756625925268,True,0.7941423926113574,159.14360250384465,44.285552090042465,0.04889027616773693,0.5238851758387845,0.44216834060864707,0.003851032355930261,6.039593822044823e-07,0.6124756625925268
oat_baseline,one_at_a_time,baseline,0.75,150.0,25.0,0.65,0.85,True,True,126.75,9.1875,96.0,96.0,-11.319255922996419,0.0,True,True,0.5146496927788622,0.9933071490757153,0.00024031171281892587,41.77656829534831,0.03988687689874912,0.5724048606059915,True,107.27083542071546,185.48403057169344,58.918579952562055,0.09636663388127838,0.26617647188057375,0.3064811254573286,0.05854054509754241,0.17273511575494532,0.13670897157813044,True,1.7989313383846148,206.47944268839234,48.072645751490015,0.06361273114345146,0.45509998945434393,0.4091018616284947,0.05855519846109825,0.0022292751926022824,0.14574452323123727,True,2.3321717799863477,184.5716730064721,47.944899427536726,0.06337697890513688,0.4584637950117767,0.37623065047301296,0.05854091738399165,6.490610395924398e-07,0.17312547357820385,True,2.3321717799863477,184.5716730064721,47.944899427536726,0.06337697890513688,0.4584637950117767,0.37623065047301296,0.05854091738399165,6.490610395924398e-07,0.18511706492961383
oat_baseline,one_at_a_time,baseline,0.75,150.0,25.0,0.65,0.88,True,True,126.75,9.1875,96.0,96.0,-4.584381995207315,9.154166656444142,True,True,0.5146496927788622,0.9933071490757153,0.00024031171281892587,41.77656829534831,0.03988687689874912,0.5724048606059915,True,111.8947219714745,277.9155317122988,61.90559670316959,0.11535668840130253,0.23924585192604275,0.34056074348139304,0.24766454175663138,0.1727351169191773,0.04557324214963632,True,2.6831585012078354,290.6562413100021,51.22597134537904,0.07755833364321849,0.4041448384048283,0.42674569295731707,0.24766880482348572,0.002229275193631622,0.05458631749214104,True,5.774876157512728,254.71830095105165,51.09855984732461,0.0772826407673666,0.4072682630133475,0.38699465412136613,0.2476642782216373,6.495720945770376e-07,0.05557104091616241,True,17.829725244564642,231.40096317752943,51.095998338026156,0.07727921697824212,0.4073361347495334,0.358930400592578,0.24766380575729732,8.315107190659152e-07,0.06449610211726045
oat_baseline,one_at_a_time,baseline,0.75,150.0,25.0,0.65,0.9,True,True,126.75,9.1875,96.0,96.0,4.954590587271427,11.210508773730139,True,True,0.5146496927788622,0.9933071490757153,0.00024031171281892587,41.77656829534831,0.03988687689874912,0.5724048606059915,True,117.63168232688156,496.22986687684664,64.41776648946839,0.1331575469778304,0.21969156013626379,0.4479682638174229,0.5000000005213364,0.1727351169238327,0.027336423217340873,True,5.384496218945358,471.64370860133687,53.98308271627528,0.09097319535774445,0.36368019597795054,0.5096534708385425,0.49999999795617694,0.002229275193843446,0.03266542292903891,True,16.466363131430324,413.4954391173055,53.85904711723515,0.09066266145546956,0.3665034736191875,0.46578927094083655,0.5000000000338786,6.496795706602968e-07,0.032624283092975014,True,72.28409004891316,367.140496636086,53.85594564485689,0.09065793096476911,0.3665810256495363,0.4269208489009524,0.49999999999979944,8.780238425830214e-07,0.03297973390642615
oat_baseline,one_at_a_time,baseline,0.75,150.0,25.0,0.65,0.92,True,True,126.75,9.1875,96.0,96.0,nan,nan,False,False,0.5146496927788622,0.9933071490757153,0.00024031171281892587,41.77656829534831,0.03988687689874912,0.5724048606059915,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,82.7822558190373,857.6159110151268,57.4301382442651,0.1098414679136848,0.3194718934610717,0.6212513574085589,0.7523361985133163,6.498315181096306e-07,0.023780527759879693,False,nan,nan,nan,nan,nan,nan,nan,nan,nan
oat_rho0_0.65,one_at_a_time,rho0,0.65,150,25,0.65,0.8,True,True,126.75,9.1875,96.0,96.0,-10.98183399436588,0.0,True,True,0.6365225836118789,0.9998766054240137,9.292483363014605e-07,41.77656829534831,0.0398868768987491,0.5724048606059914,True,105.74413701823399,163.3542845431073,59.700911987610766,0.1009199542196067,0.25850800010013775,0.3453656466137271,0.003851475046495859,0.24437091127577645,0.5724513787169503,True,1.6481055839375776,181.29358089431543,48.73869338334623,0.06644651490326244,0.4439429807657358,0.45545037830667245,0.003852427233449936,0.0031627952956376935,0.4591325817243273,True,1.791359780393101,166.58544721520153,48.60942299536468,0.06619967308207361,0.4472985061422161,0.42908299787107756,0.003851032355930259,1.673061913019459e-06,0.6745245332076334,True,1.791359780393101,166.58544721520153,48.60942299536468,0.06619967308207361,0.4472985061422161,0.42908299787107756,0.003851032355930259,1.673061913019459e-06,0.6745245332076334
oat_rho0_0.65,one_at_a_time,rho0,0.65,150,25,0.65,0.85,True,True,126.75,9.1875,96.0,96.0,-10.66107082342747,0.0,True,True,0.6365225836118789,0.9998766054240137,9.292483363014605e-07,41.77656829534831,0.0398868768987491,0.5724048606059914,True,108.8090887572833,195.5414773026131,63.59980183688864,0.12695350614801174,0.22557953904270706,0.29939879322697915,0.058543128788058785,0.2443712733175621,0.13774558254702457,True,2.0698519918230307,216.38829268702102,52.92235116514804,0.08567037630935269,0.3787936836741243,0.39392191852102715,0.05855471464414264,0.0031627953713820474,0.15725793233664945,True,3.3347299836652278,191.84390266556142,52.798630793549144,0.08537420889383814,0.38168704999655745,0.3594935704287541,0.058542328913748894,1.7091844549159207e-06,0.17620270312249475,True,3.3347299836652278,191.84390266556142,52.798630793549144,0.08537420889383814,0.38168704999655745,0.3594935704287541,0.058542328913748894,1.7091844549159207e-06,0.1930582847914883
oat_rho0_0.65,one_at_a_time,rho0,0.65,150,25,0.65,0.88,True,True,126.75,9.1875,96.0,96.0,-4.019051082470886,8.99994616422656,True,True,0.6365225836118789,0.9998766054240137,9.292483363014605e-07,41.77656829534831,0.0398868768987491,0.5724048606059914,True,112.63602309231094,290.4955295837369,66.73531962197852,0.15084564353431046,0.203522304945424,0.3310482205782839,0.2476645233860833,0.24437127364979386,0.0463498223374455,True,2.964793559460888,302.17069331000164,56.42961431651988,0.10391280423224498,0.33096675701895917,0.4069484615356394,0.24767335733456086,0.0031627953721686006,0.05447039534570733,True,6.871555004759742,264.83676634778664,56.31167180838831,0.1035716775655496,0.33344366703143713,0.368354317188,0.24766465360838885,1.709579908236615e-06,0.0551243712764251,True,19.414962022914047,241.00159995340735,56.30848275245455,0.10356612834898586,0.33351864825003885,0.34171644342060803,0.24766385285711065,1.8507470358248654e-06,0.06382319090301844
oat_rho0_0.65,one_at_a_time,rho0,0.65,150,25,0.65,0.9,True,True,126.75,9.1875,96.0,96.0,4.575790368552738,11.075820664732804,True,True,0.6365225836118789,0.9998766054240137,9.292483363014605e-07,41.77656829534831,0.0398868768987491,0.5724048606059914,True,117.99003359908322,515.6126053690988,69.37305516521702,0.17299378116936687,0.18737742524055015,0.4350384188961318,0.4999999999896704,0.2443712736520365,0.027466559653395867,True,5.734025596221388,492.0192534335757,59.42813954722685,0.12126907027408322,0.29508967056823737,0.488209928054832,0.5000000019153122,0.0031627953723243167,0.03238814124726757,True,17.92120390457228,431.66933970248834,59.31761366869572,0.12089029726724007,0.29716112328551975,0.44536053535464337,0.5000000000308628,1.709659346944666e-06,0.032364619257273346,True,76.21267210750518,383.8584177724045,59.31397583068506,0.12088287699863906,0.2972395106523229,0.40797694363116843,0.5000000000001672,1.8852141711556163e-06,0.032752834300626296
oat_rho0_0.65,one_at_a_time,rho0,0.65,150,25,0.65,0.92,True,True,126.75,9.1875,96.0,96.0,nan,nan,False,False,0.6365225836118789,0.9998766054240137,9.292483363014605e-07,41.77656829534831,0.0398868768987491,0.5724048606059914,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,85.87548872676906,900.6485738332981,63.12703051459497,0.14540464920292082,0.25763698753023756,0.6006259255864019,0.7523361984329716,1.7097659893916546e-06,0.023586959483307246,False,nan,nan,nan,nan,nan,nan,nan,nan,nan
oat_rho0_0.70,one_at_a_time,rho0,0.7,150,25,0.65,0.8,True,True,126.75,9.1875,96.0,96.0,-9.717947748434373,0.0,True,True,0.5799834816201629,0.9990889488055994,1.4945115164975941e-05,41.77656829534832,0.0398868768987491,0.5724048606059914,True,104.63452099860154,160.41625811087667,57.91671964211955,0.09001867992281083,0.27578057444238174,0.3491394728148591,0.003851833976571566,0.21348205595473063,0.6037371655767875,True,1.5238796482764618,176.00542625408528,46.68086532368096,0.057881372942622335,0.47910213143564584,0.45924819315541443,0.0038524176592631553,0.002773408167208059,0.41772241528515175,True,1.350378694710145,163.60329445195438,46.54850147376504,0.05765426256741436,0.4826895870714838,0.4364948356570567,0.0038510323559302635,1.2588944128009639e-06,0.6573484778340294,True,1.350378694710145,163.60329445195438,46.54850147376504,0.05765426256741436,0.4826895870714838,0.4364948356570567,0.0038510323559302635,1.2588944128009639e-06,0.6573484778340294
oat_rho0_0.70,one_at_a_time,rho0,0.7,150,25,0.65,0.85,True,True,126.75,9.1875,96.0,96.0,-10.723976294138774,0.0,True,True,0.5799834816201629,0.9990889488055994,1.4945115164975941e-05,41.77656829534832,0.0398868768987491,0.5724048606059914,True,108.20775038032741,191.57144080768154,61.73097878971862,0.11362950785278385,0.2402121541724186,0.30200334190124106,0.05853967109503137,0.21348288373632685,0.1372298675188196,True,1.9488830063790927,212.1155167062374,50.63312925590194,0.07482136396888113,0.41332367512522816,0.4016506531949499,0.05855459134078756,0.002773408252496794,0.15362178067061613,True,2.8854704853361923,188.65525590329116,50.50262981481525,0.07454570138949809,0.4165644239990684,0.3677425881557506,0.058541368310467364,1.2989906781721593e-06,0.17623532527409846,True,2.8854704853361923,188.65525590329116,50.50262981481525,0.07454570138949809,0.4165644239990684,0.3677425881557506,0.058541368310467364,1.2989906781721593e-06,0.1897867972161829
oat_rho0_0.70,one_at_a_time,rho0,0.7,150,25,0.65,0.88,True,True,126.75,9.1875,96.0,96.0,-3.9507808479689266,9.058530721901372,True,True,0.5799834816201629,0.9990889488055994,1.4945115164975941e-05,41.77656829534832,0.0398868768987491,0.5724048606059914,True,112.33359099042373,285.53539690125433,64.79586579456402,0.13540892266218507,0.2164762887668332,0.33461840120360925,0.24766577914424287,0.21348288427795423,0.04605372276119119,True,2.837185551362204,296.81627467620115,53.98893928967747,0.09098687823007505,0.36354547365517464,0.4161346347510661,0.24767279754123783,0.0027734082533906186,0.054577206224935206,True,6.37311036678979,260.1106132980019,53.86197685448697,0.09066722561711743,0.3664305125584476,0.3770136729577455,0.24766469655057483,1.299437840247611e-06,0.05537220606951765,True,18.660184477624078,236.54841348147633,53.859064330865294,0.09066275697530056,0.366503262618429,0.349751986632564,0.24766386400276585,1.4587266986286981e-06,0.06424076597602799
oat_rho0_0.70,one_at_a_time,rho0,0.7,150,25,0.65,0.9,True,True,126.75,9.1875,96.0,96.0,5.010944669013049,11.13799819179892,True,True,0.5799834816201629,0.9990889488055994,1.4945115164975941e-05,41.77656829534832,0.0398868768987491,0.5724048606059914,True,117.84298446359135,507.9804754705745,67.3731786424003,0.15568891722325207,0.19916373717394184,0.43996330383200716,0.5000000007824574,0.213482884280954,0.02741377205112162,True,5.574235739992784,482.5258549153546,56.88709608654874,0.10644961294035224,0.32518847592729605,0.49802115282743686,0.49999999868689093,0.0027734082535708147,0.03250492463785047,True,17.253309223180597,423.1789829068809,56.766218892896255,0.10609260469861294,0.32769027187236577,0.4547218934374064,0.4999999999886199,1.2995295940571186e-06,0.032472762363956936,True,74.34371310215579,376.04531544263943,56.762802883012085,0.10608654479792919,0.32776968578462623,0.4166500660041003,0.49999999999975986,1.4984883361453254e-06,0.032847339851323126
oat_rho0_0.70,one_at_a_time,rho0,0.7,150,25,0.65,0.92,True,True,126.75,9.1875,96.0,96.0,nan,nan,False,False,0.5799834816201629,0.9990889488055994,1.4945115164975941e-05,41.77656829534832,0.0398868768987491,0.5724048606059914,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,84.44135665991547,880.741949533814,60.478737649204014,0.12805900334930237,0.28439306027272576,0.6100144519904692,0.7523361980267302,1.299655440246594e-06,0.023668527840592427,False,nan,nan,nan,nan,nan,nan,nan,nan,nan
oat_rho0_0.80,one_at_a_time,rho0,0.8,150,25,0.65,0.8,False,True,126.75,9.1875,96.0,96.0,nan,nan,False,False,0.43915319895437444,0.9525741268224331,0.0038510323559302587,41.77656829534831,0.039886876898749105,0.5724048606059915,True,60.3,150.00000000000009,42.215933647526036,0.04048205750336803,0.5595265261960441,0.4353247975263752,0.0038510323559302587,0.006440314943778627,1.502266497387245,True,0.6383333333333239,150.00000000000006,41.78336971456464,0.039895935710259,0.5722028631143183,0.4390935540927431,0.0038510323559302587,0.00010023179834017074,1.8123393706588047,True,0.0,150.00000000000003,41.77656829534831,0.039886876898749105,0.5724048606059915,0.43915319895437444,0.0038510323559302587,0.0,0.48596542494108297,True,0.0,150.00000000000003,41.77656829534831,0.039886876898749105,0.5724048606059915,0.43915319895437444,0.0038510323559302587,0.0,0.48596542494108297
oat_rho0_0.80,one_at_a_time,rho0,0.8,150,25,0.65,0.85,True,True,126.75,9.1875,96.0,96.0,-15.884361199385594,0.0,True,True,0.43915319895437444,0.9525741268224331,0.0038510323559302587,41.77656829534831,0.039886876898749105,0.5724048606059915,True,104.99753941625563,170.09841912685968,49.3391587866733,0.059908021984175594,0.4060327653662353,0.3376086098624685,0.058537244488352534,0.05770665031453089,0.15547354064821586,True,1.5938259979195568,197.11746641541487,45.11136086590966,0.05191073093442365,0.5081208569448514,0.41326623890300707,0.0585535787032202,0.0006459231963595641,0.12555422745392184,True,1.5862902188599755,178.15684698977248,45.06586919546561,0.05183830839916947,0.5093925161110457,0.3827654690008032,0.05854277597589874,5.260754873396644e-08,0.15930185998201876,True,1.5862902188599755,178.15684698977248,45.06586919546561,0.05183830839916947,0.5093925161110457,0.3827654690008032,0.05854277597589874,5.260754873396644e-08,0.17718697438892186
