case_id,rho_start,G_start_nm,pore_D50_nm,pore_log_width,phi_iso_fraction,phi_closed_fraction,state_class,phi_open_total,phi_iso_total,phi_closed_total,pore_arrays_equal_across_paths
primary_052,0.62,50,10,0.85,0.05,0.0,primary_common_state,0.361,0.018999999999999996,0.0,True
primary_053,0.62,50,10,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.03799999999999999,0.0,True
primary_054,0.62,50,15,0.45,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_055,0.62,50,15,0.45,0.05,0.0,primary_common_state,0.36099999999999993,0.018999999999999996,0.0,True
primary_056,0.62,50,15,0.45,0.1,0.0,primary_common_state,0.34199999999999997,0.03799999999999999,0.0,True
primary_057,0.62,50,15,0.65,0.0,0.0,primary_common_state,0.38,0.0,0.0,True
primary_058,0.62,50,15,0.65,0.05,0.0,primary_common_state,0.36100000000000004,0.019000000000000003,0.0,True
primary_059,0.62,50,15,0.65,0.1,0.0,primary_common_state,0.342,0.038000000000000006,0.0,True
primary_060,0.62,50,15,0.85,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_061,0.62,50,15,0.85,0.05,0.0,primary_common_state,0.3609999999999999,0.018999999999999996,0.0,True
primary_062,0.62,50,15,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.03799999999999999,0.0,True
primary_063,0.62,50,25,0.45,0.0,0.0,primary_common_state,0.37999999999999984,0.0,0.0,True
primary_064,0.62,50,25,0.45,0.05,0.0,primary_common_state,0.36099999999999993,0.018999999999999996,0.0,True
primary_065,0.62,50,25,0.45,0.1,0.0,primary_common_state,0.3419999999999999,0.03799999999999999,0.0,True
primary_066,0.62,50,25,0.65,0.0,0.0,primary_common_state,0.3800000000000001,0.0,0.0,True
primary_067,0.62,50,25,0.65,0.05,0.0,primary_common_state,0.36100000000000004,0.019000000000000003,0.0,True
primary_068,0.62,50,25,0.65,0.1,0.0,primary_common_state,0.34199999999999997,0.038000000000000006,0.0,True
primary_069,0.62,50,25,0.85,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_070,0.62,50,25,0.85,0.05,0.0,primary_common_state,0.36100000000000004,0.019,0.0,True
primary_071,0.62,50,25,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.038,0.0,True
primary_072,0.62,50,40,0.45,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_073,0.62,50,40,0.45,0.05,0.0,primary_common_state,0.36099999999999993,0.019,0.0,True
primary_074,0.62,50,40,0.45,0.1,0.0,primary_common_state,0.34199999999999997,0.038,0.0,True
primary_075,0.62,50,40,0.65,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_076,0.62,50,40,0.65,0.05,0.0,primary_common_state,0.361,0.019000000000000003,0.0,True
primary_077,0.62,50,40,0.65,0.1,0.0,primary_common_state,0.342,0.038000000000000006,0.0,True
primary_078,0.62,50,40,0.85,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_079,0.62,50,40,0.85,0.05,0.0,primary_common_state,0.36099999999999993,0.019,0.0,True
primary_080,0.62,50,40,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.038,0.0,True
primary_081,0.62,50,60,0.45,0.0,0.0,primary_common_state,0.3799999999999999,0.0,0.0,True
primary_082,0.62,50,60,0.45,0.05,0.0,primary_common_state,0.36099999999999993,0.019,0.0,True
primary_083,0.62,50,60,0.45,0.1,0.0,primary_common_state,0.3419999999999999,0.038,0.0,True
primary_084,0.62,50,60,0.65,0.0,0.0,primary_common_state,0.38,0.0,0.0,True
primary_085,0.62,50,60,0.65,0.05,0.0,primary_common_state,0.36100000000000004,0.019000000000000003,0.0,True
primary_086,0.62,50,60,0.65,0.1,0.0,primary_common_state,0.342,0.038000000000000006,0.0,True
primary_087,0.62,50,60,0.85,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_088,0.62,50,60,0.85,0.05,0.0,primary_common_state,0.3609999999999999,0.018999999999999996,0.0,True
primary_089,0.62,50,60,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.03799999999999999,0.0,True
primary_090,0.62,75,10,0.45,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_091,0.62,75,10,0.45,0.05,0.0,primary_common_state,0.36100000000000004,0.019,0.0,True
primary_092,0.62,75,10,0.45,0.1,0.0,primary_common_state,0.342,0.038,0.0,True
primary_093,0.62,75,10,0.65,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_094,0.62,75,10,0.65,0.05,0.0,primary_common_state,0.361,0.019,0.0,True
primary_095,0.62,75,10,0.65,0.1,0.0,primary_common_state,0.34199999999999997,0.038,0.0,True
primary_096,0.62,75,10,0.85,0.0,0.0,primary_common_state,0.38,0.0,0.0,True
primary_097,0.62,75,10,0.85,0.05,0.0,primary_common_state,0.361,0.018999999999999996,0.0,True
primary_098,0.62,75,10,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.03799999999999999,0.0,True
primary_099,0.62,75,15,0.45,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_100,0.62,75,15,0.45,0.05,0.0,primary_common_state,0.36099999999999993,0.018999999999999996,0.0,True
primary_101,0.62,75,15,0.45,0.1,0.0,primary_common_state,0.34199999999999997,0.03799999999999999,0.0,True
primary_102,0.62,75,15,0.65,0.0,0.0,primary_common_state,0.38,0.0,0.0,True
primary_103,0.62,75,15,0.65,0.05,0.0,primary_common_state,0.36100000000000004,0.019000000000000003,0.0,True
primary_104,0.62,75,15,0.65,0.1,0.0,primary_common_state,0.342,0.038000000000000006,0.0,True
primary_105,0.62,75,15,0.85,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_106,0.62,75,15,0.85,0.05,0.0,primary_common_state,0.3609999999999999,0.018999999999999996,0.0,True
primary_107,0.62,75,15,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.03799999999999999,0.0,True
primary_108,0.62,75,25,0.45,0.0,0.0,primary_common_state,0.37999999999999984,0.0,0.0,True
primary_109,0.62,75,25,0.45,0.05,0.0,primary_common_state,0.36099999999999993,0.018999999999999996,0.0,True
primary_110,0.62,75,25,0.45,0.1,0.0,primary_common_state,0.3419999999999999,0.03799999999999999,0.0,True
primary_111,0.62,75,25,0.65,0.0,0.0,primary_common_state,0.3800000000000001,0.0,0.0,True
primary_112,0.62,75,25,0.65,0.05,0.0,primary_common_state,0.36100000000000004,0.019000000000000003,0.0,True
primary_113,0.62,75,25,0.65,0.1,0.0,primary_common_state,0.34199999999999997,0.038000000000000006,0.0,True
primary_114,0.62,75,25,0.85,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_115,0.62,75,25,0.85,0.05,0.0,primary_common_state,0.36100000000000004,0.019,0.0,True
primary_116,0.62,75,25,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.038,0.0,True
primary_117,0.62,75,40,0.45,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_118,0.62,75,40,0.45,0.05,0.0,primary_common_state,0.36099999999999993,0.019,0.0,True
primary_119,0.62,75,40,0.45,0.1,0.0,primary_common_state,0.34199999999999997,0.038,0.0,True
primary_120,0.62,75,40,0.65,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_121,0.62,75,40,0.65,0.05,0.0,primary_common_state,0.361,0.019000000000000003,0.0,True
primary_122,0.62,75,40,0.65,0.1,0.0,primary_common_state,0.342,0.038000000000000006,0.0,True
primary_123,0.62,75,40,0.85,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_124,0.62,75,40,0.85,0.05,0.0,primary_common_state,0.36099999999999993,0.019,0.0,True
primary_125,0.62,75,40,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.038,0.0,True
primary_126,0.62,75,60,0.45,0.0,0.0,primary_common_state,0.3799999999999999,0.0,0.0,True
primary_127,0.62,75,60,0.45,0.05,0.0,primary_common_state,0.36099999999999993,0.019,0.0,True
primary_128,0.62,75,60,0.45,0.1,0.0,primary_common_state,0.3419999999999999,0.038,0.0,True
primary_129,0.62,75,60,0.65,0.0,0.0,primary_common_state,0.38,0.0,0.0,True
primary_130,0.62,75,60,0.65,0.05,0.0,primary_common_state,0.36100000000000004,0.019000000000000003,0.0,True
primary_131,0.62,75,60,0.65,0.1,0.0,primary_common_state,0.342,0.038000000000000006,0.0,True
primary_132,0.62,75,60,0.85,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_133,0.62,75,60,0.85,0.05,0.0,primary_common_state,0.3609999999999999,0.018999999999999996,0.0,True
primary_134,0.62,75,60,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.03799999999999999,0.0,True
primary_135,0.66,35,10,0.45,0.0,0.0,primary_common_state,0.33999999999999997,0.0,0.0,True
primary_136,0.66,35,10,0.45,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_137,0.66,35,10,0.45,0.1,0.0,primary_common_state,0.306,0.033999999999999996,0.0,True
primary_138,0.66,35,10,0.65,0.0,0.0,primary_common_state,0.33999999999999997,0.0,0.0,True
primary_139,0.66,35,10,0.65,0.05,0.0,primary_common_state,0.323,0.017,0.0,True
primary_140,0.66,35,10,0.65,0.1,0.0,primary_common_state,0.306,0.034,0.0,True
primary_141,0.66,35,10,0.85,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_142,0.66,35,10,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_143,0.66,35,10,0.85,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_144,0.66,35,15,0.45,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_145,0.66,35,15,0.45,0.05,0.0,primary_common_state,0.3229999999999999,0.016999999999999994,0.0,True
