case_id,rho_start,G_start_nm,pore_D50_nm,pore_log_width,phi_iso_fraction,phi_closed_fraction,state_class
primary_000,0.62,35,10,0.45,0.0,0.0,primary_common_state
primary_001,0.62,35,10,0.45,0.05,0.0,primary_common_state
primary_002,0.62,35,10,0.45,0.1,0.0,primary_common_state
primary_003,0.62,35,10,0.65,0.0,0.0,primary_common_state
primary_004,0.62,35,10,0.65,0.05,0.0,primary_common_state
primary_005,0.62,35,10,0.65,0.1,0.0,primary_common_state
primary_006,0.62,35,10,0.85,0.0,0.0,primary_common_state
primary_007,0.62,35,10,0.85,0.05,0.0,primary_common_state
primary_008,0.62,35,10,0.85,0.1,0.0,primary_common_state
primary_009,0.62,35,15,0.45,0.0,0.0,primary_common_state
primary_010,0.62,35,15,0.45,0.05,0.0,primary_common_state
primary_011,0.62,35,15,0.45,0.1,0.0,primary_common_state
primary_012,0.62,35,15,0.65,0.0,0.0,primary_common_state
primary_013,0.62,35,15,0.65,0.05,0.0,primary_common_state
primary_014,0.62,35,15,0.65,0.1,0.0,primary_common_state
primary_015,0.62,35,15,0.85,0.0,0.0,primary_common_state
primary_016,0.62,35,15,0.85,0.05,0.0,primary_common_state
primary_017,0.62,35,15,0.85,0.1,0.0,primary_common_state
primary_018,0.62,35,25,0.45,0.0,0.0,primary_common_state
primary_019,0.62,35,25,0.45,0.05,0.0,primary_common_state
primary_020,0.62,35,25,0.45,0.1,0.0,primary_common_state
primary_021,0.62,35,25,0.65,0.0,0.0,primary_common_state
primary_022,0.62,35,25,0.65,0.05,0.0,primary_common_state
primary_023,0.62,35,25,0.65,0.1,0.0,primary_common_state
primary_024,0.62,35,25,0.85,0.0,0.0,primary_common_state
primary_025,0.62,35,25,0.85,0.05,0.0,primary_common_state
primary_026,0.62,35,25,0.85,0.1,0.0,primary_common_state
primary_027,0.62,35,40,0.45,0.0,0.0,primary_common_state
primary_028,0.62,35,40,0.45,0.05,0.0,primary_common_state
primary_029,0.62,35,40,0.45,0.1,0.0,primary_common_state
primary_030,0.62,35,40,0.65,0.0,0.0,primary_common_state
primary_031,0.62,35,40,0.65,0.05,0.0,primary_common_state
primary_032,0.62,35,40,0.65,0.1,0.0,primary_common_state
primary_033,0.62,35,40,0.85,0.0,0.0,primary_common_state
primary_034,0.62,35,40,0.85,0.05,0.0,primary_common_state
primary_035,0.62,35,40,0.85,0.1,0.0,primary_common_state
primary_036,0.62,35,60,0.45,0.0,0.0,primary_common_state
primary_037,0.62,35,60,0.45,0.05,0.0,primary_common_state
primary_038,0.62,35,60,0.45,0.1,0.0,primary_common_state
primary_039,0.62,35,60,0.65,0.0,0.0,primary_common_state
primary_040,0.62,35,60,0.65,0.05,0.0,primary_common_state
primary_041,0.62,35,60,0.65,0.1,0.0,primary_common_state
primary_042,0.62,35,60,0.85,0.0,0.0,primary_common_state
primary_043,0.62,35,60,0.85,0.05,0.0,primary_common_state
primary_044,0.62,35,60,0.85,0.1,0.0,primary_common_state
primary_045,0.62,50,10,0.45,0.0,0.0,primary_common_state
primary_046,0.62,50,10,0.45,0.05,0.0,primary_common_state
primary_047,0.62,50,10,0.45,0.1,0.0,primary_common_state
primary_048,0.62,50,10,0.65,0.0,0.0,primary_common_state
primary_049,0.62,50,10,0.65,0.05,0.0,primary_common_state
primary_050,0.62,50,10,0.65,0.1,0.0,primary_common_state
primary_051,0.62,50,10,0.85,0.0,0.0,primary_common_state
primary_052,0.62,50,10,0.85,0.05,0.0,primary_common_state
primary_053,0.62,50,10,0.85,0.1,0.0,primary_common_state
primary_054,0.62,50,15,0.45,0.0,0.0,primary_common_state
primary_055,0.62,50,15,0.45,0.05,0.0,primary_common_state
primary_056,0.62,50,15,0.45,0.1,0.0,primary_common_state
primary_057,0.62,50,15,0.65,0.0,0.0,primary_common_state
primary_058,0.62,50,15,0.65,0.05,0.0,primary_common_state
primary_059,0.62,50,15,0.65,0.1,0.0,primary_common_state
primary_060,0.62,50,15,0.85,0.0,0.0,primary_common_state
primary_061,0.62,50,15,0.85,0.05,0.0,primary_common_state
primary_062,0.62,50,15,0.85,0.1,0.0,primary_common_state
primary_063,0.62,50,25,0.45,0.0,0.0,primary_common_state
primary_064,0.62,50,25,0.45,0.05,0.0,primary_common_state
primary_065,0.62,50,25,0.45,0.1,0.0,primary_common_state
primary_066,0.62,50,25,0.65,0.0,0.0,primary_common_state
primary_067,0.62,50,25,0.65,0.05,0.0,primary_common_state
primary_068,0.62,50,25,0.65,0.1,0.0,primary_common_state
primary_069,0.62,50,25,0.85,0.0,0.0,primary_common_state
primary_070,0.62,50,25,0.85,0.05,0.0,primary_common_state
primary_071,0.62,50,25,0.85,0.1,0.0,primary_common_state
primary_072,0.62,50,40,0.45,0.0,0.0,primary_common_state
primary_073,0.62,50,40,0.45,0.05,0.0,primary_common_state
primary_074,0.62,50,40,0.45,0.1,0.0,primary_common_state
primary_075,0.62,50,40,0.65,0.0,0.0,primary_common_state
primary_076,0.62,50,40,0.65,0.05,0.0,primary_common_state
primary_077,0.62,50,40,0.65,0.1,0.0,primary_common_state
primary_078,0.62,50,40,0.85,0.0,0.0,primary_common_state
primary_079,0.62,50,40,0.85,0.05,0.0,primary_common_state
primary_080,0.62,50,40,0.85,0.1,0.0,primary_common_state
primary_081,0.62,50,60,0.45,0.0,0.0,primary_common_state
primary_082,0.62,50,60,0.45,0.05,0.0,primary_common_state
primary_083,0.62,50,60,0.45,0.1,0.0,primary_common_state
primary_084,0.62,50,60,0.65,0.0,0.0,primary_common_state
primary_085,0.62,50,60,0.65,0.05,0.0,primary_common_state
primary_086,0.62,50,60,0.65,0.1,0.0,primary_common_state
primary_087,0.62,50,60,0.85,0.0,0.0,primary_common_state
primary_088,0.62,50,60,0.85,0.05,0.0,primary_common_state
primary_089,0.62,50,60,0.85,0.1,0.0,primary_common_state
primary_090,0.62,75,10,0.45,0.0,0.0,primary_common_state
primary_091,0.62,75,10,0.45,0.05,0.0,primary_common_state
primary_092,0.62,75,10,0.45,0.1,0.0,primary_common_state
primary_093,0.62,75,10,0.65,0.0,0.0,primary_common_state
primary_094,0.62,75,10,0.65,0.05,0.0,primary_common_state
primary_095,0.62,75,10,0.65,0.1,0.0,primary_common_state
primary_096,0.62,75,10,0.85,0.0,0.0,primary_common_state
primary_097,0.62,75,10,0.85,0.05,0.0,primary_common_state
primary_098,0.62,75,10,0.85,0.1,0.0,primary_common_state
primary_099,0.62,75,15,0.45,0.0,0.0,primary_common_state
primary_100,0.62,75,15,0.45,0.05,0.0,primary_common_state
primary_101,0.62,75,15,0.45,0.1,0.0,primary_common_state
primary_102,0.62,75,15,0.65,0.0,0.0,primary_common_state
primary_103,0.62,75,15,0.65,0.05,0.0,primary_common_state
primary_104,0.62,75,15,0.65,0.1,0.0,primary_common_state
primary_105,0.62,75,15,0.85,0.0,0.0,primary_common_state
primary_106,0.62,75,15,0.85,0.05,0.0,primary_common_state
primary_107,0.62,75,15,0.85,0.1,0.0,primary_common_state
primary_108,0.62,75,25,0.45,0.0,0.0,primary_common_state
primary_109,0.62,75,25,0.45,0.05,0.0,primary_common_state
primary_110,0.62,75,25,0.45,0.1,0.0,primary_common_state
primary_111,0.62,75,25,0.65,0.0,0.0,primary_common_state
primary_112,0.62,75,25,0.65,0.05,0.0,primary_common_state
primary_113,0.62,75,25,0.65,0.1,0.0,primary_common_state
primary_114,0.62,75,25,0.85,0.0,0.0,primary_common_state
primary_115,0.62,75,25,0.85,0.05,0.0,primary_common_state
primary_116,0.62,75,25,0.85,0.1,0.0,primary_common_state
primary_117,0.62,75,40,0.45,0.0,0.0,primary_common_state
primary_118,0.62,75,40,0.45,0.05,0.0,primary_common_state
primary_119,0.62,75,40,0.45,0.1,0.0,primary_common_state
primary_120,0.62,75,40,0.65,0.0,0.0,primary_common_state
primary_121,0.62,75,40,0.65,0.05,0.0,primary_common_state
primary_122,0.62,75,40,0.65,0.1,0.0,primary_common_state
primary_123,0.62,75,40,0.85,0.0,0.0,primary_common_state
primary_124,0.62,75,40,0.85,0.05,0.0,primary_common_state
primary_125,0.62,75,40,0.85,0.1,0.0,primary_common_state
primary_126,0.62,75,60,0.45,0.0,0.0,primary_common_state
primary_127,0.62,75,60,0.45,0.05,0.0,primary_common_state
primary_128,0.62,75,60,0.45,0.1,0.0,primary_common_state
primary_129,0.62,75,60,0.65,0.0,0.0,primary_common_state
primary_130,0.62,75,60,0.65,0.05,0.0,primary_common_state
primary_131,0.62,75,60,0.65,0.1,0.0,primary_common_state
primary_132,0.62,75,60,0.85,0.0,0.0,primary_common_state
primary_133,0.62,75,60,0.85,0.05,0.0,primary_common_state
primary_134,0.62,75,60,0.85,0.1,0.0,primary_common_state
primary_135,0.66,35,10,0.45,0.0,0.0,primary_common_state
primary_136,0.66,35,10,0.45,0.05,0.0,primary_common_state
primary_137,0.66,35,10,0.45,0.1,0.0,primary_common_state
primary_138,0.66,35,10,0.65,0.0,0.0,primary_common_state
primary_139,0.66,35,10,0.65,0.05,0.0,primary_common_state
primary_140,0.66,35,10,0.65,0.1,0.0,primary_common_state
primary_141,0.66,35,10,0.85,0.0,0.0,primary_common_state
primary_142,0.66,35,10,0.85,0.05,0.0,primary_common_state
primary_143,0.66,35,10,0.85,0.1,0.0,primary_common_state
primary_144,0.66,35,15,0.45,0.0,0.0,primary_common_state
primary_145,0.66,35,15,0.45,0.05,0.0,primary_common_state
primary_146,0.66,35,15,0.45,0.1,0.0,primary_common_state
primary_147,0.66,35,15,0.65,0.0,0.0,primary_common_state
primary_148,0.66,35,15,0.65,0.05,0.0,primary_common_state
primary_149,0.66,35,15,0.65,0.1,0.0,primary_common_state
primary_150,0.66,35,15,0.85,0.0,0.0,primary_common_state
primary_151,0.66,35,15,0.85,0.05,0.0,primary_common_state
primary_152,0.66,35,15,0.85,0.1,0.0,primary_common_state
primary_153,0.66,35,25,0.45,0.0,0.0,primary_common_state
primary_154,0.66,35,25,0.45,0.05,0.0,primary_common_state
primary_155,0.66,35,25,0.45,0.1,0.0,primary_common_state
primary_156,0.66,35,25,0.65,0.0,0.0,primary_common_state
primary_157,0.66,35,25,0.65,0.05,0.0,primary_common_state
primary_158,0.66,35,25,0.65,0.1,0.0,primary_common_state
primary_159,0.66,35,25,0.85,0.0,0.0,primary_common_state
primary_160,0.66,35,25,0.85,0.05,0.0,primary_common_state
primary_161,0.66,35,25,0.85,0.1,0.0,primary_common_state
primary_162,0.66,35,40,0.45,0.0,0.0,primary_common_state
primary_163,0.66,35,40,0.45,0.05,0.0,primary_common_state
primary_164,0.66,35,40,0.45,0.1,0.0,primary_common_state
primary_165,0.66,35,40,0.65,0.0,0.0,primary_common_state
primary_166,0.66,35,40,0.65,0.05,0.0,primary_common_state
primary_167,0.66,35,40,0.65,0.1,0.0,primary_common_state
primary_168,0.66,35,40,0.85,0.0,0.0,primary_common_state
primary_169,0.66,35,40,0.85,0.05,0.0,primary_common_state
primary_170,0.66,35,40,0.85,0.1,0.0,primary_common_state
primary_171,0.66,35,60,0.45,0.0,0.0,primary_common_state
primary_172,0.66,35,60,0.45,0.05,0.0,primary_common_state
primary_173,0.66,35,60,0.45,0.1,0.0,primary_common_state
primary_174,0.66,35,60,0.65,0.0,0.0,primary_common_state
primary_175,0.66,35,60,0.65,0.05,0.0,primary_common_state
primary_176,0.66,35,60,0.65,0.1,0.0,primary_common_state
primary_177,0.66,35,60,0.85,0.0,0.0,primary_common_state
primary_178,0.66,35,60,0.85,0.05,0.0,primary_common_state
primary_179,0.66,35,60,0.85,0.1,0.0,primary_common_state
primary_180,0.66,50,10,0.45,0.0,0.0,primary_common_state
primary_181,0.66,50,10,0.45,0.05,0.0,primary_common_state
primary_182,0.66,50,10,0.45,0.1,0.0,primary_common_state
primary_183,0.66,50,10,0.65,0.0,0.0,primary_common_state
primary_184,0.66,50,10,0.65,0.05,0.0,primary_common_state
primary_185,0.66,50,10,0.65,0.1,0.0,primary_common_state
primary_186,0.66,50,10,0.85,0.0,0.0,primary_common_state
primary_187,0.66,50,10,0.85,0.05,0.0,primary_common_state
primary_188,0.66,50,10,0.85,0.1,0.0,primary_common_state
primary_189,0.66,50,15,0.45,0.0,0.0,primary_common_state
primary_190,0.66,50,15,0.45,0.05,0.0,primary_common_state
primary_191,0.66,50,15,0.45,0.1,0.0,primary_common_state
primary_192,0.66,50,15,0.65,0.0,0.0,primary_common_state
primary_193,0.66,50,15,0.65,0.05,0.0,primary_common_state
primary_194,0.66,50,15,0.65,0.1,0.0,primary_common_state
primary_195,0.66,50,15,0.85,0.0,0.0,primary_common_state
primary_196,0.66,50,15,0.85,0.05,0.0,primary_common_state
primary_197,0.66,50,15,0.85,0.1,0.0,primary_common_state
primary_198,0.66,50,25,0.45,0.0,0.0,primary_common_state
primary_199,0.66,50,25,0.45,0.05,0.0,primary_common_state
primary_200,0.66,50,25,0.45,0.1,0.0,primary_common_state
primary_201,0.66,50,25,0.65,0.0,0.0,primary_common_state
primary_202,0.66,50,25,0.65,0.05,0.0,primary_common_state
primary_203,0.66,50,25,0.65,0.1,0.0,primary_common_state
primary_204,0.66,50,25,0.85,0.0,0.0,primary_common_state
primary_205,0.66,50,25,0.85,0.05,0.0,primary_common_state
primary_206,0.66,50,25,0.85,0.1,0.0,primary_common_state
primary_207,0.66,50,40,0.45,0.0,0.0,primary_common_state
primary_208,0.66,50,40,0.45,0.05,0.0,primary_common_state
primary_209,0.66,50,40,0.45,0.1,0.0,primary_common_state
primary_210,0.66,50,40,0.65,0.0,0.0,primary_common_state
primary_211,0.66,50,40,0.65,0.05,0.0,primary_common_state
primary_212,0.66,50,40,0.65,0.1,0.0,primary_common_state
primary_213,0.66,50,40,0.85,0.0,0.0,primary_common_state
primary_214,0.66,50,40,0.85,0.05,0.0,primary_common_state
primary_215,0.66,50,40,0.85,0.1,0.0,primary_common_state
primary_216,0.66,50,60,0.45,0.0,0.0,primary_common_state
primary_217,0.66,50,60,0.45,0.05,0.0,primary_common_state
primary_218,0.66,50,60,0.45,0.1,0.0,primary_common_state
primary_219,0.66,50,60,0.65,0.0,0.0,primary_common_state
primary_220,0.66,50,60,0.65,0.05,0.0,primary_common_state
primary_221,0.66,50,60,0.65,0.1,0.0,primary_common_state
primary_222,0.66,50,60,0.85,0.0,0.0,primary_common_state
primary_223,0.66,50,60,0.85,0.05,0.0,primary_common_state
primary_224,0.66,50,60,0.85,0.1,0.0,primary_common_state
primary_225,0.66,75,10,0.45,0.0,0.0,primary_common_state
primary_226,0.66,75,10,0.45,0.05,0.0,primary_common_state
primary_227,0.66,75,10,0.45,0.1,0.0,primary_common_state
primary_228,0.66,75,10,0.65,0.0,0.0,primary_common_state
primary_229,0.66,75,10,0.65,0.05,0.0,primary_common_state
primary_230,0.66,75,10,0.65,0.1,0.0,primary_common_state
primary_231,0.66,75,10,0.85,0.0,0.0,primary_common_state
primary_232,0.66,75,10,0.85,0.05,0.0,primary_common_state
primary_233,0.66,75,10,0.85,0.1,0.0,primary_common_state
primary_234,0.66,75,15,0.45,0.0,0.0,primary_common_state
primary_235,0.66,75,15,0.45,0.05,0.0,primary_common_state
primary_236,0.66,75,15,0.45,0.1,0.0,primary_common_state
primary_237,0.66,75,15,0.65,0.0,0.0,primary_common_state
primary_238,0.66,75,15,0.65,0.05,0.0,primary_common_state
primary_239,0.66,75,15,0.65,0.1,0.0,primary_common_state
primary_240,0.66,75,15,0.85,0.0,0.0,primary_common_state
primary_241,0.66,75,15,0.85,0.05,0.0,primary_common_state
primary_242,0.66,75,15,0.85,0.1,0.0,primary_common_state
primary_243,0.66,75,25,0.45,0.0,0.0,primary_common_state
primary_244,0.66,75,25,0.45,0.05,0.0,primary_common_state
primary_245,0.66,75,25,0.45,0.1,0.0,primary_common_state
primary_246,0.66,75,25,0.65,0.0,0.0,primary_common_state
primary_247,0.66,75,25,0.65,0.05,0.0,primary_common_state
primary_248,0.66,75,25,0.65,0.1,0.0,primary_common_state
primary_249,0.66,75,25,0.85,0.0,0.0,primary_common_state
primary_250,0.66,75,25,0.85,0.05,0.0,primary_common_state
primary_251,0.66,75,25,0.85,0.1,0.0,primary_common_state
primary_252,0.66,75,40,0.45,0.0,0.0,primary_common_state
primary_253,0.66,75,40,0.45,0.05,0.0,primary_common_state
primary_254,0.66,75,40,0.45,0.1,0.0,primary_common_state
primary_255,0.66,75,40,0.65,0.0,0.0,primary_common_state
primary_256,0.66,75,40,0.65,0.05,0.0,primary_common_state
primary_257,0.66,75,40,0.65,0.1,0.0,primary_common_state
primary_258,0.66,75,40,0.85,0.0,0.0,primary_common_state
primary_259,0.66,75,40,0.85,0.05,0.0,primary_common_state
primary_260,0.66,75,40,0.85,0.1,0.0,primary_common_state
primary_261,0.66,75,60,0.45,0.0,0.0,primary_common_state
primary_262,0.66,75,60,0.45,0.05,0.0,primary_common_state
primary_263,0.66,75,60,0.45,0.1,0.0,primary_common_state
primary_264,0.66,75,60,0.65,0.0,0.0,primary_common_state
primary_265,0.66,75,60,0.65,0.05,0.0,primary_common_state
primary_266,0.66,75,60,0.65,0.1,0.0,primary_common_state
primary_267,0.66,75,60,0.85,0.0,0.0,primary_common_state
primary_268,0.66,75,60,0.85,0.05,0.0,primary_common_state
primary_269,0.66,75,60,0.85,0.1,0.0,primary_common_state
primary_270,0.7,35,10,0.45,0.0,0.0,primary_common_state
primary_271,0.7,35,10,0.45,0.05,0.0,primary_common_state
primary_272,0.7,35,10,0.45,0.1,0.0,primary_common_state
primary_273,0.7,35,10,0.65,0.0,0.0,primary_common_state
primary_274,0.7,35,10,0.65,0.05,0.0,primary_common_state
primary_275,0.7,35,10,0.65,0.1,0.0,primary_common_state
primary_276,0.7,35,10,0.85,0.0,0.0,primary_common_state
primary_277,0.7,35,10,0.85,0.05,0.0,primary_common_state
primary_278,0.7,35,10,0.85,0.1,0.0,primary_common_state
primary_279,0.7,35,15,0.45,0.0,0.0,primary_common_state
primary_280,0.7,35,15,0.45,0.05,0.0,primary_common_state
primary_281,0.7,35,15,0.45,0.1,0.0,primary_common_state
